r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
refines,"But genuine Heat, Nature for Health designs,",oau90-l15980,And through respiring Pores your Blood refines.,oau90-l15985,/aɪnz/ | /aɪnz/,full,aabbcc<b>d</b><b>d</b>,pers00350,oau90-w0570
lines," Have fill'd my Soul with great Designs,",o3900-l00975,"So many airy Draughts and Lines,",o3900-l00965,/aɪnz/ | /aɪnz/,full,<b>a</b>b<b>a</b>bcc,pers00311,o3900-w0030
wines," He jocund stumbles on, nor ought designs,",pdi22-l10330, Doz'd with the circling Pledge of unmixt Wines:,pdi22-l10335,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
pines,Which for his dame's annoyance he designs;,o5152-l30955,"Mindless of food, he, dreary caitiff! pines;",o5152-l30930,/aɪnz/ | /aɪnz/,full,a<b>b</b>abbc<b>b</b>cc,pers00035,o5152-w0320
resigns,Which for his dame's annoyance he designs;,o5152-l30955,But to the wind all merriment resigns;,o5152-l30940,/aɪnz/ | /aɪnz/,full,aba<b>b</b>bc<b>b</b>cc,pers00035,o5152-w0320
inclines,Which for his dame's annoyance he designs;,o5152-l30955,"And deems it shame, if he to peace inclines;",o5152-l30945,/aɪnz/ | /ɪnklaɪnz/,half-vowelrhyme,abab<b>b</b>c<b>b</b>cc,pers00035,o5152-w0320
fines,"And now intent on new designs,",o5155-l27860,Sighs for a fellowship — and fines.,o5155-l27865,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00053,o5155-w0500
minds," Passion in abstract, void of all designs;",pse03-l00465,Friendship (the great pursuit of noble Minds),pse03-l00460,/aɪnz/ | /aɪndz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00272,pse03-w0010
lines, To call the Painter to his Black Designs,o4672-l11985, To draw our Guardian's Face in Hellish Lines:,o4672-l11990,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00292,o4672-w0620
undermines," The Pious Monarch's generous Designs,",o4672-l12435,Mark what a selfish Faction undermines,o4672-l12430,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00292,o4672-w0620
twines,"O smile accurst, to hide the worst designs! ",o4987-l08060, While round her arm unseen a serpent twines —,o4987-l08070,/aɪnz/ | /aɪnz/,full,<b>a</b>b<b>a</b>b,pers00207,o4987-w0260
shrines,Mistook their Deity's designs;,o5156-l03805,"So heroes, taught by doubtful shrines,",o5156-l03800,/aɪnz/ | /aɪnz/,full,aab<b>c</b><b>c</b>b,pers00035,o5156-w0100
times,"Hail, mighty Genius! born for Great Designs,",pmc36-l01300," T' adorn your Country, and to mend the Times;",pmc36-l01305,/aɪnz/ | /aɪmz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00325,pmc36-w0010
lines,"The walls and streets in rows of yew designs,",o5152-l07270,And forms the town in all its ancient lines;,o5152-l07275,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
pines, And now to speak the fatal truth designs;,cer72-l04685,"STILL with impatient love Sabrina pines,",cer72-l04680,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
rejoins,"With such low Thoughts, and Freedom from Designs,",o4784-l14390,How's this! the Monarch something mov'd rejoins. ,o4784-l14385,/aɪnz/ | /ɔɪnz/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0420
fines," Who visits your See with far other Designs,",pba35-l06105," Than conning your Rent-rolls, and raising your Fines. ",pba35-l06110,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00087,pba35-w0430
shines,"The Heroe's Breast still swells with great Designs,",o3499-l01855, In ev'ry Thought the tow'ring Genius shines:,o3499-l01860,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00150,o3499-w0010
lines, Thron'd in the Centre of his thin designs;,o3674-l00465, Proud of a vast Extent of flimzy lines. ,o3674-l00470,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
undermines," And wears a double face, whose base designs",o3588-l01335," Strike at his Monarch's throne, who undermines",o3588-l01340,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
coins," He buys for Topham Drawings and Designs,",o3689-l00035," For Fountain Statues, and for Curio Coins,",o3689-l00040,/aɪnz/ | /ɔɪnz/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3689-w0010
lines," Paints as you plant, and as you work, Designs. ",o3689-l00210," Now breaks, or now directs, th' intending Lines;",o3689-l00205,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00012,o3689-w0010
mines," Consum'd his strength, and baffl'd our Designs. ",o4885-l04605," There like destructive Fire, in secret Mines,",o4885-l04600,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00300,o4885-w0010
lines,"How vast, how copious are thy new Designs! ",o4106-l07480,How ev'ry Musick varies in thy Lines! ,o4106-l07485,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0100
lines,"Your army now, fixt on its high designs,",o5156-l13900,"Rush forth like vernal swarms, and quit their lines;",o5156-l13905,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00086,o5156-w0520
lines, From Halfpenny's exact designs. ,o5089-l07700," With angles, curves, and zigzag lines,",o5089-l07695,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00179,o5089-w0090
antonine's, And full Atchievement of Thy great Designs. ,pmp18-l25050," Than Trajan's higher, or than Antonine's;",pmp18-l25040,/aɪnz/ | /æntənaɪnz/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcdee,pers00314,pmp18-w0730
finds," Half plann'd as yet his dire designs,",bjl92-l06460,"This now the lazy warrior finds,",bjl92-l06450,/aɪnz/ | /aɪndz/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0240
countermines,What foe (to frustrate my designs),ojg27-l05385, My schemes thus nightly countermines? ,ojg27-l05390,/aɪnz/ | /aʊntəmaɪnz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00303,ojg27-w0220
whines, Who knows as yet what Heav'n designs? ,ojg27-l06860,"But why such haste, the sick Man whines,",ojg27-l06855,/aɪnz/ | /aɪnz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0280
