r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
prised,"And court that sex I foolishly despis'd,",o5155-l07985,"Abjure those maxims I so lately priz'd,",o5155-l07980,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
prised," While the proud Youth who found himself despis'd,",o5125-l19715, His Person slighted and Polyphon priz'd;,o5125-l19720,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
prised," Pleasure o'ervalued and his grace despis'd,",o3794-l11245," When gifts perverted or not duly priz'd,",o3794-l11240,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
prised," The pidgeon strength of wing despis'd,",ojg27-l01375, And the cock's matchless valour priz'd:,ojg27-l01380,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0050
prised," But so repeats, that Colin half despis'd",sap09-l02530," His Pipe and Skill, so much by others priz'd. ",sap09-l02535,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
unadvised,"Abus'd at home, abroad despis'd,",o5156-l32460,"Unbred, unletter'd, unadvis'd;",o5156-l32465,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00108,o5156-w0890
prised,Ah no! he is by empty fools despis'd. ,bjl92-l12065,But is the man like as his merit priz'd? ,bjl92-l12060,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0490
prised,And each inspiring Muse as much despis'd.,oau90-l01295,"Hence Pipe and Tabor, Hum and Buz, are priz'd,",oau90-l01290,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00350,oau90-w0010
prised,"O Thou, most courted, most despis'd,",o4984-l11055, And but in absence duly priz'd! ,o4984-l11060,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00180,o4984-w0160
revised," This volume lies neglected and despis'd,",pyl90-l01090," To re-appear, corrected and revis'd,",pyl90-l01100,/aɪzd/ | /aɪzd/,full,a<b>b</b>a<b>b</b>cc,pers00322,pyl90-w0090
prised," To be in Crouds, or envy'd, or despis'd? ",o4784-l14400," What made thee leave a Life so fondly priz'd,",o4784-l14395,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0420
prised,"If Virtue's Lore Thou hast despiz'd,",oat77-l08485,How Wou'd That Virtue now be priz'd!,oat77-l08490,/ɪzd/ | /aɪzd/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0560
prised, But prattling women are despis'd;,ojg27-l06450,"A parrot is for talking priz'd,",ojg27-l06445,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0260
prised,"O thou, most courted, most despis'd,",o5089-l09685, And but in absence duly priz'd! ,o5089-l09690,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00180,o5089-w0120
prised,"Know Youth! I'm Reason, which you've oft despiz'd,",ppo24-l01080," I am that Reason, which you never Priz'd:",ppo24-l01085,/ɪzd/ | /aɪzd/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0020
prised,The Balmy Scriptures I so late despis'd!,oau90-l04740,How deeply then my long lost Reason pris'd,oau90-l04735,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00350,oau90-w0090
prised,"Though poor, and abject, and despised,",pcr18-l26025," I gave the young the love they prized,",pcr18-l26035,/aɪzd/ | /aɪzd/,full,<b>a</b>b<b>a</b>bab,pers00275,pcr18-w0080
devised,"Though poor, and abject, and despised,",pcr18-l26025," Schemes for the doubtful I devised,",pcr18-l26045,/aɪzd/ | /aɪzd/,full,<b>a</b>bab<b>a</b>b,pers00275,pcr18-w0080
prised, And ev'ry other Gift despis'd:,pba35-l09565,"They seem, as if your Form you priz'd,",pba35-l09560,/aɪzd/ | /aɪzd/,full,aa<b>b</b><b>b</b>cc,pers00087,pba35-w0720
devised,To let him see he was despis'd:,o5157-l29595,One way or other still devis'd,o5157-l29590,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00072,o5157-w0520
prised, In Youth neglected as in Age despis'd:,o5125-l16210, See Wit and Wisdom (that our Fathers priz'd),o5125-l16205,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0420
uncivilised,"But we, brave Britains, Foreign Laws despis'd,",o3675-l03600," And kept unconquer'd, and unciviliz'd,",o3675-l03605,/aɪzd/ | /ɪvlaɪzd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00012,o3675-w0010
prised,"Thrice happy Times when Riches were despis'd,",clc03-l06620,And Men for innate Worth were only priz'd:,clc03-l06625,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00349,clc03-w0170
devised, Can say how such a fool shou'd be despis'd. ,o4899-l08570," Or scurril Rancour e'er devis'd,",o4899-l08565,/aɪzd/ | /aɪzd/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
