r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
forbid, Yet spite of all that Nature did,o4106-l02505," To make his uncouth Form forbid,",o4106-l02510,/ɪd/ | /ɪd/,full,aab<b>c</b><b>c</b>b,pers00294,o4106-w0070
rid,So on that fatal Day you did,o5125-l00990," You of your Memory was rid,",o5125-l01000,/ɪd/ | /ɪd/,full,<b>a</b>b<b>a</b>b,pers00154,o5125-w0030
hid," ""'Twas so for me that Edwin did,",o5346-l05050," ""And, there forlorn despairing hid,",o5346-l05040,/ɪd/ | /ɪd/,full,<b>a</b>b<b>a</b>b,pers00174,o5346-w0030
hid," ''Twas so for me that Edwin did,",o5089-l07065," 'And there forlorn despairing hid,",o5089-l07055,/ɪd/ | /ɪd/,full,<b>a</b>b<b>a</b>b,pers00174,o5089-w0080
diomede,"The British Pallas! who, as Homer's did",o5152-l08935,"For her lov'd Diomede,",o5152-l08940,/ɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>bbccddeefffgghhiikllkl,pers00007,o5152-w0100
chid,He car'd not what the Footmen did:,pmp18-l27045," Her Maids She neither prais'd, nor chid:",pmp18-l27050,/ɪd/ | /ɪd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0910
confounded," So, Men of old, to gain Renown, did",psw11-l00640, Build Babel with their Tongues confounded. ,psw11-l00645,/ɪd/ | /aʊndɪd/,half-pararhyme,<b>a</b><b>a</b>,pers00148,psw11-w0040
head, And tell me how good children did;,bjb18-l07910,"You used to smile and stroke my head,",bjb18-l07905,/ɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0130
said,"Rash Furioso's did,",oat77-l07310,Nor what the dreaming Sages said:,oat77-l07315,/ɪd/ | /ed/,half-pararhyme,aab<b>c</b><b>c</b>bdeedffggghiihh,pers00344,oat77-w0470
said, And tell what Jesus did. ,o4672-l04700," What wondrous things he said,",o4672-l04690,/ɪd/ | /ed/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00292,o4672-w0240
chid,"The rats by night such mischief did,",ojg27-l05275, Betty was ev'ry morning chid:,ojg27-l05280,/ɪd/ | /ɪd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0220
hid," ""'Twas so for me that Edwin did,",o4987-l16530," ""And there forlorn, despairing hid,",o4987-l16520,/ɪd/ | /ɪd/,full,<b>a</b>b<b>a</b>b,pers00174,o4987-w0570
