r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
prise," And envy him, who for his country dies;",o4986-l18615," Soon let him learn fair liberty to prize,",o4986-l18610,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
eyes,"And, groaning for the betts he loses by't, he dies.",o5154-l20555,"Veils with his sable hand the wretch's eyes,",o5154-l20550,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
eyes," His very Cheeks are wash'd with deeper Dyes,",o5125-l20775, And lasting Slumber seals his swimming Eyes:,o5125-l20780,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
eyes, Then in my drooping fancy's sight he dies. ,pyl90-l00530," While love presents his beauties to my eyes,",pyl90-l00525,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
eyes,Till by degrees the marble dies!,o5157-l33435,"A pale suffusion shades his eyes,",o5157-l33430,/aɪz/ | /aɪz/,full,aabccbdedeffgghh<b>i</b><b>i</b>kkllmmnnoppoqrqrssttuuvvwwyyzz,pers00058,o5157-w0670
eyes, Her glowing cheeks were ting'd with heavenly dies;,cac95-l06840,"The fires of love seem'd glancing from her eyes,",cac95-l06835,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
vies,""" At thy command the unyielding rebel dies;",cac95-l07460," ""Nature t' adorn thy name with Fortune vies,",cac95-l07455,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
eyes, Her heart within her fluttering bosom dies;,cac95-l07870," By men surrounded, pierc'd by curious eyes,",cac95-l07865,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
cries," But vain, for as he spoke the hero dies. ",cac95-l08835,""" Hold his rash hand! ""commanding ROBERT cries,",cac95-l08830,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
skies,"At a States Change, or when a Monarch dies;",oau90-l16165,"If Comets are oblig'd t' infest the Skies,",oau90-l16160,/aɪz/ | /aɪz/,full,aa<b>b</b><b>b</b>ccdd,pers00350,oau90-w0570
skies," Weeps o'er her tender babes, and dies. ",o5089-l34380," And, stretch'd beneath th' inclement skies,",o5089-l34375,/aɪz/ | /aɪz/,full,aabbcc<b>d</b><b>d</b>,pers00185,o5089-w0720
arise,"Unwelcome, unindear'd, it instant dies;",o5154-l09660,"From the strong grasp if some poor babe arise,",o5154-l09655,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
