r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
hues," Fresh violets here their charms diffuse,",pmt18-l20775," And here, with richly mingling hues,",pmt18-l20780,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00320,pmt18-w0340
muse, The opening flowers diffuse;,o4987-l06135, Associates of the Muse! ,o4987-l06150,/uːz/ | /uːz/,full,aa<b>b</b>cc<b>b</b>,pers00201,o4987-w0220
use," Nor flowing Streams the circling Heat diffuse,",pdi22-l07450, But the chill'd parts forget their former Use. ,pdi22-l07455,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
dews, Whose flagging wings no breathing sweets diffuse. ,o3555-l02500," Her streaming tresses bath'd in chilling dews,",o3555-l02490,/uːz/ | /uːz/,full,a<b>b</b>a<b>b</b>,pers00149,o3555-w0040
views," In this still moment all their charms diffuse,",o4984-l18060, And chear the soul with more than mortal views. ,o4984-l18070,/uːz/ | /uːz/,full,a<b>b</b>a<b>b</b>,pers00085,o4984-w0340
dews,Around what peaceful couch thy opiate airs diffuse? ,o3776-l03115,"God of kind shadows, and of healing dews,",o3776-l03105,/uːz/ | /uːz/,full,aabccbd<b>e</b>d<b>e</b>,pers00047,o3776-w0090
muse,"HERE all thy active fires diffuse,",o5155-l29485,Thou genuine British Muse;,o5155-l29490,/uːz/ | /uːz/,full,<b>a</b><b>a</b>bb,pers00051,o5155-w0570
muse, Deign on my Work thy Influence to diffuse. ,pmp18-l19915, O fairest of the Sex! be Thou my Muse:,pmp18-l19910,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
choose,And boundless good diffuse.,bed98-l21415,The fittest means to choose;,bed98-l21405,/uːz/ | /uːz/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0740
muse,"Thy sacred eloquence diffuse,",o4986-l09160,Thy wisdom guide my youthful Muse! ,o4986-l09155,/uːz/ | /uːz/,full,aab<b>c</b><b>c</b>b,pers00216,o4986-w0210
dews,ON closing flowers when genial gales diffuse,o4984-l23520, The fragrant tribute of refreshing dews;,o4984-l23525,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
dews," Where flowers their fragrant sweets diffuse,",o4984-l14695, Where trees distil their kindly dews;,o4984-l14700,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00227,o4984-w0220
pursues,She smiles; her smiles perpetual joys diffuse;,o5089-l24670, A shouting nation where she turns pursues;,o5089-l24675,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00137;pers00191,o5089-w0530
peruse, Great wit and learning you diffuse,bjl92-l12480,"SIR, I your letter did peruse;",bjl92-l12460,/uːz/ | /uːz/,full,<b>a</b>aab<b>a</b>b,pers00338,bjl92-w0520
use, Great wit and learning you diffuse,bjl92-l12480," So elegant the style you use,",bjl92-l12465,/uːz/ | /uːz/,full,a<b>a</b>ab<b>a</b>b,pers00338,bjl92-w0520
muse, Great wit and learning you diffuse,bjl92-l12480," Abash'd, confounded I did muse",bjl92-l12470,/uːz/ | /uːz/,full,aa<b>a</b>b<b>a</b>b,pers00338,bjl92-w0520
muse," Shall thy own modest tints diffuse,",o3555-l04200,"When Autumn, friendly to the Muse,",o3555-l04195,/uːz/ | /uːz/,full,aab<b>c</b><b>c</b>b,pers00149,o3555-w0100
dews," Through vernal skies the gathering drops diffuse,",o4671-l06265," Plunge in soft rains, or sink in silver dews. —",o4671-l06270,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
muse,"Thy spirit o'er my soul diffuse,",o5154-l12850,"O Parent of each lovely Muse,",o5154-l12845,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00049,o5154-w0180
dews," O'er all our deep and parching Cares diffuse,",o4784-l13460," Like Eden's Springs, or Hermon's soft'ning Dews. ",o4784-l13465,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0400
views,"Come then, all thy powers diffuse,",o5089-l13825, Goddess of extended views! ,o5089-l13830,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00038,o5089-w0180
muse,"Goddess, all thy powers diffuse! ",o5089-l13865,"And thou, genuine BRITISH MUSE,",o5089-l13870,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00038,o5089-w0180
hues," O'er Age's cheek the warmth of youth diffuse,",o4671-l14635, Or deck the pale-eyed nymph in roseate hues. ,o4671-l14640,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
dews, Their balmy breath diffuse. ,o3776-l00070, She sweeps mellifluous dews;,o3776-l00055,/uːz/ | /uːz/,full,aa<b>b</b>cc<b>b</b>,pers00047,o3776-w0010
muse," ""Those starry Lights of Virtue, that diffuse",o3818-l05865," ""Dumb too had been the sage Historic Muse,",o3818-l05855,/uːz/ | /uːz/,full,<b>a</b>b<b>a</b>bbcbcc,pers00020,o3818-w0010
dews, Suns that temperate warmth diffuse:,o3555-l08155," Clouds that drop their fatt'ning dews,",o3555-l08150,/uːz/ | /uːz/,full,aa<b>b</b><b>b</b>,pers00149,o3555-w0270
dews,"When gath'ring damps the misty Nights diffuse,",o4106-l04020, She sprinkles all the Morn with balmy Dews;,o4106-l04025,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0080
vaucluse," A dearer pleasure ye diffuse,",bhw18-l19420, Cull'd by the fountain of Vaucluse! ,bhw18-l19425,/uːz/ | /ɔːkluːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00276,bhw18-w0490
muse, Thy gentle sweetness thro' my soul diffuse:,o3555-l07400,"Bright pattern of thy sex, be thou my muse;",o3555-l07395,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00149,o3555-w0230
lose,"But a desire his blessings to diffuse,",o5154-l21230,And fear lest millions should existence lose;,o5154-l21235,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0330
muse, Shall sing the Just; shall o'er their Head diffuse,pmp18-l47905," And silent weep, that while the Deathless Muse",pmp18-l47900,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
dews, Does round the Air evolving Scents diffuse:,pmp18-l51535, The holy Ground is wet with Heav'nly Dews:,pmp18-l51540,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
dews,"Oh come, and o'er my weary limbs diffuse",o4985-l22405, The slumberous weight of sweet oblivious dews! ,o4985-l22410,/uːz/ | /uːz/,full,abab<b>c</b><b>c</b>,pers00058,o4985-w0310
lose,"Best bliss of life, if joy they can diffuse,",bed98-l19480,And that seems dearest which we fear to lose.,bed98-l19485,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00340,bed98-w0600
