r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fire,"The latent ulcer, and the cancer dire,",o5156-l09815,"That waste our flesh with slow consuming fire,",o5156-l09820,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
sire," From civil feuds, and persecutions dire. ",cac95-l06030," But thither chas'd, fled with her aged sire",cac95-l06025,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
fire, In horror dread and tumult dire;,bjb18-l05085," In rushing flood and crackling fire,",bjb18-l05080,/æə/ | /æə/,full,aa<b>b</b><b>b</b>cc,pers00287,bjb18-w0040
ire," There she bestow'd her persecutions dire,",yfs88-l00775, And close pursu'd with unrelenting ire;,yfs88-l00780,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
fire," Gorgons, and hydras, and chymaeras dire. ",o4600-l02000," Monsters, with tails of ice, and heads of fire;",o4600-l01995,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
fire," Strange legends would he read, and figments dire",o4984-l08285," Of Limbus' prison'd shades, and purgatory fire. ",o4984-l08290,/æə/ | /æə/,full,ababcdcd<b>e</b><b>e</b>,pers00050,o4984-w0090
fire,What tho' the lazy bat and screech owl dire,o4986-l27325,"Souls once were there, in whom poetic fire",o4986-l27335,/æə/ | /æə/,full,<b>a</b>b<b>a</b>b,pers00196,o4986-w0580
admire,""" And fill the room with gratulation dire:",pcr18-l11560," ""My wife's gay friends th' unwelcome imp admire,",pcr18-l11555,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
briar," A thousand shapeless forms of terror dire,",pmt18-l09475, All tangled as it wound through brake and briar:,pmt18-l09465,/æə/ | /aɪə/,half-pararhyme,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
fire," A thousand shapeless forms of terror dire,",pmt18-l09475," Here shrieks the ill-omened bird, there glares the meteor's fire. ",pmt18-l09480,/æə/ | /æə/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0023
lyre,"OF warring senators, and battles dire,",o4039-l04010," Of quails uneaten. Muse awake the lyre,",o4039-l04015,/æə/ | /aɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00288,o4039-w0180
ire, And on his nose receiv'd the weapon dire:,o4039-l04775," Occur'd, the object of his bursting ire,",o4039-l04770,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
lyre, Long was the bloody fight; confusion dire,o4039-l05170, Has hid some circumstances from the lyre:,o4039-l05175,/æə/ | /aɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00288,o4039-w0180
require,"OF strange events I sing, and portents dire;",o3555-l02000, The wond'rous themes a reverent ear require;,o3555-l02005,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00149,o3555-w0030
fire,"Hissing aloud with undulations dire,",pmt18-l06920," Their tainted breath emitting poisonous fire,",pmt18-l06930,/æə/ | /æə/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0022
fire," When high in ether, with explosion dire,",o4671-l03185," From the deep craters of his realms of fire,",o4671-l03190,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
lyre,"THE wars of Numantia and Hannibal dire,",o5155-l31440,"Maecenas, ne'er suited my peaceable lyre,",o5155-l31450,/æə/ | /aɪə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00057,o5155-w0642
fire,""" Of these huge threatning Difficulties dire,",o3818-l06265,""" His Soul appall, and damp his rising Fire? ",o3818-l06275,/æə/ | /æə/,full,a<b>b</b>a<b>b</b>bcbcc,pers00020,o3818-w0010
aspire,""" Of these huge threatning Difficulties dire,",o3818-l06265," ""Resolve! resolve! and to be Men aspire! ",o3818-l06280,/æə/ | /æə/,full,a<b>b</b>ab<b>b</b>cbcc,pers00020,o3818-w0010
desire,""" Of these huge threatning Difficulties dire,",o3818-l06265," ""Here to Mankind indulg'd: controul Desire;",o3818-l06290,/æə/ | /æə/,full,a<b>b</b>abbc<b>b</b>cc,pers00020,o3818-w0010
retire," None else can guess the hardship dire,",o3982-l01765," To lawns and woodlands to retire,",o3982-l01770,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
fire, To groves where kept damn'd Furies dire,o4987-l30330, Their blue-tipt battlements of fire:,o4987-l30335,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00053,o4987-w0840
fire,"Go, Jealousy, Tormentress dire;",pba35-l11790," In Love, like Winds, you fan the Fire,",pba35-l11800,/æə/ | /æə/,full,<b>a</b>b<b>a</b>bcc,pers00087,pba35-w0920
fire,"And OUTRAGE bold, and MISCHIEF dire,",o5154-l29140,And DEVASTATION clad in fire.,o5154-l29145,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00141,o5154-w0550
conspire," Now vend their poisons, and in treasons dire",pma99-l02020," Against their friends, their queen, their hive conspire,",pma99-l02025,/æə/ | /aɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00306,pma99-w0080
