r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
learn,Only this I now discern,o4784-l15490," From the things, thou'd'st have me learn,",o4784-l15495,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
learn, His real interest to discern? ,o4091-l22650,Will Man but by experience learn? ,o4091-l22640,/ɜːn/ | /ɜːn/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
turn," Alone can all my wants discern,",o4984-l16155,Author of good! to thee I turn;,o4984-l16145,/ɜːn/ | /ɜːn/,full,<b>a</b>b<b>a</b>b,pers00045,o4984-w0250
bourn," While, by the ling'ring light, I scarce discern",n22cs-l03100,"O'er the tall brow of yonder chalky bourn,",n22cs-l03090,/ɜːn/ | /ɔːn/,half-pararhyme,abab<b>c</b>d<b>c</b>defefgg,pers00290,n22cs-w0420
learn," This Axiom clearly I discern,",pmp18-l36310," That One must Teach, and t'Other Learn. ",pmp18-l36315,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
turn," Nor carp at ev'ry flaw you may discern,",o3794-l21185,"Oh thwart me not, Sir Soph. at ev'ry turn,",o3794-l21180,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
learn," Till, soaring higher, striving to discern",o4741-l08510," Her hidden Fate, and future Fortune learn,",o4741-l08515,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
return,My path I could hardly discern;,o5155-l38675,I thought that she bade me return.,o5155-l38685,/ɜːn/ | /ɜːn/,full,ababc<b>d</b>c<b>d</b>,pers00035,o5155-w0950
learn," In moles and specks we Fortune's gifts discern,",pcr18-l09250, And Fate's fix'd will from Nature's wanderings learn. ,pcr18-l09255,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
learn,Where weak-ey'd Reason's self may well discern,o5157-l10760,"What joy for tutor'd Piety to learn,",o5157-l10750,/ɜːn/ | /ɜːn/,full,<b>a</b>b<b>a</b>b,pers00088,o5157-w0100
learn,"More prone to doubt, than anxious to discern:",o5152-l38225,"Curious of knowing, yet too proud to learn;",o5152-l38220,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
learn, Their real int'rest to discern:,o3794-l31530,"Hence jarring sectaries may learn,",o3794-l31525,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0250
learn," They've finish'd all, each long hid Spring discern,",pse03-l04055, The Gods themselves may hover here and learn;,pse03-l04060,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00272,pse03-w0140
learn," That I my people's danger may discern,",o3588-l02860," Let me, forewarn'd, each Sign, each System learn,",o3588-l02855,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
return,"But if the wand'rer his mistake discern,",o3794-l06960," Judge his own ways, and sigh for a return,",o3794-l06965,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
barn,Who in Whitehall can symmetry discern?,o5152-l36280,I reckon Covent-garden church a barn.,o5152-l36285,/ɜːn/ | /ɑːn/,half-pararhyme,<b>a</b><b>a</b>,pers00143,o5152-w0340
unlearn," For now, who Truth from Falshood would discern,",ppo24-l17620," Must first disrobe the Mind, and all unlearn:",ppo24-l17625,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0190
learn," Thy graceful form I well discern,",o3982-l06640, In act to listen and to learn;,o3982-l06645,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00274,o3982-w0020
learn,"From what she then told me, I plainly discern,",pba35-l05315, What different Lessons we Scholars must learn. ,pba35-l05320,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00087,pba35-w0360
learn,"Go, man, the ways of courts discern,",ojg27-l02755, You'll find a spaniel still might learn. ,ojg27-l02760,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0110
concern," Or others Malice, which can soon discern;",pse03-l03150, Perhaps may see in you some kind Concern. ,pse03-l03155,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00272,pse03-w0090
learn,"Yet thus, when we our way discern,",pcr18-l22450," To travel safely, when we learn,",pcr18-l22460,/ɜːn/ | /ɜːn/,full,<b>a</b>b<b>a</b>b,pers00275,pcr18-w0060
learn,"In truth by what I can discern,",o3668-l00145," Some Wit you have and more may Learn,",o3668-l00155,/ɜːn/ | /ɜːn/,full,<b>a</b>b<b>a</b>bcc,pers00012,o3668-w0010
learn,"Or say how hard those passions to discern,",o5157-l08810,"Ere the die's cast, and 'tis too late to learn?",o5157-l08815,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00112,o5157-w0090
airn, But first hang out that she'll discern,cbu86-l06745," Then heave aboard your grapple airn,",cbu86-l06755,/ɜːn/ | /eən/,half-pararhyme,abab<b>c</b>d<b>c</b>dx,pers00307,cbu86-w0090
learn,Th' intrinsic value to discern:,bed98-l02440,"'Till of thy clouded gifts we learn,",bed98-l02435,/ɜːn/ | /ɜːn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0050
