r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
pain, With high disdain. ,cbu86-l05810, But care or pain;,cbu86-l05800,/eɪn/ | /eɪn/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0080
strain,"Bruise her rich fruitage, and the grape disdain;",o4985-l27690," To sing whose honours Thenot rais'd his strain,",o4985-l27700,/eɪn/ | /eɪn/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
plain,"Bruise her rich fruitage, and the grape disdain;",o4985-l27690, Whose soul-inchanting lays still charm the listening plain. ,o4985-l27705,/eɪn/ | /eɪn/,full,ababb<b>c</b>bc<b>c</b>,pers00033,o4985-w0390
strain," And what we meanly sing, disdain. ",o4602-l00310," You ask a bold and lofty strain,",o4602-l00305,/eɪn/ | /eɪn/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0010
swain,"Without Concern he met the Fair's Disdain,",o5125-l19605, Nor cou'd her Frown disturb the haughty Swain:,o5125-l19610,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
main," It shakes the sides of splenetic disdain,",o3794-l12725," Thou self-entitled ruler of the main,",o3794-l12730,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
pain, Lovers all but Love disdain. ,o4986-l28420,"Other pleasures give them pain,",o4986-l28415,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00029,o4986-w0650
men," O' four disdain,",cbu86-l01750, Wi' honest men! ,cbu86-l01760,/eɪn/ | /en/,half-pararhyme,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0020
swain," That treated his vows with disdain,",o4987-l10905, That made her delude her fond swain. ,o4987-l10915,/eɪn/ | /eɪn/,full,ababc<b>d</b>c<b>d</b>,pers00179,o4987-w0330
train,'Hurl'd on a Dunghill with Disdain. ,o5125-l11930," 'Then I was banish'd from her Train,",o5125-l11925,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
vain," View'd unassuming merit with disdain,",pcm93-l00055,"The haughty Anselm, of his riches vain —",pcm93-l00045,/eɪn/ | /eɪn/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0010
pain,"I view with Anger and Disdain,",pmp18-l38505," How little gives Thee Joy, or Pain:",pmp18-l38510,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
pain," Of fancied scorn and undeserv'd disdain,",o3794-l22465,"I pity bashful men, who feel the pain",o3794-l22460,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
vain," As having it, he deems the world's disdain;",o3794-l24535,"Without it, his pretensions were as vain,",o3794-l24530,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
obtain, Refus'd their offers with disdain. ,bjl92-l13280," Did strive our favour to obtain,",bjl92-l13270,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0550
vain, Our counsels slighted with disdain:,bjl92-l13430, Which render'd every effort vain. ,bjl92-l13440,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0550
main," When kindled by disdain,",bmb97-l07290, And waveless be the main. ,bmb97-l07300,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0190
again," That sombre look of cold disdain,",bjb18-l05890, I ne'er shall see thy face again. ,bjb18-l05895,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0070
strain," Which BUTE may praise, and OSSIAN not disdain,",o4110-l01320," And if plain nature pours a simple strain,",o4110-l01315,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
complain," Nor force those flatt'ring smiles, to hide disdain;",peh89-l07765,"No more in silence hear me thus complain,",peh89-l07760,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00324,peh89-w0120
plain, And groves that Winter's fiercest rage disdain,o4987-l13490, In fair plantations deck the shelter'd plain:,o4987-l13495,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00250,o4987-w0390
again," Their feign'd contempt, or proud disdain,",bah18-l07410," She lov'd, and was belov'd again. ",bah18-l07420,/eɪn/ | /en/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00281,bah18-w0580
pain,"My towering mind should soon disdain,",o5156-l02455,"What other breasts convert to pain,",o5156-l02450,/eɪn/ | /eɪn/,full,a<b>b</b><b>b</b>a,pers00035,o5156-w0050
vain, Th'obdurate Youth insults her with Disdain;,o4741-l09410,"SO spake the mourning Dame, but spake in vain;",o4741-l09405,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
main," From slighted Vows, and cold Disdain? ",pmp18-l02450,Alas! what Dangers on the Main,pmp18-l02440,/eɪn/ | /eɪn/,full,aabb<b>c</b>c<b>c</b>,pers00314,pmp18-w0100
sustain," From slighted Vows, and cold Disdain? ",pmp18-l02450," Can equal Those that I sustain,",pmp18-l02445,/eɪn/ | /eɪn/,full,aabbc<b>c</b><b>c</b>,pers00314,pmp18-w0100
pain," Of slighted Vows, and cold Disdain. ",pmp18-l02485, I may once more repeat my Pain;,pmp18-l02475,/eɪn/ | /eɪn/,full,aabb<b>c</b>c<b>c</b>,pers00314,pmp18-w0100
complain," Of slighted Vows, and cold Disdain. ",pmp18-l02485, Once more in dying Notes complain,pmp18-l02480,/eɪn/ | /eɪn/,full,aabbc<b>c</b><b>c</b>,pers00314,pmp18-w0100
complain," For tho my years compel me to disdain,",oar96-l10075, Of the false Charmer meanly to complain;,oar96-l10080,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00265,oar96-w0510
pain,"Yet half mankind this easy Good disdain,",o5153-l04685,Nor relish happiness unbought by pain;,o5153-l04690,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>a,pers00030,o5153-w0080
vain,"Yet half mankind this easy Good disdain,",o5153-l04685,"False is their taste of bliss, and thence their search is vain.",o5153-l04695,/eɪn/ | /eɪn/,full,<b>a</b>a<b>a</b>,pers00030,o5153-w0080
reign,Some bold adventurers disdain,tgaen-l03725,"The limits of their little reign,",tgaen-l03730,/eɪn/ | /eɪn/,full,abab<b>c</b><b>c</b>deed,pers00039,tgaen-wodec
pain,And patience answer her disdain:,o5154-l32665,"Since nought avails to ease thy pain,",o5154-l32655,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>cc,pers00107,o5154-w0600
pain, And wide-mouth'd Lizards sandy Heaps disdain. ,pdi22-l00770,"The Cramp-Fish rightly nam'd from numming Pain,",pdi22-l00765,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
mane,"The Royal Dam looks round with proud Disdain,",pdi22-l05950," Lashes her Sides, and curls her flowing Mane;",pdi22-l05955,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
train,"So from her inmost Cave, with proud Disdain,",pdi22-l09685, The soft Sea-Lamprey spreads her wavy Train:,pdi22-l09690,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
pain, He meditates Revenge; with proud Disdain,pdi22-l11700,"Vext with Disgrace, and Sense of various Pain",pdi22-l11695,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
regain," Danger and death PERUVIA'S sons disdain,",bhw18-l03705, And half their captive city soon regain. ,bhw18-l03710,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
rein,"At length, to madness stung by fixed disdain,",bhw18-l04505, ALPHONSO now to fury gives the rein;,bhw18-l04510,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
pain,"Tir'd of my long encounters with disdain,",o4987-l32000," Peaceful my pulse, and ebbing from its pain;",o4987-l32005,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00224,o4987-w0880
