r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
please, No Herb was found to cure the fond Disease. ,pdi12-l01475," Disconsolate you look, and nought could please,",pdi12-l01470,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
please,Signal trophies from DISEASE,o5156-l24975,"Thee suspended crutches please,",o5156-l24970,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
please," Or else 'tis Scurvy, or some new disease,",oae86-l02680," As the base wretch or vain Physician please,",oae86-l02685,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
fees, And give us in recitals of disease,o3794-l22290," A doctor's trouble, but without the fees:",o3794-l22295,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
please," Your Passion now is but a dull Disease,",pse03-l03900,"Go perjur'd Youth and court what Nymph you please,",pse03-l03895,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00272,pse03-w0130
ease,"Or felt the burthen'd languor of disease,",o5157-l05845,And idolize the hand which lent him ease?,o5157-l05855,/iːz/ | /iːz/,full,a<b>b</b>a<b>b</b>,pers00038,o5157-w0074
ease," There secret sigh, and feed the sweet Disease. ",o5247-l05100,"To lonely Shades in vain I fly for Ease,",o5247-l05095,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00295,o5247-w0260
please,"Nor think there needs th' allay of sharp disease,",o5155-l30330,"To quicken thy repast, and give it pow'r to please.",o5155-l30335,/iːz/ | /iːz/,full,aabbcc<b>d</b><b>d</b>,pers00055,o5155-w0590
seas,But none like Fishes feel the dear Disease;,pdi22-l03945, For Venus doubly warms her native Seas. ,pdi22-l03950,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
please," Continu'd Meals improve the hid Disease,",pdi22-l08690,"While ill-tim'd Feasts and midnight Revels please,",pdi22-l08685,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
appease,Ev'n Love is no incurable Disease.,oat77-l09430,"Yes, for as Balsoms raging Pains appease",oat77-l09420,/iːz/ | /iːz/,full,<b>a</b>a<b>a</b>,pers00344,oat77-w0670
ease,Ev'n Love is no incurable Disease.,oat77-l09430,"Sage Councells to distemper'd Souls give ease,",oat77-l09425,/iːz/ | /iːz/,full,a<b>a</b><b>a</b>,pers00344,oat77-w0670
