r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
race, Are trumpets of their own disgrace. ,ojg27-l05000," Coxcombs, an ever-noisy race,",ojg27-l04995,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0200
place,The conscious wretch bewail'd her foul disgrace;,o5155-l36485,"When banish'd reason re-assum'd her place,",o5155-l36480,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00142,o5155-w0870
base,O ne'er may virtue's dire disgrace,o5153-l23465,Prepare a triumph for the base!,o5153-l23470,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
trace," And, pleas'd, enjoy the fam'd disgrace,",o4602-l00355,"Resolv'd great hidden Truths to trace,",o4602-l00345,/eɪs/ | /eɪs/,full,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
face," Thy very children watch for thy disgrace,",o3794-l11395," A lawless brood, and curse thee to thy face:",o3794-l11400,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
face,"Hast thou, when heav'n has cloath'd thee with disgrace,",o3794-l11935," And long provok'd, repaid thee to thy face,",o3794-l11940,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
race, Whose horrid perpetration stamps disgrace,o3794-l12065," Baboons are free from, upon human race? ",o3794-l12070,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
place," And that judicially withdrawn, disgrace,",o3794-l13445, Error and darkness occupy their place. ,o3794-l13450,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
race,"Of manners foul, and boastful of disgrace:",o5154-l08725,"CYNICS there were, an uncouth selfish race,",o5154-l08720,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
face, She deep will mark her new Disgrace. ,pmp18-l02335, And on her tabby Rival's Face,pmp18-l02330,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0080
race,Live but the publick burthen and disgrace:,o5152-l25905,Such spurious animals of worthless race,o5152-l25900,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
embrace," And pleas'd, prefer Oblivion to Disgrace. ",o4984-l23515," Calm and resign'd my humbler lot embrace,",o4984-l23510,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00051,o4984-w0430
race,"Ye foes of heav'n, and Britain's dire disgrace,",yfs88-l00505," Unjust opressors of an injur'd race,",yfs88-l00510,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
base,"Let Idleness, unpity'd, meet Disgrace;",pba35-l10880," For Idleness, this Year, is doubly base. ",pba35-l10885,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
face,"Say, brother, whence the dire disgrace? ",ojg27-l05735,What envious hand hath robb'd your face? ,ojg27-l05740,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0230
face," Who to please others will themselves disgrace,",o3794-l21860," Yet please not, but affront you to your face. ",o3794-l21865,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
face, Of needless shame and self-imposed disgrace. ,o3794-l22475, And bear the marks upon a blushing face,o3794-l22470,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
grimace," There sits and prompts him with his own disgrace,",o3794-l23040," Prescribes the theme, the tone and the grimace,",o3794-l23045,/eɪs/ | /ɪməs/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
deface,What forms too oft the tragic scene disgrace? ,o4985-l09880,What tasteless airs the comic scene deface? ,o4985-l09885,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
face,To see his triumph and her just disgrace.,o5156-l38145,"Envy with rage contending in her face,",o5156-l38140,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
face," Their copied scene with mangled arts disgrace,",o4600-l03625, And pause and start with the same vacant face;,o4600-l03630,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
race,Being well informed we have incurr'd Disgrace,oat77-l07670,"By Harb'ring in our Realm a Scandalous Race,",oat77-l07675,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00344,oat77-w0500
race, And grieves to see one nobly born disgrace,o4987-l20790," Her modest sex, and her illustrious race. ",o4987-l20795,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
place, And then to heighten the Disgrace,psw11-l00115, Clap his own Nonsence in the place. ,psw11-l00120,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00148,psw11-w0010
place,"Believe it not, the Name is in disgrace,",o3585-l00205, Virtue and TEMPLE now are out of place. ,o3585-l00210,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
race," ""No more my native bed disgrace,",o4987-l18940," ""Away, ye worthless, formless race! ",o4987-l18930,/eɪs/ | /eɪs/,full,<b>a</b>b<b>a</b>b,pers00178,o4987-w0610
face,"Ridges of Fat the manly Form disgrace,",pdi22-l08715, And bloated Veins enlarge the purpled Face. ,pdi22-l08720,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
debase,"Which teems with unknown crimes, and genders new disgrace,",o5154-l02115,"The monstrous age, which still increasing years debase,",o5154-l02110,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>bbcddc,pers00031,o5154-w0060
place," The child of weakness, follow'd by disgrace. ",bmb97-l03935, Let fair simplicity supply its place;,bmb97-l03925,/eɪs/ | /eɪs/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0080
trace,"Of many loves, the mother's fresh disgrace. —",pcr18-l10975,Recorded next a babe of love I trace! ,pcr18-l10970,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
base," He knew no shame, he dreaded no disgrace. ",pcr18-l12315," His pliant soul gave way to all things base,",pcr18-l12310,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
place, Preserved a rustic beauty from disgrace;,pcr18-l13630,"Correct in thought, she judged a servant's place",pcr18-l13625,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
lace," All hope of marriage lost in her disgrace,",pcr18-l14670," He mourns a flame revived, and she a love of lace. ",pcr18-l14675,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
face," Shame knew him not, he dreaded no disgrace;",pcr18-l17850," Truth, simple truth, was written in his face;",pcr18-l17855,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
place, It was the jealous pride that shuns disgrace;,pcr18-l17985," But if that spirit in his soul had place,",pcr18-l17980,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
race," Of thy whole species thou disgrace,",ojg27-l07425, Dogs should disown thee of their race! ,ojg27-l07430,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0310
race,"And shall Hibernia fear Disgrace,",pba35-l11340," From Thomond, of Milesian Race? ",pba35-l11345,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00087,pba35-w0900
embrace," No views of fame, no fears of sad disgrace,",o5089-l03920," Had pow'r to tear them from thy lov'd embrace,",o5089-l03925,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
trace, And raise himself by others foul disgrace. ,o5089-l04270," Catch ev'ry twig, each brake and op'ning trace,",o5089-l04260,/eɪs/ | /eɪs/,full,<b>a</b>a<b>a</b>,pers00058,o5089-w0050
place, And raise himself by others foul disgrace. ,o5089-l04270," Pull down his friend, nay father from his place,",o5089-l04265,/eɪs/ | /eɪs/,full,a<b>a</b><b>a</b>,pers00058,o5089-w0050
recess,"But Vengeance some pursu'd with dire disgrace,",o4985-l14000," Even to the cementery's dark recess,",o4985-l14010,/eɪs/ | /es/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00176,o4985-w0220
pace," Dreams of jobation, lectures and disgrace;",pma99-l07720," Abash'd the youth retires with thoughful pace,",pma99-l07715,/eɪs/ | /eɪsi/,half-vowelrhyme,<b>a</b><b>a</b>,pers00306,pma99-w0370
place, And all who spoke or witnessed my disgrace;,pmt18-l10165," And seeks some tranquil, solitary place",pmt18-l10175,/eɪs/ | /eɪs/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
race," ""I fancied silence was disgrace,",bmb97-l02520," ""I own'd the splendour of my race,",bmb97-l02510,/eɪs/ | /eɪs/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0050
race,"The next ill Tribe that Poetry disgrace,",oau90-l01015,"Is, to their shame, amongst the Female race:",oau90-l01020,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00350,oau90-w0010
debase," Wanton with worship, and your God disgrace,",o4154-l00745,"No more, ye vain, the sacred dome debase,",o4154-l00740,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00332,o4154-w0010
face," Deep in his breast he felt the new disgrace,",o5089-l23210, And honest blushes warm'd his godlike face. ,o5089-l23215,/eɪs/ | /eɪs/,full,abab<b>c</b><b>c</b>,pers00054,o5089-w0480
race," So, on the early prospect of disgrace,",pcr18-l06950, Fly in vast troops this apprehensive race;,pcr18-l06955,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
race,"Last in these ranks, and least, their art's disgrace,",pcr18-l08440, Neglected stand the Muses 'meanest race;,pcr18-l08445,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
