r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
wish,A Ladle for our Silver Dish,pmp18-l13395," Is what I want, is what I Wish. —",pmp18-l13400,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
wish," ""What pleasure in an added dish,",pik94-l06220,""" Or robe I neither want or wish;",pik94-l06225,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
wish," Give the Epicure his Dish,",o4784-l04185, Ev'ry one their sev'ral Wish;,o4784-l04190,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
fish,"You shapeless nothing in a dish,",o3794-l34350," You that are but almost a fish,",o3794-l34355,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0420
fish," With sauce of oysters, in no silver dish;",o5089-l21115," He gave him (all he could) a little fish,",o5089-l21110,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00043,o5089-w0430
fish, She ne'er forgot her standing dish. ,o3982-l02110,"Tho' rich in game, and stor'd with fish,",o3982-l02105,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
wish, My charming CELIA'S Standing Dish! ,o3982-l03490," O give me, was his secret wish,",o3982-l03485,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
wish, For aught besides the STANDING DISH. ,o3982-l04340,FLORIO had now forgot to wish,o3982-l04335,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
wish, Good-nature for his Standing Dish. ,o3982-l04830," Yet know, your husband still will wish,",o3982-l04825,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
fish," Let each guest bring himself, and he brings the best dish,",o5346-l06055," If our landlord supplies us with beef, and with fish,",o5346-l06050,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00174,o5346-w0060
