r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
afraid," His haughty Spirit was at this dismay'd,",o5125-l20225," Lycander trembl'd, and was once afraid:",o5125-l20230,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
maid,"SELMO, by ARNO's lawless power dismay'd,",cac95-l07275, Far from his reach had borne th' unhappy maid;,cac95-l07280,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
said," Soon selfish fears his coward heart dismay'd,",cac95-l08605," With voice confus'd, unknowing what he said,",cac95-l08610,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>a,pers00301,cac95-w0130
allayed," Soon selfish fears his coward heart dismay'd,",cac95-l08605, He bade the kindling flames to be allay'd. ,cac95-l08615,/eɪd/ | /eɪd/,full,<b>a</b>a<b>a</b>,pers00301,cac95-w0130
shade," Yet while Strephon is absent, dejected, dismay'd,",o4986-l19830, I droop like a flower that repines in the shade. ,o4986-l19835,/eɪd/ | /eɪd/,full,aabb<b>c</b><b>c</b>,pers00240,o4986-w0430
afraid, At no man's question Isaac look'd dismay'd:,pcr18-l17845, Of no man's presence Isaac felt afraid;,pcr18-l17840,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
aid, She likewise was dismay'd. ,pjo50-l06265, Impatient to her aid;,pjo50-l06255,/eɪd/ | /eɪd/,full,x<b>a</b>x<b>a</b>,pers00273,pjo50-w0180
conveyed," Look'd all around, confounded and dismay'd. ",o4039-l02815," The public wrong and loyalty convey'd,",o4039-l02805,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00288,o4039-w0110
arrayed,"See, where by Terror and Despair dismay'd",o4987-l08580,"Ambition's car, in bloody spoils array'd,",o4987-l08590,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00207,o4987-w0260
maid, When roused from sleep before her eyes dismayed,pmt18-l05875," All hopeless of escape — so looks the maid,",pmt18-l05865,/eɪd/ | /eɪd/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0022
shade, When roused from sleep before her eyes dismayed,pmt18-l05875, A knight all armed appears close mid the embowering shade. ,pmt18-l05880,/eɪd/ | /eɪd/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0022
shade,"Abash'd, dismay'd,",o5153-l18150,Like a chas'd lion to the savage shade,o5153-l18155,/eɪd/ | /eɪd/,full,ababcdcdee<b>f</b><b>f</b>ghghikki,pers00024,o5153-w0320
maid,"So forth I prick, tho' much by doubt dismay'd,",o5155-l13310,"And take my congé of my blooming maid,",o5155-l13285,/eɪd/ | /eɪd/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o5155-w0200
arrayed,"So forth I prick, tho' much by doubt dismay'd,",o5155-l13310,To her behest at length myself array'd:,o5155-l13295,/eɪd/ | /eɪd/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o5155-w0200
obeyed,"So forth I prick, tho' much by doubt dismay'd,",o5155-l13310,"The fair we love expects to be obey'd,",o5155-l13300,/eɪd/ | /eɪd/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o5155-w0200
betrayed,"How all men stand dismay'd,",o4539-l00785,And see themselves betray'd.,o4539-l00800,/eɪd/ | /eɪd/,full,a<b>b</b>aa<b>b</b>,pers00346,o4539-w0010
fled," While those with Fear, and these with Joy, dismay'd.",o4437-l00790," Amaz'd almost as much as they that fled,",o4437-l00785,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>,pers00346,o4437-w0010
glade," Tho' deeply wounded, no way yet dismay'd,",pmp18-l24065,"So the fell Lion in the lonely Glade,",pmp18-l24055,/eɪd/ | /eɪd/,full,abab<b>c</b>d<b>c</b>dee,pers00314,pmp18-w0730
strayed,Oft did Harmodius (at her state dismay'd),o4987-l03495," Her vague reply still from his question stray'd,",o4987-l03505,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00176,o4987-w0080
glade, Yet not the Roman Steel their naked Breast dismay'd. ,o3818-l04270, Their Wealth the Wild-Deer bouncing through the Glade;,o3818-l04255,/eɪd/ | /eɪd/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
aid, Yet not the Roman Steel their naked Breast dismay'd. ,o3818-l04270," Save Spear, and Bow, withouten other Aid,",o3818-l04265,/eɪd/ | /eɪd/,full,ababbcb<b>c</b><b>c</b>,pers00020,o3818-w0010
laid," And sorrow, guilt, and pain, by turns dismay'd,",o5346-l03065,"Beside the bed where parting life was laid,",o5346-l03060,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00174,o5346-w0020
aid, And drought is sore dismay'd. ,pma99-l07375, To thee looks up for aid;,pma99-l07365,/eɪd/ | /eɪd/,full,x<b>a</b>x<b>a</b>,pers00306,pma99-w0350
aid," She sinks in death — th'astonish'd soul, dismay'd,",pye85-l02635,"In vain, in vain! the heart refuses aid,",pye85-l02625,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00256,pye85-w0070
evade, You hope the traitor (by your threats dismay'd),o3366-l01195," Will keep the promise, which he can evade? ",o3366-l01200,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00319,o3366-w0010
strayed,But the brave FAIRY KNIGHT no whit dismay'd,o5155-l03560,"With curious eye observing, as he stray'd",o5155-l03570,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5155-w0030
