r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
more,"Ah! to listen again, by mine own cottage door,",bjb18-l28745, To the sound of mine own native village once more! ,bjb18-l28750,/ɔː/ | /ɔː/,full,aa<b>b</b><b>b</b>,pers00287,bjb18-w0680
more,"Ah! to listen at ease by mine own cottage door,",bjb18-l28845, To the sound of mine own native village once more! ,bjb18-l28850,/ɔː/ | /ɔː/,full,aa<b>b</b><b>b</b>,pers00287,bjb18-w0680
implore,"My pen I here fling to the door,",cbu86-l05905," And kneel, 'Ye Pow'rs, and warm implore,",cbu86-l05910,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0080
over,"My pen I here fling to the door,",cbu86-l05905,"' Tho' I should wander Terra o'er,",cbu86-l05915,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0080
more,"My pen I here fling to the door,",cbu86-l05905,"' Grant me but this, I ask no more,",cbu86-l05925,/ɔː/ | /ɔː/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0080
poor,"See the puff'd Tradesman strut before his Door,",o5125-l05575, Whose Birth was humble and whose Fortune poor;,o5125-l05580,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
more," Then flies the Vision through its Iv'ry Door,",o5125-l05750, Till her charm'd Senses will contain no more;,o5125-l05745,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
store, If thousand Spectres guard the awful Door:,o5125-l20250,"Sophinia's mine, and I will seize my Store,",o5125-l20245,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
poor," Adult'ry neighing at his neighbour's door,",o3794-l10180," Oppression labouring hard to grind the poor,",o3794-l10185,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
before," Fell broken and defac'd at his own door,",o3794-l12515, As Dagon in Philistia long before. ,o3794-l12520,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
power, With mad tyrannic force he wrench'd the door;,cac95-l06980,"Rash in resolve, and conscious of his power,",cac95-l06975,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
pour,"While yet he speaks loud tumults burst the door,",cac95-l07105," And soldiers entering, round young RAPHAEL pour;",cac95-l07110,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
more, Invite the stranger to the door;,o5089-l34170, Thy hospitable roofs no more,o5089-l34165,/ɔː/ | /ɔː/,full,aabb<b>c</b><b>c</b>dd,pers00185,o5089-w0720
more, Her aged mother's door —,o5089-l11530, That angel-face no more! ,o5089-l11540,/ɔː/ | /ɔː/,full,x<b>a</b>x<b>a</b>,pers00180,o5089-w0140
tore," 'Twas one that nails our Garden Door,",o5125-l11690, And oft my Petticoat has tore:,o5125-l11695,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
more,'Were hammer'd in the spacious Door:,o5125-l11815,"'Where I, with seven hundred more,",o5125-l11810,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
secure,'With me — a stately oaken Door. ,o5125-l11970," 'Carry'd me home, and made secure",o5125-l11965,/ɔː/ | /ʊə/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0340
poor," Opens the hospitable door,",o4984-l04475," Welcomes the friend, relieves the poor;",o4984-l04480,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
