r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
on," For one Drop calls another down,",o4672-l11195,Thus Weeping urges Weeping on;,o4672-l11185,/aʊn/ | /ɒn/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0580
crown,"The weeping Nymphs, all throw their Cypress down,",pse03-l11795, With eager Hands wreath your victorious Crown;,pse03-l11800,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00272,pse03-w0530
frown," As if, not love, but wrath had brought him down,",o3794-l10645,"He judg'd them with as terrible a frown,",o3794-l10640,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
frown," To punish lust, or pluck presumption down;",o3794-l11235,"When God arises with an awful frown,",o3794-l11230,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
own," To waste thy life in arms, or lay it down",o3794-l12665, In causeless feuds and bick'rings of their own:,o3794-l12670,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
frown, He that had rais'd thee could have pluck'd thee down. ,o3794-l12880," 'Twas but to prove how quickly with a frown,",o3794-l12875,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
frown," And though resolv'd to risk them, and swim down",o3794-l13395," The tide of pleasure, heedless of his frown,",o3794-l13400,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
shown,But theirs is running over and prest down;,oae86-l02440,Their pride in some small measure I have shown. ,oae86-l02435,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
crown,"When on his couch I threw me down,",o4739-l01245," I saw thee weave a myrtle crown,",o4739-l01250,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00285,o4739-w0080
frown,His lifted fasces ram the lesson down.,o5154-l08805,"Teaching by force, and proving by a frown,",o5154-l08800,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
crown,"Thro' the long series of our princes down,",o5154-l09810,How wrench'd some right from each too potent Crown.,o5154-l09815,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
crown,And for awhile laid down,o5153-l31885,"The painful, envied burthen of a crown:",o5153-l31890,/aʊn/ | /aʊn/,full,aabbccddee<b>f</b><b>f</b>ghhgikikll,pers00040,o5153-w0590
throne,"""From her wild heights can call Ambition down,",o5157-l27475,"""Or shake a tyrant's purple throne: """,o5157-l27485,/aʊn/ | /əʊn/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00089,o5157-w0420
crown, And low her robe hangs down. ,pcm93-l07075, But by a myrtle crown;,pcm93-l07065,/aʊn/ | /aʊn/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0080
known, To raise or tumble Cities down:,o4741-l05320, The Pow'r of MUSIC has been known,o4741-l05315,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0080
throne, Sinks all created Glory down:,o3900-l13645," Vile Worm, draw near thy awful Throne. ",o3900-l13655,/aʊn/ | /əʊn/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00310,o3900-w0740
frown," Imperial Britain on the Sea looks down,",pmp18-l06850, And smiling sees her Rebel Subject frown:,pmp18-l06855,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0225
frown,"With mis'ry should he sink so meanly down,",yfs88-l00525," Adore your smile, and tremble when you frown;",yfs88-l00530,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
