r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
plain,While ev'ry flow'r of ev'ry sweet they drain:,o5153-l00750,"Hark how the bees with murmurs fill the plain,",o5153-l00745,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00030,o5153-w0010
rain," Shall, thro' thousand Winters, drain",bse96-l02690," Driving snow, or drenching rain;",bse96-l02695,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
main,Their country's blood with ruthless weapons drain!,o5155-l33390,And sent the frighted Danube purple to the main!,o5155-l33405,/eɪn/ | /eɪn/,full,aa<b>b</b>cc<b>b</b>,pers00002,o5155-w0710
main," Their  Country's wealth our mightier Misers drain,",o3677-l01185," Or cross, to plunder Provinces, the Main:",o3677-l01190,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00012,o3677-w0010
gain, And swells the Store it meant to drain. ,pba35-l04620," Their Malice but augments his Gain,",pba35-l04615,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00087,pba35-w0310
plain, And swampy Meads the gathering Waters drain:,pdi13-l03395," The swift united Streams haste to the Plain,",pdi13-l03390,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00266,pdi13-w0010
reign, Did all the Dregs of bold Socinus drain;,o3675-l02740, The following Licence of a Foreign Reign,o3675-l02735,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00012,o3675-w0010
vain," And when long storms the winter-stores would drain,",bsb18-l03200, Hunger might ask the stinted meal in vain. ,bsb18-l03205,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
vain," A tyrant's veins the steel may drain,",o4899-l03380," Were it — but ah, the wish is vain,",o4899-l03375,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>a,pers00330,o4899-w0010
slain," A tyrant's veins the steel may drain,",o4899-l03380, A Demagogue is never slain;,o4899-l03385,/eɪn/ | /eɪn/,full,a<b>a</b><b>a</b>,pers00330,o4899-w0010
