r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
come,A fortnight after to a drum:,o5156-l29130,No message sent to bid me come,o5156-l29125,/ʌm/ | /ʌm/,full,<b>a</b><b>a</b>,pers00134,o5156-w0800
come,"Shall still the trumpet and the drum,",o5152-l09630,"And sure the promis'd hour is come,",o5152-l09620,/ʌm/ | /ʌm/,full,abbaa<b>c</b>d<b>c</b>dcefefghhgikikllk,pers00007,o5152-w0100
dumb,"Shall still the trumpet and the drum,",o5152-l09630,And strike Bellona's musick dumb:,o5152-l09640,/ʌm/ | /ʌm/,full,abbaacd<b>c</b>d<b>c</b>efefghhgikikllk,pers00007,o5152-w0100
home,"He follows far the fife and drum,",bah18-l07285," Ah! while he wanders far from home,",bah18-l07295,/ʌm/ | /əʊm/,half-pararhyme,aabb<b>c</b>d<b>c</b>d,pers00281,bah18-w0570
perfume,"Will court no more the Musquet and the Drum,",o4437-l01290,"The Powder'd Wig, the Snuff-Box and Perfume",o4437-l01285,/ʌm/ | /ɜːfjuːm/,half-pararhyme,<b>a</b><b>a</b>a,pers00346,o4437-w0010
home,"Will court no more the Musquet and the Drum,",o4437-l01290,"And Beaus go Rakes to War, come Bullies Home.",o4437-l01295,/ʌm/ | /əʊm/,half-pararhyme,a<b>a</b><b>a</b>,pers00346,o4437-w0010
come," Whether at ball, at rout, at drum;",o3613-l00170,"Congratulating crowds shall come,",o3613-l00160,/ʌm/ | /ʌm/,full,<b>a</b>b<b>a</b>b,pers00304,o3613-w0010
come," The Butler thought 'twas beat of drum,",o3982-l01865, The Steward swore the French were come;,o3982-l01870,/ʌm/ | /ʌm/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
come," I bear the dead note of the drum,",n27tc-l05910,"THE last, the fatal hour is come",n27tc-l05900,/ʌm/ | /ʌm/,full,<b>a</b>b<b>a</b>b,pers00316,n27tc-w0060
room,To beat a March upon your Drum?,oau90-l12770,"And took you to some inner Room,",oau90-l12765,/ʌm/ | /uːm/,half-pararhyme,<b>a</b><b>a</b>,pers00350,oau90-w0430
become," Doth, with the first sound of the hostile drum,",bjb18-l25635, A fearless man become. ,bjb18-l25640,/ʌm/ | /ʌm/,full,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0570
come,"The country trumpet, and perhaps a drum;",o5152-l33495,To knights new chosen in old time would come,o5152-l33440,/ʌm/ | /ʌm/,full,<b>a</b><b>a</b>,pers00143,o5152-w0330
sum," I swear I'll keep from Mrs. Fuzz's drum,",pma99-l09100, This night I'm like to lose three times that sum;,pma99-l09095,/ʌm/ | /ʌm/,full,<b>a</b><b>a</b>,pers00306,pma99-w0500
come, And hears thy stormy music in the drum! ,n27tc-l00500,"Hails in his heart the triumph yet to come,",n27tc-l00495,/ʌm/ | /ʌm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
benumb," Freeze every standard-sheet, and hush the drum! ",n27tc-l03920,"File after file, the stormy showers benumb,",n27tc-l03915,/ʌm/ | /ʌm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
come,No more I'll attend to the drum;,bjl92-l09570," From that sure no danger can come,",bjl92-l09580,/ʌm/ | /ʌm/,full,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0380
become,"Better, than thus to sit hum drum,",o4899-l06915," Like country schoolmaster become,",o4899-l06920,/ʌm/ | /ʌm/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
