r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
full,"Tho' shallow, muddy; brisk, tho' mighty dull;",o5154-l20165,"Fierce without strength; o'erflowing, tho' not full.",o5154-l20170,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00112,o5154-w0310
fool," Hence 'tis, she's sometimes sprightly, sometimes dull;",o4741-l12425," And sometimes witty, sometimes quite a Fool;",o4741-l12430,/ʌl/ | /uːl/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0270
school,"See the pedantick Teacher, winking dull,",o5154-l08790,The letter'd Tyrant of a trembling school;,o5154-l08795,/ʌl/ | /uːl/,half-pararhyme,<b>a</b><b>a</b>,pers00042,o5154-w0140
full,"Obscurely learn'd, elaborately dull,",o5154-l10240,"Of quibbling cant and grace fanatick full,",o5154-l10245,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00042,o5154-w0140
full,"They find, She giddy is, or dull;",pmp18-l36440," She doubts, if Things are void, or full:",pmp18-l36445,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
scull,That truth itself is in her head as dull,o3794-l24620," And useless as a candle in a scull,",o3794-l24625,/ʌl/ | /ʌl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
cull," ""Gay by constraint, and elegantly dull. "" ",o5280-l06810,"By Fashion's rule the sweets of life they cull,",o5280-l06805,/ʌl/ | /ʌl/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
skull, The Spirits tremble and the Heart be dull:,o5125-l07300,"What the black Mists afflict the aking Skull,",o5125-l07295,/ʌl/ | /ʌl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0220
fool,"Scorn'd by the sad, the cynie, and the dull,",o4154-l00830," The wou'd-be wit, and milky minded fool. ",o4154-l00835,/ʌl/ | /uːl/,half-pararhyme,<b>a</b><b>a</b>,pers00332,o4154-w0010
lull,Without her privilege for being dull?,o5152-l38715,"Usurp the province of the nurse to lull,",o5152-l38710,/ʌl/ | /ʌl/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
full, At Flights of Fancy very dull;,o5125-l10940, But I can form Receipts at full. ,o5125-l10945,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0300
lull,Himself stands up most venerably dull;,o5154-l08315,"And now his hearers in their turn to lull,",o5154-l08310,/ʌl/ | /ʌl/,full,<b>a</b><b>a</b>,pers00017,o5154-w0130
droll," To-Day's Conceit, methinks, is something dull:",pmp18-l19240," Why how now, Andrew! cries his Brother Droll,",pmp18-l19235,/ʌl/ | /əʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0610
full, For ever patient and for ever dull! ,pjo50-l00875,"His pleasures always equal, flowing, full,",pjo50-l00870,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0020
fool," And to be very Faithful's, to be very Dull. ",o4885-l03945," Changing's the Mode; a Lover is a Fool,",o4885-l03940,/ʌl/ | /uːl/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
fool," 'Twould be so forc'd, so aukward, and so dull,",o4437-l00180," Gallo would seem more Lewd, Talus seem more a Fool:",o4437-l00185,/ʌl/ | /uːl/,half-pararhyme,<b>a</b><b>a</b>,pers00346,o4437-w0010
full," ""Why art thou always cross and dull,",o5125-l07995,"""Unless the noisy Rooms are full? ",o5125-l08000,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0230
full,"From Wisdom's feast they rose not chear'd, but dull:",o5154-l28120,"By studying spent, like men that cram too full,",o5154-l28115,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00124,o5154-w0470
fool," Whose Right it is, uncensur'd to be dull;",o3675-l02970,"Fear most to tax an Honourable Fool,",o3675-l02965,/ʌl/ | /uːl/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3675-w0010
scull," Be he a Sot, incorrigibly dull:",oab00-l00860,"No matter how unfurnish'd be his Scull,",oab00-l00855,/ʌl/ | /ʌl/,full,<b>a</b><b>a</b>,pers00335,oab00-w0010
pitiful," ""And very whimsical, and mighty dull,",o4103-l21725,""" And pitiful, and wond'rous pitiful:",o4103-l21730,/ʌl/ | /ɪtifl/,half-pararhyme,<b>a</b><b>a</b>,pers00254,o4103-w0350
full,Who eat and drink 'till appetite grows dull:,o5155-l36355,"Ye portly cits, so corpulent and full,",o5155-l36350,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00142,o5155-w0860
full,"""The soft, the froward, and the dull,",o5125-l04040," ""The gay, the empty, and the full,",o5125-l04035,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0130
full, The World will dare pronounce you dull. ,pba35-l03090," Want two Subscriptions to be full,",pba35-l03085,/ʌl/ | /ʊl/,half-pararhyme,<b>a</b><b>a</b>,pers00087,pba35-w0200
