r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
commends,Some patriot sway'd by private ends;,o5153-l23430,Whether the erring crowd commends,o5153-l23425,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
friends," Or else to bear their Names: So, for by ends,",oae86-l02565," They take a Wife, and satisfie their friends,",oae86-l02570,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
descends, In horrid certainty the vision ends. ,cac95-l08930," No spectre mocks, no empty shade descends,",cac95-l08925,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
sends," Quite to our Toes, and Fingers Ends;",pmp18-l31120, A thousand little Nerves She sends,pmp18-l31115,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
friends,"Prose-Men alone, for private Ends,",pmp18-l32530," I thought, forsook their ancient Friends. ",pmp18-l32535,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
friends, Because one serves the t'other's Ends.,pmp18-l34140," In Concert act, like modern Friends;",pmp18-l34135,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
sends," So that when Providence, for secret Ends,",ppo24-l07660," Corroding Cares, or sharp Affliction sends",ppo24-l07665,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
friends, Who sacrific'd no faith to private ends;,o4986-l21130, Without reserve devoted to her friends. ,o4986-l21135,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00230,o4986-w0490
tends," To darkness, and the land where all forgotten ends? ",o4985-l20630, If Life's short voyage undistinguish'd tends,o4985-l20625,/endz/ | /endz/,full,ababcdcd<b>e</b><b>e</b>,pers00058,o4985-w0300
friends," Whilst by just means I aim at noblest ends,",o3585-l01750," Form'd on a plan with some few Patriot friends,",o3585-l01745,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
commends,"Slender his Shape, his Length a Cubit ends;",pdi22-l01760, No beauteous Spot the gloomy Race commends;,pdi22-l01765,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
extends,At length provok'd the bearded Lobster ends,pdi22-l09725," Unequal Strife, his forked Claw extends,",pdi22-l09730,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
depends," And what he gives, his Own preserves, or ends. ",o4784-l08370,"More thy Physician's Life on Thine depends,",o4784-l08365,/endz/ | /endz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0170
