r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
pure, And guard her rights while Heaven and Earth endure! ,o4986-l18155,"Defend her laws, her worship chaste, and pure,",o4986-l18150,/ʊə/ | /ʊə/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
cure," Call'd, such stern trial, to endure. ",o4091-l25590," For woes, beyond the reach of cure:",o4091-l25580,/ʊə/ | /ʊə/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
cure,"Wit can't deceive the pain I now endure,",o5155-l07930,And wisdom shews the ill without the cure.,o5155-l07935,/ʊə/ | /ʊə/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
poor,Yet I this Torture must endure;,pba35-l00635," To ease the Sighing of the Poor,",pba35-l00645,/ʊə/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00087,pba35-w0040
secure, The moving Scene we scarce endure;,o4602-l00500, If on our Earth we tread secure? ,o4602-l00510,/ʊə/ | /ʊə/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
pure, Yet in that State she did not long endure. ,oae86-l00195,"But then you'l say, though she at first was pure,",oae86-l00190,/ʊə/ | /ʊə/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
sure, And in your present wretched state indure;,oae86-l03425," I need not bid you, for you must I'm sure,",oae86-l03420,/ʊə/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
secure, Whose Trifling Force too Tamely you indure;,oar96-l09360," From all th' Attacques of those proud Darts secure,",oar96-l09355,/ʊə/ | /ʊə/,full,<b>a</b><b>a</b>,pers00265,oar96-w0490
secure, He fondly thought he might endure,psw11-l02880,"UNDER those Sacred Leaves, Secure",psw11-l02870,/ʊə/ | /ʊə/,full,<b>a</b>b<b>a</b>b,pers00148,psw11-w0100
cure, Jointly submitting to endure,pmp18-l13145," That Evil, which admits no Cure. ",pmp18-l13150,/ʊə/ | /ʊə/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
mature, Through wintry rigours unimpaired endure. ,o3794-l23975," And like the stores autumnal suns mature,",o3794-l23970,/ʊə/ | /ʊə/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
cure, The torments I endure;,o3555-l05480, Nor even thy pity cure. ,o3555-l05495,/ʊə/ | /ʊə/,full,aa<b>b</b>cc<b>b</b>,pers00149,o3555-w0160
cure,"Courage to conquer evils, or endure:",o5154-l24255,"Sweetness to sooth the pain, and smiles to cure.",o5154-l24260,/ʊə/ | /ʊə/,full,<b>a</b><b>a</b>,pers00106,o5154-w0380
