r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
renew, The sun-burnt hinds their finish'd toil ensue;,o4985-l27625," And there the cries of ""harvest home"" renew. ",o4985-l27635,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
salew, The sun-burnt hinds their finish'd toil ensue;,o4985-l27625,The honest farmer does his friends salew;,o4985-l27640,/uː/ | /eɪluː/,half-pararhyme,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
brew, The sun-burnt hinds their finish'd toil ensue;,o4985-l27625, Which for that purpose she at home did brew;,o4985-l27650,/uː/ | /uː/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
true,"And virgin earth such scenes ensue,",o5157-l37640,And fancied beauties by the true:,o5157-l37650,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00079,o5157-w0840
you," And scorching Fevers must ensue,",o4784-l19020,"The Strife, ye Gods! is worthy You,",o4784-l19010,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00268,o4784-w0600
view, And quickly cold Indiff'rence will ensue;,pmp18-l04475, When You Love's Joys thro' Honor's Optic view. ,pmp18-l04480,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0190
adieu,""" I know not what fate may ensue,",o4986-l31175,""" To every enjoyment adieu. "" ",o4986-l31185,/uː/ | /uː/,full,ababc<b>d</b>c<b>d</b>,pers00199,o4986-w0740
dew, Ere we can read the wonders that ensue:,pcr18-l07565," (As from the earth the sun exhales the dew),",pcr18-l07560,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
true," No ill can come, no loss ensue,",o5089-l20450,"By gentle, generous love 'tis true,",o5089-l20440,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00160,o5089-w0410
flew, What lurking dangers hence would to his Lord ensue. ,pmt18-l07950," Till Constance, all alarmed, impatient flew,",pmt18-l07935,/uː/ | /uː/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0022
knew, What lurking dangers hence would to his Lord ensue. ,pmt18-l07950," To fly the Syren's song, for well he knew",pmt18-l07945,/uː/ | /uː/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0022
hue," And dismal Storms, and frightful Wreeks ensue. ",pdi12-l00805," The lowring Heav'n looks then with sadder Hue,",pdi12-l00800,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0030
anew,"The patriot, kindling as his wars ensue,",o5155-l06890,"Marshals his threat'ning tropes anew,",o5155-l06900,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00089,o5155-w0050
true,"A dazzling train of miracles ensue,",cer72-l06000, Which speak the prophet and his mission true. ,cer72-l06005,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
true," Some Ill, that shall this seeming Good ensue;",o4784-l14230,"Thus wilt thou find, Shepherd believe it true,",o4784-l14225,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00268,o4784-w0420
you," Little she thought such tempests would ensue,",o3842-l00330," Less, that those tempests would be rais'd by you. ",o3842-l00335,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00155,o3842-w0010
view, How wou'd they mourn to think what might ensue! ,pba35-l00150," The dire Effects of vicious Writings view,",pba35-l00145,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00261,pba35-w0010
do,"'Tis the husband's chief business, whatever ensue;",o5157-l33930,And whoever finds fault — I'll be shot — if I do.,o5157-l33935,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00109,o5157-w0680
grew," With watchful Eyes she look'd, and fear'd what might ensue. ",pdi12-l02970,"While Doris stood afar, and jealous grew,",pdi12-l02965,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0080
you, No merit follows — though great good ensue? ,bsb18-l08355,"If you are serv'd, sure it is good to you! ",bsb18-l08360,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0080
due,"When reason rules, what glory does ensue.",o5152-l13375,What long repentance to short joys is due;,o5152-l13370,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00001,o5152-w0160
accrue,And what from natural ensue!,o5154-l26320,What woes from mortal ills accrue!,o5154-l26315,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00054,o5154-w0440
view, Nor dream'd I of what did ensue. ,bjl92-l09485, When thoughtless I hasten'd to view,bjl92-l09475,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0380
view, Man's disappointment must of course ensue. ,o3794-l14315,"When God and man stand opposite in view,",o3794-l14310,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
