r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
thine,"CA'NDISH, farewell! may Fame our names entwine! ",o4986-l18710,"Through life I lov'd thee, dying I am thine;",o4986-l18715,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
thine, Her fairest olive wreath entwine;,pcm93-l01110," And Hope, fond charmer, still be thine! ",pcm93-l01120,/aɪn/ | /aɪn/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0020
join, And all their odorous wings entwine;,pmt18-l20970," Attendant cherubs sweetly join,",pmt18-l20965,/aɪn/ | /ɔɪn/,half-pararhyme,<b>a</b><b>a</b>,pers00320,pmt18-w0340
eglantine," In grateful bondage did their limbs entwine,",o4985-l18125," With woodbine sweet, and twisted eglantine. ",o4985-l18135,/aɪn/ | /egləntaɪn/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00217,o4985-w0280
pine, And willows and woodbines entwine;,o4986-l34230, Fond Zephyr caresses the pine;,o4986-l34220,/aɪn/ | /aɪn/,full,a<b>b</b>a<b>b</b>cdcd,pers00168,o4986-w0930
design, And olive wreaths thy victor-brows entwine. ,bah18-l04120," May fame and honour crown thy bold design,",bah18-l04115,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00281,bah18-w0220
shine," Ye writhing adders, round my feet entwine;",o4039-l02965," Ye blasting meteors, upon me shine. ",o4039-l02975,/aɪn/ | /aɪn/,full,a<b>b</b>a<b>b</b>,pers00288,o4039-w0120
shine,With Plato's olive wreath the bays entwine:,o5155-l26835,"Those who in study, shou'd in practice shine.",o5155-l26840,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00099,o5155-w0460
shrine,'The vine should round the elm entwine.,bed98-l01870,"'While still at friendship's sacred shrine,",bed98-l01865,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0030
vine," Let reason, not riot, the garland entwine —",bsb18-l24555,"And now, my gay comrades, the myrtle and vine",bsb18-l24545,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0380
shrine, See what gay flowers thy bust entwine! ,bsb18-l22820,See where I've deck'd thy once lov'd shrine,bsb18-l22815,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0320
fine," And the trees, which the woodbines entwine,",bsb18-l12345,"'Tis true that the meadows are fine,",bsb18-l12335,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0140
combine,"Immortal laurels to entwine,",bed98-l15340,Virtue with Genius must combine;,bed98-l15345,/aɪn/ | /ɒmbaɪn/,half-vowelrhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
shrine, The wreath of pleasure gaily to entwine? ,bsb18-l07920,May not she strive around her sacred shrine,bsb18-l07915,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0080
mine,There love's soft blandishments entwine,bsb18-l19215, Round every human heart but mine;,bsb18-l19220,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0240
swine, Which twisted briar or hasle-bands entwine;,o4987-l05565," From trampling cattle, and the routing swine. ",o4987-l05580,/aɪn/ | /aɪn/,full,abbaabbacd<b>e</b>cd<b>e</b>,pers00016,o4987-w0170
benign," Who preside o'er this Urn and it's myrtles entwine,",pma99-l05490,"No, rather assist me, ye muses benign,",pma99-l05485,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00306,pma99-w0240
shrine,"So shall my hands for thee the wreath entwine,",o4985-l22015, And strew fresh poppies at thy votive shrine. ,o4985-l22020,/aɪn/ | /aɪn/,full,abab<b>c</b><b>c</b>,pers00058,o4985-w0310
mine,"OH, thou! who sleep'st where hazle bands entwine",n22cs-l03560," I would, sweet maid! thy humble bed were mine,",n22cs-l03570,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>bcddcefefgg,pers00290,n22cs-w0490
vine,"And its gay branches to entwine,",bed98-l02925,Luxuriant wound the curling vine.,bed98-l02930,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0050
shrine,Oh goddess! now for me entwine,bed98-l03835,"Of friendship at whose hallowed shrine,",bed98-l03830,/aɪn/ | /aɪn/,full,aab<b>c</b><b>c</b>b,pers00340,bed98-w0050
