r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
prey, Nor will her fairy loom again essay,n22cs-l03520," For of Calamity so long the prey,",n22cs-l03510,/eseɪ/ | /eɪ/,half-vowelrhyme,abab<b>c</b>d<b>c</b>defefgg,pers00290,n22cs-w0480
convey,"Yet shall my pen the arduous task essay,",bsb18-l13205, And some faint image to thy mind convey. ,bsb18-l13210,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0180
way," But not so prosp'rous was the next Essay,",o4784-l09590," For rugged Blasts encounter'd on the way,",o4784-l09595,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>a,pers00268,o4784-w0230
prey," But not so prosp'rous was the next Essay,",o4784-l09590," Scarce cou'd the Men escape, the Deep had all their Prey. ",o4784-l09600,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b>a<b>a</b>,pers00268,o4784-w0230
away," Left future dawbers should the task essay,",pjo50-l05735," And, like dull R — smear your charms away. ",pjo50-l05740,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0160
way,And thus his gliding numbers 'gan essay.,o5154-l36065,"Came with his reed soft-warbling on the way,",o5154-l36055,/eseɪ/ | /eɪ/,half-vowelrhyme,aaa<b>b</b>x<b>b</b>,pers00051,o5154-w0670
portray,"""Let my well-meaning mend my ill essay:",o5154-l36250,"""And fancies light in simple guise pourtray?",o5154-l36225,/eseɪ/ | /ɔːtreɪ/,half-vowelrhyme,a<b>b</b>abbc<b>b</b>cc,pers00051,o5154-w0670
prey,"""Let my well-meaning mend my ill essay:",o5154-l36250,"""While as black Death doth on thy heartstrings prey.",o5154-l36235,/eseɪ/ | /eɪ/,half-vowelrhyme,aba<b>b</b>bc<b>b</b>cc,pers00051,o5154-w0670
lay,"""Let my well-meaning mend my ill essay:",o5154-l36250,"""Yet rede aright, and if this friendly lay",o5154-l36240,/eseɪ/ | /eɪ/,half-vowelrhyme,abab<b>b</b>c<b>b</b>cc,pers00051,o5154-w0670
play," It now remains to make one short essay,",o5089-l16215, And urge the moral lesson in the play. ,o5089-l16220,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00158,o5089-w0270
say," And so on through the whole essay,",bsb18-l21775, For careless ease makes out my say;,bsb18-l21780,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0300
way,Not Brindley nor Bridgewater would essay,o3794-l00960, To turn the course of Helicon that way;,o3794-l00965,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0010
ray,Shall flatt'ring reason make a faint essay,prc90-l05470, To paint one spark of thy eternal ray? ,prc90-l05475,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00328,prc90-w0390
display," Nor frown, tho' he presumpt'ous would essay;",bjl92-l09980, No muse your matchless beauties can display. ,bjl92-l09985,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0410
prey," Of wandering lovers, who'd essay",bjl92-l11705, To make soft innocence their prey:,bjl92-l11710,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0480
way," He turns his back, vain our essay",bjl92-l06300,"He softly creeps along the way,",bjl92-l06290,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0240
lay," And all the lore of love, in courtly verse essay. ",pmt18-l00170," But loves to court repose in slumbery lay,",pmt18-l00155,/eseɪ/ | /eɪ/,half-vowelrhyme,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0020
play," And all the lore of love, in courtly verse essay. ",pmt18-l00170," Of gentle blandishments and amorous play,",pmt18-l00165,/eseɪ/ | /eɪ/,half-vowelrhyme,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0020
day, 'Tis mighty hard: What Poet would essay,pmp18-l18305, To count the Streamers of my Lord Mayor's Day? ,pmp18-l18310,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0580
play,"These active feats, while manly imps essay,",bsb18-l00935, The gentler sex choose out a gentler play;,bsb18-l00940,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0010
away," Spite of those charms shall time, with rude essay,",o4987-l18480, Tear from the cheek the transient rose away;,o4987-l18485,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00178,o4987-w0600
say,"Oh, daring Muse! wilt thou indeed essay",pmt18-l04225,And canst thou hope in living words to say,pmt18-l04235,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0021
play, Eager yet anxious for our first essay. ,o4986-l32465," So various flutterings in our bosoms play,",o4986-l32460,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00239,o4986-w0840
pay, Nor vain neglect essay. ,pcc86-l02820, Polite attention pay;,pcc86-l02810,/eseɪ/ | /eɪ/,half-vowelrhyme,x<b>a</b>x<b>a</b>,pers00323,pcc86-w0210
away, Nor with unhallow'd foot essay,bsb18-l24075, To brush one precious pearl away;,bsb18-l24080,/eseɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0350
