r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
retired," The grace, the glory of our scene expir'd! ",o4985-l09705,In that sad sigh th' unwilling breath retir'd;,o4985-l09700,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
retired," Here the gay Roses on her Cheek expir'd,",o5125-l18450, And from her Eyes the laughing Loves retir'd:,o5125-l18455,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0490
admired,"Some years ago a hawk expired,",pik94-l05655," Dreaded by foes, by friends admired;",pik94-l05660,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
fired,And on the spicy Pile were new expir'd.,o3778-l00785,"As if th' Arabian Bird her Nest had fir'd,",o3778-l00780,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00339,o3778-w0010
fired,Here constant Loyalty in vain expir'd:,pcm93-l03545, While frantic Hate each hostile bosom fir'd. ,pcm93-l03555,/æəd/ | /æəd/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0050
admired," Whene'er I smil'd, a thousand swains expir'd:",o4985-l35090," Where'er I turn'd, a thousand nymphs admir'd;",o4985-l35085,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00057,o4985-w0520
fired," When every hope at once expired,",bao18-l03745,Fond mutual love their bosoms fired;,bao18-l03735,/æəd/ | /æəd/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0100
fired, And in that throb of joy expired. ,bao18-l03870," When Henry's eye strange lustre fired,",bao18-l03860,/æəd/ | /æəd/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0100
inspired," And, bow'd by grief, expir'd. ",pcm93-l06235," Thus his last thoughts inspir'd,",pcm93-l06225,/æəd/ | /æəd/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0060
fired," With violence it flam'd, but soon expir'd. ",cac95-l09830," Fair CARMEL'S charms alone his love had fir'd,",cac95-l09820,/æəd/ | /æəd/,full,<b>a</b>a<b>a</b>,pers00301,cac95-w0170
inspired," With violence it flam'd, but soon expir'd. ",cac95-l09830," Unmark'd the mind which every grace inspir'd,",cac95-l09825,/æəd/ | /æəd/,full,a<b>a</b><b>a</b>,pers00301,cac95-w0170
uninspired,"This temporary transport soon expir'd,",o5089-l36035," E'er since, alas! abandon'd, uninspir'd,",o5089-l36045,/æəd/ | /aɪəd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00176,o5089-w0760
admired," Met with fond lips, and in his arms expir'd; —",o4671-l02650," His blazing form the dazzled Maid admir'd,",o4671-l02645,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
required," Stretch'd its stiff limbs, and on thy lap expired! —",o4671-l19635," With feeble cries thy last sad aid required,",o4671-l19630,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
retired,And with that dreadful groan expired. ,bao18-l02420," She started, screamed, and back retired,",bao18-l02410,/æəd/ | /æəd/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0030
retired," She heav'd a sigh, and in that sigh expir'd. ",o4987-l04070," From her faint eye life's lingering spark retir'd,",o4987-l04060,/æəd/ | /æəd/,full,a<b>b</b>a<b>b</b>,pers00176,o4987-w0080
retired,"And pensive there in Caves expir'd,",oat77-l03775,"To Deserts Others have Retir'd,",oat77-l03770,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00344,oat77-w0220
admired," The Hero, Patriot, and the Prince expir'd. ",o4741-l13135," Till prais'd, lamented, envy'd, and admir'd,",o4741-l13130,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0300
retired, And decently on the green willow expir'd. ,pjo50-l05235," He folded his arms, to the grove he retir'd,",pjo50-l05230,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0130
fired,"O ye blest Greeks who there expir'd,",o3900-l00655," For Greece with pious Ardor fir'd,",o3900-l00660,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00308,o3900-w0010
fired,"With CAROLINA'S praise, and then expir'd.",o5152-l41025,"Thus sung the Muse, in her last moments fir'd",o5152-l41020,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00100,o5152-w0390
required,"'The last is good, 'he said, and — he expir'd.",bed98-l05330,"'If this, the latest act from me requir'd,",bed98-l05325,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0140
retired,"Amaz'd, confus'd, he found his Pow'r expir'd,",o3695-l02185," Resign'd to Fate, and with a Sigh retir'd. ",o3695-l02190,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00012,o3695-w0010
admired," Stung by a snake the pious Priest expir'd,",o4987-l27520," While Folly gaz'd, and Ignorance admir'd;",o4987-l27525,/æəd/ | /æəd/,full,<b>a</b><b>a</b>,pers00255,o4987-w0780
