r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
more," Seek not infirm expedients to explore,",o4986-l17180," But banish JAMES, or England is no more. ",o4986-l17185,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
power,"WHILE you in nature's works explore,",o3913-l00270," The wonders of almighty pow'r,",o3913-l00275,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b><b>a</b>,pers00304,o3913-w0020
more," Bids the lost thoughts eternity explore,",yfs88-l01465, Or pause o'er scenes we can recal no more. ,yfs88-l01470,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
power,"You Nature's early Birth explore,",o4602-l00315," From what mix'd Cause, and jarring Power,",o4602-l00325,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
soar,"Who nature's treasures wou'd explore,",o5157-l19130,"Must high, as lofty Newton soar,",o5157-l19140,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>b,pers00006,o5157-w0240
over," But tho' these Eyes the learned Page explore,",o5125-l03395," And turn the pond'rous Volumes o'er and o'er,",o5125-l03400,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00154,o5125-w0120
shore,"(Forward her dang'rous ocean to explore,)",o5152-l26200,Condemns as cowards those who make the shore.,o5152-l26205,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
lore,""" Their mighty deeds explore. ",o4986-l02085," ""Of Wisdom's sacred lore! ",o4986-l02070,/ɔː/ | /ɔː/,full,aa<b>b</b>cc<b>b</b>,pers00237,o4986-w0030
more," ""And let thy mind explore;",o4986-l02550,""" Still, still are millions more. ",o4986-l02565,/ɔː/ | /ɔː/,full,aa<b>b</b>cc<b>b</b>,pers00237,o4986-w0030
hour,Their cymbals toss and sounding brass explore:,tgaen-l00540,"The Æmonian hag enjoys her dreadful hour,",tgaen-l00545,/ɔː/ | /æə/,half-pararhyme,<b>a</b><b>a</b>a,pers00039,tgaen-wtra6
power,Their cymbals toss and sounding brass explore:,tgaen-l00540,And smiles malignant on the labouring power.,tgaen-l00550,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b>a<b>a</b>,pers00039,tgaen-wtra6
restore," The Body, cold in Death, explore",o4602-l00975," Thy Skill could only, not restore. ",o4602-l00980,/ɔː/ | /ɔː/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0020
shore,"(Nor mean the task) each breathing bust explore,",o5152-l04055,"Let the faint copier, on old Tyber's shore,",o5152-l04050,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00011,o5152-w0050
soar," Late, very late, may'st thou those Realms explore! ",pba35-l09255,"Tho' thither, wing'd with Hope, thy Virtues soar,",pba35-l09250,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00087,pba35-w0700
shore,"Say, Goddess, first, what made the Youth explore",o4741-l06515," A foreign Clime, and quit his native Shore? ",o4741-l06520,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
shore, And for Recruits the Savage Land explore. ,o4741-l06940," When straight they quit their Ship, and gain the Shore,",o4741-l06935,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
shore," Then let us carefully, my Dear, explore",o4741-l07870," The Haven, where I first approach'd the Shore. ",o4741-l07875,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
boar, Nor shall AMANDA tasteful Herbs explore;,o4741-l08720, Nor shall AVARO chase the savage Boar:,o4741-l08725,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
shore, And all the In-lets of the Seas explore. ,pdi22-l03035,"Saw-Fish well arm'd sweep by the winding Shore,",pdi22-l03030,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
shore," They Ballast seek, with busy Eyes explore",pdi22-l08795," The various Pebbles of the winding Shore,",pdi22-l08800,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
more, The form of ZAMOR or her sire explore;,bhw18-l04230,ACILOE'S searching eye can now no more,bhw18-l04225,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
soar," High up to Heaven, and new worlds explore;",pma99-l07175," For greater Newtons now each day shall soar,",pma99-l07170,/ɔː/ | /ɔː/,full,aa<b>b</b><b>b</b>cc,pers00306,pma99-w0340
over,"As now the traveller's feet explore,",bed98-l08185,"Dread pits, which sedgy verdure o'er",bed98-l08175,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0160
more,The paintings let us yet again explore:,bed98-l08340,"And now my friends, Alcestes says once more,",bed98-l08335,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00340,bed98-w0160
soar, Tho' vainly would the Muse explore,o4987-l03240, Alone can heaven-taught Genius soar;,o4987-l03250,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>,pers00057,o4987-w0070
store,This mourning Mother can with Ease explore,pba35-l02625," The Arts of Latium, and the Grecian Store:",pba35-l02630,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00087,pba35-w0150
poor,"The year revolves, and I again explore",pcr18-l08730, The simple Annals of my Parish poor;,pcr18-l08735,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
door," ""His father's give him, — should you that explore,",pcr18-l11595,""" The devil's or yours: — I said, and sought the door",pcr18-l11600,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
poor,"Her oaks or acres, why with care explore;",pcr18-l17035," Why learn the wants, the sufferings of the poor;",pcr18-l17040,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
poor," Ere I again, or one like me, explore",pcr18-l20600, These simple Annals of the Village Poor. ,pcr18-l20605,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
store,But mostly here should I delight t' explore,o5157-l10670,"Then muse on him who blesseth all her store,",o5157-l10680,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>b,pers00088,o5157-w0100
over,"Some purer source of pleasure to explore,",o5157-l11195,To think of resting 'till his journey's o'er;,o5157-l11205,/ɔː/ | /ɔːə/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00088,o5157-w0100
