r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tales, Give me the fidgets and my patience fails. ,o3794-l21765," But sedentary weavers of long tales,",o3794-l21760,/eɪlz/ | /eɪliːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
assails," His spirits droop, his vigor fails,",ojg27-l07560," Disease his tainted blood assails,",ojg27-l07555,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0320
prevails," Force may, but well laid Cunning seldome fails. ",pdi22-l07355,Such Prudence oft o'er thoughtless Strength prevails;,pdi22-l07350,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
veils,"Ah! charm no more, the anchor fails,",bed98-l07595,"The lamp a lasting darkness veils,",bed98-l07605,/eɪlz/ | /eɪlz/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0160
avails,"The more he trys, the more he fails;",o5354-l00835,"Nor Charm, nor Art, nor Force avails.",o5354-l00840,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
prevails, To aid where knowledge fails;,bah18-l00615, Where letter'd pride prevails! ,bah18-l00630,/eɪlz/ | /eɪlz/,full,aa<b>b</b>cc<b>b</b>,pers00281,bah18-w0030
gales,"As some young eagle, when it fails",prc90-l04370," Begins to pant for fanning gales,",prc90-l04380,/eɪlz/ | /eɪlz/,full,<b>a</b>b<b>a</b>b,pers00328,prc90-w0290
avails," Your Strength, here all your Wisdom fails;",o3900-l11310,"Ye Sons of Men, here nought avails",o3900-l11305,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>bb,pers00310,o3900-w0610
gales," And Psyche's palpitating courage fails,",pmt18-l16175, They woo the freshness of the morning gales:,pmt18-l16165,/eɪlz/ | /eɪlz/,full,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0025
scales,LIKEWISE we see that Fate ne'er fails,o4257-l00945, To weigh things in impartial scales:,o4257-l00950,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
tales,"Whilst of his Aim the lazy Trifler fails,",o4784-l13765, Who seeks to purchase Fame by childish Tales. ,o4784-l13770,/eɪlz/ | /eɪliːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0410
prevails," Thy Glories languish, and our Wonder fails;",o3868-l00030," But since Ambition and Revenge prevails,",o3868-l00025,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00296,o3868-w0010
prevails," To heav'n they cry, an aid that never fails,",cer72-l05960," Heav'n hears the cry, the potent pray'r prevails. ",cer72-l05965,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
avails, Against ill Luck all cunning Foresight fails;,sap09-l00775," Whether we sleep or wake, it naught avails. ",sap09-l00780,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00302,sap09-w0020
freeze," My eye-sight fails,",o5400-l04500," Cold, cold, I freeze!",o5400-l04490,/eɪlz/ | /iːz/,half-pararhyme,aabb<b>c</b>d<b>c</b>dee,pers00345,o5400-w0010
avails, Where feeble utterance fails. ,o4668-l00810, And much her tear avails,o4668-l00800,/eɪlz/ | /eɪlz/,full,a<b>b</b>a<b>b</b>,pers00276,o4668-w0010
vales, And thou enjoy an Eden e'er it fails. ,o3794-l27085," The sound shall run along the winding vales,",o3794-l27080,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
nails," An', ere my strength or courage fails,",prc90-l03470," But I hae five an five good nails,",prc90-l03465,/eɪlz/ | /eɪlz/,full,aab<b>c</b><b>c</b>b,pers00328,prc90-w0210
prevails,"""When all my merit and my duty fails:",o5152-l10030,"""Yet COQUETILLA'S artifice prevails,",o5152-l10025,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00001,o5152-w0110
prevails," Who shoots at Folly, for her arrow fails;",pcr18-l02610,"Not thus her sister Comedy prevails,",pcr18-l02605,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
side,"Faithful Disease, that never fails",o4672-l12750, Attendance at her Ladies side,o4672-l12755,/eɪlz/ | /aɪd/,half-pararhyme,<b>a</b><b>a</b>,pers00292,o4672-w0630
prevails," When the last spark of vital spirit fails,",pik94-l02000," And peaceful conscience over death prevails,",pik94-l02005,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00327,pik94-w0060
prevails, The solid Pow'r of Understanding fails;,o3675-l00295," Thus in the Soul while Memory prevails,",o3675-l00290,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00012,o3675-w0010
assails, For who can move when fair Belinda fails? ,o3695-l03250,"In vain Thalestris with Reproach assails,",o3695-l03245,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00012,o3695-w0010
prevails," Patience of Toil, and Love of Virtue fails. ",pmp18-l47455,Frequent Debauch to Habitude prevails:,pmp18-l47450,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
scales,"Then let Religion aid, where Reason fails:",pmp18-l51175," Throw loads of Incense in, to turn the Scales;",pmp18-l51180,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
scales,And thy expected treasure fails;,bed98-l04040,"I by injustice turn the scales,",bed98-l04035,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00340,bed98-w0050
