r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
care,O! my lov'd RACHEL! all-accomplish'd fair! ,o4986-l17340,"Source of my joy, and soother of my care! ",o4986-l17345,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
air," The Sea grew calm, and all the Sky was fair. ",pdi12-l01365, Boreas himself was hush'd in trembling Air;,pdi12-l01360,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
appear, With fiercest Rage I'd sieze the trembling Fair;,pdi12-l01425,"Ye Gods! would proud Parthenoe now appear,",pdi12-l01420,/eə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0040
care," For now, the Nymph that's kind, is only fair. ",pdi12-l01595,"Parthenoe hates, nor do I greatly care;",pdi12-l01590,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
care,"I can tell thee, tho' so Fair,",o4784-l15210," And dress'd with all that rural Care,",o4784-l15215,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
air," Graceful one, the other Fair. ",o4784-l15370,"He too, with the pensive Air,",o4784-l15375,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
forbear,"Still the Swains allow me Fair,",o4784-l15445,"Next myself! Young Nymph, forbear. ",o4784-l15440,/eə/ | /ɔːbeə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0460
car, Fat'lly engag'd for a deluded fair:,pcc86-l03010," Behold him stretch'd — dragg'd at Achilles' car,",pcc86-l03005,/eə/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00323,pcc86-w0230
air,O nymph divine! as op'ning morning fair! ,pjo50-l06945,Bright as the sun! yet lighter than the air! ,pjo50-l06950,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0220
care,"The fairest too, where all were fair? ",o4091-l25910," No anguish, no corroding care,",o4091-l25900,/eə/ | /eə/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
compare,Can the coquet in dress how fair,o3913-l00360, With yonder lily's breast compare? ,o3913-l00365,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00304,o3913-w0020
rare,Where thou wert fairest of the fair?,o5157-l28105,"No longer deck'd with jewels rare,",o5157-l28095,/eə/ | /eə/,full,ababc<b>d</b>c<b>d</b>,pers00056,o5157-w0480
bear,Where thou wert fairest of the fair?,o5157-l28145,"Extremes of hardship learn to bear,",o5157-l28135,/eə/ | /eə/,full,ababc<b>d</b>c<b>d</b>,pers00056,o5157-w0480
care,Where thou wert fairest of the fair?,o5157-l28185,"Wilt thou assume the nurse's care,",o5157-l28175,/eə/ | /eə/,full,ababc<b>d</b>c<b>d</b>,pers00056,o5157-w0480
tear,Where thou wert fairest of the fair?,o5157-l28225,"Strew flow'rs, and drop the tender tear,",o5157-l28215,/eə/ | /ɪə/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00056,o5157-w0480
air, When discord's the voice of my fair? ,o4198-l02900, I chatter and spoil the dull air;,o4198-l02890,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>,pers00288,o4198-w0150
there,"Unmov'd I hear them speak, or see them fair,",o5155-l07910,And only think on thee — who art not there.,o5155-l07915,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
ensnare,For without danger none like thee are fair;,o5155-l08035,"Thousands will fain thy little heart ensnare,",o5155-l08030,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
care," So wise, so innocent, so fair,",o4987-l28505," And brighten'd all the gloom of care,",o4987-l28515,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
