r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
star, My notions and actions run far. ,o4198-l02870, Depriv'd of the ruling North Star? ,o4198-l02880,/ɑː/ | /ɑː/,full,a<b>b</b>a<b>b</b>,pers00288,o4198-w0150
war,"Man may be doom'd to wander far,",bed98-l16800,"The fruits of peace, and spoils of war,",bed98-l16810,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0470
war, Their name far publish'd and rever'd as far;,o3794-l10955," In peace possessing what they won by war,",o3794-l10950,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
star,In Constancy they men excell as far,oae86-l00685, A heavens bright lamp doth a dull twinckling star. ,oae86-l00690,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
care, Men more impious than a woman far. ,oae86-l02330, For the known crimes makes a wise Prince take care. ,oae86-l02320,/ɑː/ | /eə/,half-pararhyme,<b>a</b>a<b>a</b>,pers00272,oae86-w0010
are, Men more impious than a woman far. ,oae86-l02330,Thus what I've said doth plainly shew there are,oae86-l02325,/ɑː/ | /ɑː/,full,a<b>a</b><b>a</b>,pers00272,oae86-w0010
beware, How you exert your pow'r too far;,pjo50-l04030,"Adorn'd with all these charms, beware",pjo50-l04025,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0070
spear," Then flew impetuous, menacing from far. ",cac95-l08490," His limbs he arm'd, and shook his well-tried spear,",cac95-l08485,/ɑː/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
war,"The prince with terror heard loud shouts from far,",cac95-l08595, And the dire sounds of unexpected war;,cac95-l08600,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
car," Hence, my lovely STELLA, far;",o4986-l28370," Phoebus drives his burning car,",o4986-l28365,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00029,o4986-w0650
bar," And join what nature sunders far,",bjb18-l05235," Ye overleap the strongest bar,",bjb18-l05230,/ɑː/ | /ɑː/,full,aa<b>b</b><b>b</b>cc,pers00287,bjb18-w0040
care," They ne'er fall short, and seldom fly too far:",ppo24-l05245,"Her Darts are keen, but level'd with such Care,",ppo24-l05240,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0040
war,"When blazing 'gainst the sun it shines from far,",tgaen-l00405,"And, clashed, rebellows with the din of war.",tgaen-l00410,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00039,tgaen-wtra6
aver, You have already gone too far. ,pmp18-l37050,"Proceed? quoth Dick: Sir, I aver,",pmp18-l37045,/ɑː/ | /ɜː/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
car,"Blood marks his progress wide and far,",o5156-l16435,"See the world's victor mount his car,",o5156-l16430,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>bccb,pers00097;pers00044,o5156-w0570
calabar,"Chalma, whose excellence is known from far;",o4039-l00630, From Lupa's rocky hill to Calabar. ,o4039-l00635,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00288,o4039-w0070
star," To some more blissful clime, sequester'd far",o4985-l20740, Like the faint glimmering of a distant star. ,o4985-l20750,/ɑː/ | /ɑː/,full,a<b>b</b>a<b>b</b>cdcdee,pers00058,o4985-w0300
car," That whirl'd the holy sage from Chebar far,",o4985-l21705,"Scarce had she spoke, when that cherubic car,",o4985-l21695,/ɑː/ | /ɑː/,full,<b>a</b>b<b>a</b>bcdcdee,pers00058,o4985-w0300
war," Though absent long, and distant far,",bah18-l07595,"Nor glory's pride, nor fiercest war,",bah18-l07585,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00281,bah18-w0580
morning-star," Than Gold and Pearls more precious far,",o3900-l21320, And brighter than the Morning-Star. ,o3900-l21325,/ɑː/ | /ɑː/,full,abab<b>c</b><b>c</b>,pers00310,o3900-w1120
star," O'er these green slopes, from tumult far;",o4985-l13465, Or welcome up you evening star:,o4985-l13475,/ɑː/ | /ɑː/,full,a<b>b</b>a<b>b</b>,pers00036,o4985-w0210
star, Point out each Path to good Success from far;,pba35-l07705," And guide me by thy Light, my happier Star! ",pba35-l07710,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00087,pba35-w0550
are," Thou surpassest, happier far,",o3794-l32530," Happiest grasshoppers that are,",o3794-l32535,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
war,"Go from this desolated region far,",bhw18-l05295," These plains, where av'rice spreads the waste of war;",bhw18-l05300,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00276,bhw18-w0020
spar, Enticed our traveller from his home so far;,pcr18-l18305," No curious shell, rare plant, or brilliant spar,",pcr18-l18300,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
star, Or her's who yonder shines from far,o4986-l23000," Fair as the morning's silver star,",o4986-l23005,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00083,o4986-w0510
star," Though absent long, and distant far,",bah18-l00685," And on some bright unchanging star,",bah18-l00680,/ɑː/ | /ɑː/,full,aab<b>c</b><b>c</b>b,pers00281,bah18-w0030
war,"As, on a time, he heard from far",ojg27-l08395," Two dogs engag'd in noisy war,",ojg27-l08400,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00303,ojg27-w0350
car," Let no rude sound invade from far,",o4987-l07860, No ray from Grandeur's gilded car,o4987-l07870,/ɑː/ | /ɑː/,full,abab<b>c</b>d<b>c</b>d,pers00207,o4987-w0250
car,"Far from my theme, from method far,",o5156-l19265,"Convey'd in Venus' flying car,",o5156-l19270,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00101,o5156-w0640
war, Not Oberon knew how far;,bsb18-l16590," With northern lights at war,",bsb18-l16580,/ɑː/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0220
star,"SONS of Men, behold from far",o3900-l24500, Hail the long-expected Star! ,o3900-l24505,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1300
car, What Pow'r unseen diffuses far,o3776-l00970,"Thron'd in the sun's descending car,",o3776-l00965,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>bccb,pers00047,o3776-w0030
star,"My Eldest-born resides not far,",o3665-l00285, Where shines great Strafford's glittering Star:,o3665-l00290,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
car,"He spoke, but spoke in vain, for lo! from far,",pmt18-l07980," A knight, high mounted on a glittering car,",pmt18-l07990,/ɑː/ | /ɑː/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0022
star,"He spoke, but spoke in vain, for lo! from far,",pmt18-l07980, From whose conspicuous crest flames wide a dazzling star. ,pmt18-l07995,/ɑː/ | /ɑː/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0022
car," The traversed plains and woods, receding far,",pmt18-l08100,But scarcely had she climbed the fatal car,pmt18-l08090,/ɑː/ | /ɑː/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0022
thunderer,"The gath'ring troops he kens from far,",o5152-l08840,The new Salmoneus meets the Celtic thunderer.,o5152-l08855,/ɑː/ | /ʌndrə/,half-pararhyme,ababccdcd<b>e</b>ff<b>e</b>ggghhiikkllmnmn,pers00007,o5152-w0100
war,Ye Georgian swains that piteous learn from far,o5089-l02015," Circassia's ruin, and the waste of war;",o5089-l02020,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00048,o5089-w0020
war,"Sublimer joys, and glory brighter far",o5153-l18305,In all the blood-stain'd field of prosp'rous war;,o5153-l18315,/ɑː/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>ccddefefghiihgkklmlm,pers00024,o5153-w0320
bar,"Yet stay, presumptuous Wretch, nor urge too far",o5125-l23240, Thy doubtful Sentence at the dreadful Bar:,o5125-l23245,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0560
prayer, From Heav'n and Thee remov'd so far),o3900-l17405, And cast not out my languid Pray'r. ,o3900-l17415,/ɑː/ | /eɪə/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0990
war,From you henceforth be dread Rebellion far! ,pcm93-l03925, The dire misfortunes of intestine war! ,pcm93-l03935,/ɑː/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0050
scaur, Thou travels far;,cbu86-l04165, Nor blate nor scaur. ,cbu86-l04175,/ɑː/ | /ɔːr/,half-pararhyme,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0050
war,"What time from liege-men parted far,",bjb18-l27805," By stern and adverse fate of war,",bjb18-l27815,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0650
bear," Yet purest Gold will break, if stretch'd too far:",o4741-l23200,"Tho' purest Gold a vast Extent will bear,",o4741-l23195,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0460
care," Whose Counsel is; ""Be not engag'd too far;",o4741-l23885,""" The greatest Friendship brings the greatest Care:",o4741-l23890,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0460
par, Than we imagine them by far. ,bsb18-l22050, They're more upon an equal par,bsb18-l22045,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0300
rare,"That with bright ore and diamonds glitter'd far,",o5153-l10240,"And deem'd itself allgates some creature rare,",o5153-l10250,/ɑː/ | /eə/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
compare,"That with bright ore and diamonds glitter'd far,",o5153-l10240,While its own haughty state it mote compare,o5153-l10255,/ɑː/ | /eə/,half-pararhyme,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
ear,"That with bright ore and diamonds glitter'd far,",o5153-l10240,"That seem'd to have nor eye, nor tongue, nor ear;",o5153-l10265,/ɑː/ | /ɪə/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
war," Matilda, from dissensions far,",pcm93-l04110,"While Raymond hop'd, by blood and war,",pcm93-l04100,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0060
air,"Who now resolves, from vice and LONDON far,",o5152-l22710,"To breathe in distant fields a purer air,",o5152-l22715,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00029,o5152-w0270
air,"Ah! what avails it, that, from slav'ry far,",o5152-l23475,I drew the breath of life in English air;,o5152-l23490,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00029,o5152-w0270
war,"To bear her formidable glory far,",o4984-l26630, Behold her opulence of hoarded war! ,o4984-l26635,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00053,o4984-w0470
war," ""Expecting Fame the conflict view'd from far,",o4985-l34585," ""Then shall be sung the glorious deeds of war,",o4985-l34575,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00234,o4985-w0510
war,"And the thunder's rolling peal, from far,",bjb18-l21660," And varied its sound like the broil of war,",bjb18-l21670,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0490
war," Here shatter'd Walls, like broken Rocks, from far",o3499-l00495," Rise up in hideous Views, the Guilt of War,",o3499-l00500,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00150,o3499-w0010
war,But now the Trumpet terrible from far,o3499-l01215," In shriller Clangors animates the War,",o3499-l01220,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00150,o3499-w0010
star," And truant fancy wanders far,",bah18-l06060, From thy obscure and distant star. ,bah18-l06070,/ɑː/ | /ɑː/,full,a<b>b</b>a<b>b</b>,pers00281,bah18-w0390
beware, And will not trust too far. ,o4784-l10205, May following Nymphs beware:,o4784-l10195,/ɑː/ | /eə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00268,o4784-w0250
star, And friends appear — the distant far —,bsb18-l23035," Led by Affection's polar star,",bsb18-l23040,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0320
