r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
flavour,"Would do the bride so great a favour,",o5154-l31985,But not a flow'r of scent or flavour,o5154-l31980,/eɪvə/ | /eɪvə/,full,<b>a</b><b>a</b>,pers00107,o5154-w0570
ever,"Grant me yet this one poor favour,",o5157-l28915,"Let us each go on for ever,",o5157-l28925,/eɪvə/ | /evə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00072,o5157-w0500
behaviour,"""Will justify your future favour:",o5155-l27785,"""I'll warrant that his good behaviour",o5155-l27780,/eɪvə/ | /eɪvjə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00053,o5155-w0500
behav'or," Both rais'd, but by their Party's Favor. ",pmp18-l19550, No Merit in their own Behav'or:,pmp18-l19545,/eɪvə/ | /eɪvə/,full,aabbcc<b>d</b><b>d</b>,pers00314,pmp18-w0630
behaviour,"I now grew out of Pluto's Favour,",o5125-l10790, Who grumbl'd at my late Behaviour;,o5125-l10795,/eɪvə/ | /eɪvjə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00154,o5125-w0300
graver," And Airy be recompens'd well for that Favour,",pba35-l14530," If your Friend, in Return, should make him grow graver. ",pba35-l14535,/eɪvə/ | /eɪvə/,full,<b>a</b><b>a</b>,pers00087,pba35-w1130
flavour," Then hinted, as a special favour,",o3982-l03395, What gave it that delicious flavour;,o3982-l03400,/eɪvə/ | /eɪvə/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
her,Once on a time to gain her favour;,o5157-l29425,A smock which Pallas spun and gave her,o5157-l29420,/eɪvə/ | /ɜː/,half-pararhyme,<b>a</b><b>a</b>,pers00072,o5157-w0520
beaver," Indulg'd, as a Token of PROSERPINE's Favour,",o3364-l05570, To preside at her Balls in a cream-colour'd Beaver:,o3364-l05575,/eɪvə/ | /iːvə/,half-pararhyme,<b>a</b><b>a</b>,pers00205,o3364-w0010
ever,"Then patronize them wvi' your favor,",cbu86-l14820, And your Petitioner shall ever —,cbu86-l14825,/eɪvə/ | /evə/,half-pararhyme,<b>a</b><b>a</b>,pers00307,cbu86-w0250
