r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
need, While high on yonder hanging Rock they feed:,sap09-l02925,"My Goats, secure from Harm, small Tendance need,",sap09-l02920,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
mead," At the full crib the horned labourers feed,",o4985-l27990,"The wareless sheep no longer bite the mead,",o4985-l27980,/iːd/ | /iːd/,full,<b>a</b>b<b>a</b>bbcbcc,pers00033,o4985-w0390
read," And, while our Flocks in fruitful Pastures feed,",ppo24-l05330, Some well-design'd instructive Poem read. ,ppo24-l05335,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0040
speed, And tender bairnies feed. ,bjb18-l26500," And ever may they speed,",bjb18-l26490,/iːd/ | /iːd/,full,ababc<b>d</b>c<b>d</b>,pers00287,bjb18-w0620
tread,"Term is begun, the lawyer fee'd;",o5156-l25305,"Lo! birthnights upon birthnights tread,",o5156-l25300,/iːd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>,pers00083,o5156-w0720
steed," Neighing, complains he wants his usual Feed. ",o4741-l00560," The Kine low after Meat; the hungry Steed,",o4741-l00555,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0010
weed, And slowly drove th'unwilling Herd to feed. ,pdi12-l02320," While hoary Phorcys sat on floating Weed,",pdi12-l02315,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0070
speed,On nothing would the peevish Matron feed;,o5125-l23710," Then useful Mercury was call'd with speed,",o5125-l23715,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0580
weed,"In lonely luxury her sorrows feed,",o5157-l27000,And pass her life in widow's decent weed.,o5157-l27005,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
weed,"The Broad-Tail here, and dainty Mullet feed,",pdi22-l00715," Frisk on the Sands, or batten on the Weed. ",pdi22-l00720,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
weed,"Close to green Shores the wat'ry Natives feed,",pdi22-l00785," That hide in Wrack, and bite the spiry Weed. ",pdi22-l00790,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
breed," On Sea-beat Rocks, or sandy Hillocks feed. ",pdi22-l02415,"Kinds yet unsung, of the Testaceous Breed,",pdi22-l02410,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
agreed, Each often will another's Offspring feed;,pdi22-l03525,"The Elements, to slow themselves agreed,",pdi22-l03520,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
breed," Peaceful they rove, and without Slaughter feed. ",pdi22-l05155,"A Species weaker than the Whaly Breed,",pdi22-l05150,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
seed,But void of all Remorse the Tunnies feed,pdi22-l06500," On their own Spawn, and gulp th' enliven'd Seed;",pdi22-l06505,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
weed,Undreaded they with guiltless Pleasure feed,pdi22-l12115," On fat'ning Slime, or bite the sea-grown Weed. ",pdi22-l12120,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
bread, Whate'er Thou wilt can feed;,o3900-l25545, And turns the Stone to Bread. ,o3900-l25555,/iːd/ | /ed/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00309,o3900-w1370
weed," On whose pale cheek relentless sorrows feed,",o3555-l02515,"Like some lone pilgrim, clad in mournful weed,",o3555-l02505,/iːd/ | /iːd/,full,<b>a</b>b<b>a</b>b,pers00149,o3555-w0040
need, The nymph to flatter and her tribe to feed;,pcr18-l17600,"A widow'd Aunt was there, compell'd by need",pcr18-l17595,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
need," ""But yet I linger, loth with him to feed,",pcr18-l18140,""" Who gains his plenty by the sons of need",pcr18-l18145,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
seed,"On their own Spawn the graceless Tunnies feed,",pdi12-l05500, And joyous feast on the enliven'd Seed. ,pdi12-l05505,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0150
weed,"All are not cruel, but some harmless feed,",pdi12-l05520," And eat the Slime, or bite the swimming Weed;",pdi12-l05525,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0150
need,"One ancient hen she took delight to feed,",o5152-l30205,"Which, ever and anon, impell'd by need,",o5152-l30215,/iːd/ | /iːd/,full,<b>a</b>b<b>a</b>bbcbcc,pers00035,o5152-w0320
bleed,"So shall the whitest lamb these pastures feed,",o5153-l00955,"Propitious Venus, on thy altars bleed.",o5153-l00960,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00030,o5153-w0010
mead,"I saw their friendly flocks together feed,",o5153-l01225,I saw them hand in hand walk o'er the mead;,o5153-l01230,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00030,o5153-w0010
lead,"In the same field our mingled flocks we'll feed,",o5153-l01745,"To the same spring our thirsty heifers lead,",o5153-l01750,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00030,o5153-w0010
lead, And poison while they feed. ,o3900-l04180, To Thee the Creatures lead;,o3900-l04170,/iːd/ | /iːd/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0250
bread,"Life of the World, our Souls to feed",o3900-l25320,Grant us of Thee the Living Bread,o3900-l25330,/iːd/ | /ed/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00309,o3900-w1340
proceed,"She ceased, then languishing her griefs to feed,",pmt18-l10060, By whose direction onward I proceed,pmt18-l10050,/iːd/ | /iːd/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
freed,"She ceased, then languishing her griefs to feed,",pmt18-l10060, Her cold dark chamber sought from observation freed. ,pmt18-l10065,/iːd/ | /iːd/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0023
bleed, For some vile spot which cannot fifty feed. ,o4111-l01010," Armies embattled meet, and thousands bleed,",o4111-l01005,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
breed," Not one without Permission feed,",o3665-l00255, (Tho' some of J—'s hungry Breed),o3665-l00260,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
need, That more important Fleas might feed. ,ojg27-l12070,For thee! made only for our need;,ojg27-l12065,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0500
proceed,"BRAVO! my Lord! Oh, now I'm fee'd,",o4257-l00145, Wise as a Lawyer I'll proceed. ,o4257-l00150,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
bleed,He sees his flock — no more in circles feed;,o5156-l00085,"Haply beneath your ravage bleed,",o5156-l00090,/iːd/ | /iːd/,full,abab<b>c</b><b>c</b>c,pers00035,o5156-w0010
deed,He sees his flock — no more in circles feed;,o5156-l00085,And with no random curses loads the deed.,o5156-l00095,/iːd/ | /iːd/,full,abab<b>c</b>c<b>c</b>,pers00035,o5156-w0010
bleed," Who, his insatiate fame to feed,",o5280-l00815, Bade all mankind or weep or bleed. ,o5280-l00820,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00277,o5280-w0030
weed,Can afford his tube to feed,o5153-l32680,With the fragment INDIAN weed:,o5153-l32685,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00083,o5153-w0600
breed," And, wasteless, their eternal Hunger feed,",ppo24-l10570,"O may that Tongue eternal Vipers breed,",ppo24-l10565,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
deed, For settlements the lawyer's fee'd;,ojg27-l03265, Is my hand witness to the Deed? ,ojg27-l03270,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0130
reed,And fond fancies vainly feed,o5157-l30380,"But, alas! th' amusive reed",o5157-l30370,/iːd/ | /iːd/,full,<b>a</b>b<b>a</b>bcddeec,pers00057,o5157-w0540
weed,"Proteus had sent his scaly Herd to feed,",pdi12-l03005, And slumber'd on a Bed of slimy Weed;,pdi12-l03010,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0090
mead,"So, when our Sheep on Hills refuse to feed,",o4741-l04365, We straight remove them to the verdant Mead;,o4741-l04370,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0060
reed," Oft you together, your mixt Flocks did feed,",pse03-l12730, Delight your selves with his harmonious Reed. ,pse03-l12735,/iːd/ | /iːd/,full,<b>a</b><b>a</b>,pers00272,pse03-w0570
steed," Began to neigh, and frisk, and feed;",o4784-l21720,With Heart's content th' unloaded Steed,o4784-l21715,/iːd/ | /iːd/,full,<b>a</b><b>a</b>baab,pers00268,o4784-w0670
