r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
meet," And cowslips rose beneath my feet,",bsb18-l10565, Aurora's infant rays to meet. ,bsb18-l10570,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
retreat, Be Avarice and Ambition's feet! ,o4987-l09985,O Far remov'd from my retreat,o4987-l09980,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00209,o4987-w0300
heat,"KING'S-BATH nam'd, beneath thy feet",o5156-l24440,Boiling ay with mineral heat:,o5156-l24445,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
retreat, And the green sandals which adorn thy feet. ,bao18-l04410, That Autumn brings commands thee to retreat;,bao18-l04400,/iːt/ | /iːt/,full,a<b>b</b>a<b>b</b>cdcdefefgg,pers00279,bao18-w0140
meet, And cast his heart and fortune at my feet! ,bsb18-l13380,"See, see, he comes with eager haste to meet,",bsb18-l13375,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0180
bleat, The oxen low beneath my feet,o4986-l02005,"The nibbling flocks around me bleat,",o4986-l02000,/iːt/ | /iːt/,full,<b>a</b><b>a</b>bccb,pers00237,o4986-w0030
retreat, The sorrowing wretch may turn her weary feet;,pik94-l03065,Hail blest retirement! to this calm retreat,pik94-l03060,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00327,pik94-w0120
retreat," Broken They dash, and perish at her Feet. ",pmp18-l06875," In vain They wou'd advance, in vain retreat:",pmp18-l06870,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0225
street," With proud Oppression, writhing at His Feet;",pba35-l11145," His Statue shall be rais'd in ev'ry Street,",pba35-l11140,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
fleet," Who swift as lightning were his feet,",o4198-l03130,"O'Rocke upon his courser fleet,",o4198-l03125,/iːt/ | /iːt/,full,<b>a</b><b>a</b>bbbacc,pers00288,o4198-w0160
meet," Who swift as lightning were his feet,",o4198-l03130,All dreded such an one to meet;,o4198-l03150,/iːt/ | /iːt/,full,a<b>a</b>bbb<b>a</b>cc,pers00288,o4198-w0160
heat, And strike the Bottom of your Feet;,pmp18-l31415, You set your Head into a Heat. ,pmp18-l31420,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
meet, With Guts and Tripe to deck their Feet:,pmp18-l35445,Your nicer Hottentotes think meet,pmp18-l35440,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
seat," Rises too high for Gabriel's Feet,",o4672-l07355,The lowest Step about thy Seat,o4672-l07350,/iːt/ | /iːt/,full,<b>a</b><b>a</b>bb,pers00292,o4672-w0370
