r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
hills," But Half thy Name our Spirit fills,",o4672-l02190,"Reason may grasp the Massie Hills,",o4672-l02180,/ɪlz/ | /ɪlz/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0110
rills,"Whate'er with copious train its channel fills,",tgaen-l00970,Floats into lakes or bubbles into rills.,tgaen-l00975,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
wills,No private master fills:,o5157-l02460,"And judgeth what he sees; and, as he judgeth, wills.",o5157-l02475,/ɪlz/ | /ɪlz/,full,aabbcc<b>d</b>ee<b>d</b>,pers00047,o5157-w0020
ills,"And thou, sweet Bird, whom rapture fills,",bhw18-l17280," Who feel'st no sense of future ills, —",bhw18-l17285,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0360
ills," How some fierce Lust, or boist'rous Passion, fills",ppo24-l07420, The lab'ring Spirit with prolific Ills,ppo24-l07425,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
wills," And strangely leave, who strangely fills",o3900-l01095,"Ere long, when Sov'reign Wisdom wills,",o3900-l01085,/ɪlz/ | /ɪlz/,full,<b>a</b>b<b>a</b>bccddee,pers00311,o3900-w0030
gills," With humid Breath repeated Suction fills,",pdi22-l01340,No other Kind of those whose gasping Gills,pdi22-l01335,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
ills, A deadly Draught the bitter Potion fills. ,pdi12-l05425, But we court Love with its attending Ills;,pdi12-l05420,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0150
trills," When her rich pipe the Empyrean fills,",o4739-l04060," 'Tis he who lends the nightingale its trills,",o4739-l04055,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00284,o4739-w0170
distils," His op'ning mouth the melted butter fills,",o4039-l04260, And dropping from his nose and chin distills. ,o4039-l04265,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
distils, Till genial warmth the teeming furrow fills;,o4987-l13685," By thy command the softening shower distils,",o4987-l13680,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00250,o4987-w0400
hills," And joy the wood, and joy the valley fills;",o4987-l13705," Next Spring's gay products clothe the flowery hills,",o4987-l13700,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00250,o4987-w0400
instils,"Her hero's mind with wisdom fills,",o5152-l08945,And heav'nly courage in his heart instils.,o5152-l08950,/ɪlz/ | /ɪlz/,full,aa<b>b</b><b>b</b>ccddeefffgghhiikllkl,pers00007,o5152-w0100
hills, Where boundless Oroonoko fills,o4984-l14905," His channels from a thousand hills,",o4984-l14910,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00227,o4984-w0220
hills, Whose vales with wealth the fam'd Araxis fills. ,cer72-l00495," The Syrian worships from his airy hills,",cer72-l00490,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
distils, With plenteous Food and Gladness fills. ,o3900-l19185," Incessant Blessings down distills,",o3900-l19175,/ɪlz/ | /ɪlz/,full,a<b>b</b>a<b>b</b>cdcdefef,pers00310,o3900-w1040
distils," And the charm'd eye th' Elysian landscape fills,",o4986-l32300," 'Midst her rich groves where odorous balm distils,",o4986-l32295,/ɪlz/ | /ɪlz/,full,abbac<b>d</b><b>d</b>ceffegg,pers00250,o4986-w0820
distils,And her pure soul seraphic rapture fills;,o5157-l36885,"The pious prophet of her sect distils,",o5157-l36880,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00041,o5157-w0810
ills,"What numbers, sloth with gloomy humours fills!",o5154-l07370,Racking their brains with visionary ills.,o5154-l07375,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00124,o5154-w0110
rills,"Not all whose eloquence the fancy fills,",o3794-l03975," Musical as the chime of tinkling rills,",o3794-l03980,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
gills,"Now, butt an' ben, the Change-house fills,",cbu86-l03630," Here's crying out for bakes an' gills,",cbu86-l03640,/ɪlz/ | /ɪlz/,full,<b>a</b>b<b>a</b>bcdcdx,pers00307,cbu86-w0040
rills,— And now her vase a modest Naiad fills,o4671-l17590, With liquid crystal from her pebbly rills;,o4671-l17595,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
hills,And all the neighb'ring vale tumultuous fills:,o5156-l13925,"The foe descends, like torrents from the hills,",o5156-l13920,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00086,o5156-w0520
hills,"The ravish'd sight the pleasing landscape fills,",o5157-l16140,"Here sink the vallies, and there rise the hills.",o5157-l16145,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00002,o5157-w0160
hills,Cambria for him with moans her region fills:,o5157-l34600,She wept his downfal from a thousand hills:,o5157-l34605,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00028,o5157-w0700
hills,"Earth, air, and sea with vernal joy she fills.",o5157-l13615,"Bright as the morn, when smiling on the hills",o5157-l13610,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00125,o5157-w0120
wills," Tender solicitude the bosom fills,",o5398-l05755, And Pity executes what Reason wills:,o5398-l05760,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
hills, And now our ears with lamentations fills:,o5089-l05460," When early morn transcends yon eastern hills,",o5089-l05450,/ɪlz/ | /ɪlz/,full,ababc<b>d</b>c<b>d</b>ee,pers00186,o5089-w0070
ills,And ev'ry Minute with new Trouble fills:,clc03-l07375,"Life, which subjects us to Ten thousand Ills,",clc03-l07370,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00349,clc03-w0170
bills," With Benefit-Tickets his Pockets he fills,",o3364-l04850, Like a Mountebank Doctor distributes his Bills;,o3364-l04855,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
hills,"MARK, how it Snows! how fast the Vally fills? ",o4672-l09410, Yet the Warm Sun-Beams bounding from the Hills,o4672-l09420,/ɪlz/ | /ɪlz/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0500
ills,Yet added grief my apprehension fills,o5155-l08275,(If there can be addition to those ills),o5155-l08280,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00001,o5155-w0090
hills, The Heavenly Region fills. ,o4672-l06570," From the Eternal Hills,",o4672-l06560,/ɪlz/ | /ɪlz/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0350
