r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
engine, It was sae fine. ,cbu86-l15440," He had ingine,",cbu86-l15430,/aɪn/ | /iːn/,half-pararhyme,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0270
wine, Thou kitchens fine. ,cbu86-l01460, The poor man's wine;,cbu86-l01450,/aɪn/ | /aɪn/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0020
thine," Speak something sly, and something fine:",pmp18-l33595,"Richard, quoth Mat, these Words of Thine,",pmp18-l33590,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
line,"Who else can speak so very, very fine,",o4600-l02925, That Sense may kindly end with ev'ry line? ,o4600-l02930,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
mine,And the face of the valleys as fine;,o5155-l39035,But their love is not equal to mine.,o5155-l39045,/aɪn/ | /aɪn/,full,ababc<b>d</b>c<b>d</b>,pers00035,o5155-w0950
decline,"Hence flow descriptions regularly fine,",o5156-l22910,And beauties such as never can decline:,o5156-l22915,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
divine,"That, like each letter, exquisitely fine.",o5154-l17015,"Such is her wit, and such her form divine,",o5154-l17005,/aɪn/ | /aɪn/,full,<b>a</b>a<b>a</b>,pers00112,o5154-w0290
line,"That, like each letter, exquisitely fine.",o5154-l17015,"This pure, as flows the style thro' ev'ry line,",o5154-l17010,/aɪn/ | /aɪn/,full,a<b>a</b><b>a</b>,pers00112,o5154-w0290
nine,"Know by these presents, that in fine",o5156-l28875,I quit all commerce with the Nine.,o5156-l28880,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00134,o5156-w0800
fifteen," So courtly and fine,",pse03-l05335, And Face of fifteen. ,pse03-l05345,/aɪn/ | /iːn/,half-pararhyme,x<b>a</b>x<b>a</b>,pers00272,pse03-w0240
mine," Who trots to market on a steed so fine,",pcr18-l11160," That when I meet him, I'm ashamed of mine;",pcr18-l11165,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
valentine," Letters, long proofs of love, and verses fine",pcr18-l17485, Round the pink'd rims of crisped Valentine. ,pcr18-l17490,/aɪn/ | /æləntaɪn/,half-vowelrhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
wine," Wit, of taste correct and fine,",o4986-l23120," Frolic Mirth, that waits on wine,",o4986-l23125,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00083,o4986-w0510
time,"But alas! though the compound was fine,",bsb18-l31941,"'Twas Memory, that blossom of time;",bsb18-l31943,/aɪn/ | /aɪm/,half-vowelrhyme,<b>a</b>b<b>a</b>bcdcd,pers00280,bsb18-w0860
twine, The long small thread with finger fine;,bsb18-l20330,But first her hand must learn to twine,bsb18-l20325,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0260
mine," Then said; my House is grown so Fine,",psw11-l01900," Methinks, I still wou'd call it mine:",psw11-l01905,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
shine,Yet all aim at the Jem to make'em fine;,oau90-l00925,"Nay, rather than they'll not be thought to shine:",oau90-l00930,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00350,oau90-w0010
divine,"He passes on, and only cries, 'tis fine.",o5152-l38025,"Yet, shew him TITIAN'S workmanship divine,",o5152-l38020,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
divine, As the fair Fields they sold to look so fine. ,o3683-l01015," Colours as gay, and Odours as divine,",o3683-l01010,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
divine,"His Lays, inimitably fine,",o4741-l13490," When loud they trumpet War divine,",o4741-l13500,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>b,pers00091,o4741-w0310
shine," Brown look the Meadows, that were late so fine,",o5125-l24460, And cap'd with Ice the distant Mountains shine;,o5125-l24465,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0620
shine,"Let me, when I must be fine,",o4784-l03225, In such natural Colours shine;,o4784-l03230,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
mine,"Clean was my gown on Sundays, tho' not fine,",o5156-l09315,Nor mistress ***'s cap so white as mine.,o5156-l09320,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00037,o5156-w0350
mine," An' I'll hae some pearlings to make mysel fine,",bsb18-l31310, For it's a' to delight this dear laddie o' mine. ,bsb18-l31315,/aɪn/ | /aɪn/,full,aa<b>b</b><b>b</b>ccdd,pers00280,bsb18-w0790
divine, To his ill-judging ears are fine;,ojg27-l09955, And nightingales are all divine. ,ojg27-l09960,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0420
line,"Mimes, fidlers, pipers, eunuchs squeaking fine,",o5153-l11160,"Who could well measure with the rule and line,",o5153-l11170,/aɪn/ | /aɪn/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
define,"Mimes, fidlers, pipers, eunuchs squeaking fine,",o5153-l11160,And all the orders five right craftily define.,o5153-l11175,/aɪn/ | /aɪn/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
line, Who but allows his attitude is fine? ,o5089-l08250,What though unfeeling of the nervous line;,o5089-l08245,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00179,o5089-w0100
vine," Whose clusters appear more transparent and fine,",o4985-l11390,"Let one side of our cottage, a flourishing vine",o4985-l11380,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>b,pers00167,o4985-w0180
thine,"Some Lines I wrote; which seem'd so fine,",pba35-l05965," My Mother cry'd, ""They can't be thine:",pba35-l05970,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00087,pba35-w0420
saline, Age after age; and with filtration fine,o4671-l03705," Dispart, from earths and sulphurs, the saline. ",o4671-l03710,/aɪn/ | /eɪlaɪn/,half-pararhyme,<b>a</b><b>a</b>,pers00337,o4671-w0010
calcine," ""GNOMES! as you now dissect with hammers fine",o4671-l04605," The granite-rock, the nodul'd flint calcine;",o4671-l04610,/aɪn/ | /ælsaɪn/,half-vowelrhyme,<b>a</b><b>a</b>,pers00337,o4671-w0010
line, From blade to blade connect with cordage fine,o4671-l08985," The unbending grass, and live along the line;",o4671-l08990,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
design,"Thou'rt set out so enormously fine,",o5157-l18745,And to please thou hast too much design:,o5157-l18755,/aɪn/ | /aɪn/,full,a<b>b</b>a<b>b</b>cdcd,pers00146,o5157-w0210
mine, And sensibilities so fine;,o3794-l34295," Than with a tenderness like mine,",o3794-l34290,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0420
divine," These, these are feelings truly fine,",o3794-l34540, And prove their owner half divine. ,o3794-l34545,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0420
line,"Hence comment after comment, spun as fine",o3794-l06380, As bloated spiders draw the flimsy line. ,o3794-l06385,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
shine," When scatter'd Glow-worms, but in Twilight fine,",o4784-l24415, Shew trivial Beauties watch their Hour to shine;,o4784-l24420,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00268,o4784-w0860
entwine,"'Tis true that the meadows are fine,",bsb18-l12335," And the trees, which the woodbines entwine,",bsb18-l12345,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0140
shine,"His English style, an' gesture fine,",cbu86-l03505,"What signifies his barren shine,",cbu86-l03495,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>bcdcdx,pers00307,cbu86-w0040
line," When roads are good, and weather fine,",peh89-l08550, But first I hope you'll send a line. ,peh89-l08555,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00324,peh89-w0170
thyme,"A crook, and a garland so fine,",pro75-l00070,Adorn'd with green myrtle and thyme.,pro75-l00080,/aɪn/ | /aɪm/,half-vowelrhyme,ababc<b>d</b>c<b>d</b>,pers00271,pro75-w0010
divine," Nor knew which most delighted, all was fine,",ppo24-l00890, The noble Product of some Pow'r Divine. ,ppo24-l00895,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0020
line," Next moves the iron-hand with fingers fine,",o4671-l15690," Combs the wide card, and forms the eternal line;",o4671-l15695,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
line," The spider's touch, how exquisitely fine! ",o3676-l01045,"Feels at each thread, and lives along the line:",o3676-l01050,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
thine,"Yet, why with those compar'd? What tints so fine,",o4987-l09160," What sweetness, mildness can be match'd with thine? ",o4987-l09165,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00207,o4987-w0270
join,"A year's rack-rent, and arbitrary fine:",o5152-l37205,Should Oxford to her sister Cambridge join,o5152-l37200,/aɪn/ | /ɔɪn/,half-pararhyme,<b>a</b><b>a</b>,pers00143,o5152-w0340
