r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
desire,"This Oil has so inflam'd my secret Fire,",pdi12-l01570, I burn impatient with the fierce Desire. ,pdi12-l01575,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
aspire," So smooth her Accent, and sublime her Fire;",o5125-l13325," How blest the Muse cou'd she like thine aspire,",o5125-l13320,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00154,o5125-w0370
desire,"TOUCH'D by thy wit, my soul's on fire,",o4029-l07360, My bosom throbs with young desire. ,o4029-l07365,/æə/ | /æə/,full,<b>a</b><b>a</b>bbcddc,pers00284,o4029-w0020
choir,Her charming eyes had lost their fire. ,o4091-l25620, As slow she totter'd down the Choir. ,o4091-l25630,/æə/ | /æə/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
higher, And flourish unconsum'd in Fire. ,o3900-l17965," Like Moses' Bush I'll mount the higher,",o3900-l17960,/æə/ | /aɪə/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
liar, That burns with Brimstone and with Fire. ,o5454-l01820, The Words of Truth; but ev'ry Liar,o5454-l01810,/æə/ | /aɪə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00292,o5454-w0150
conspire,My Manhood felt a vig'rous Fire,o4106-l10185, But Years with coming Years conspire,o4106-l10195,/æə/ | /aɪə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00294,o4106-w0160
lyre," Her blushing cheeks pronounce her heart on fire,",o4985-l27110," The raptur'd Bard awakes his skilful lyre,",o4985-l27085,/æə/ | /aɪə/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
wire," Her blushing cheeks pronounce her heart on fire,",o4985-l27110, He tunes to amorous notes his sounding wire:,o4985-l27095,/æə/ | /æə/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o4985-w0390
desire," Her blushing cheeks pronounce her heart on fire,",o4985-l27110," All, all his harmony, and all desire. ",o4985-l27100,/æə/ | /æə/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o4985-w0390
expire,"Ah Phoebus, quench thy wild destroying fire,",o4985-l27240," Save the fresh laurel, that shall ne'er expire. ",o4985-l27250,/æə/ | /æə/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
ire,"Ah Phoebus, quench thy wild destroying fire,",o4985-l27240,The leaves that crown a bard may brave celestial ire. ,o4985-l27255,/æə/ | /æə/,full,ababb<b>c</b>bc<b>c</b>,pers00033,o4985-w0390
expire," Let not the genial warmth, the latent fire,",yfs88-l01265," That glows in Britain's valiant sons, expire;",yfs88-l01270,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
lyre, Each bosom glow with emulative fire;,yfs88-l01640," Virtues like thine shall wake the sounding lyre,",yfs88-l01635,/æə/ | /aɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00318,yfs88-w0020
lyre," There, nobly warm'd with animating fire,",yfs88-l01935, Our Shakespear struck his soul-commanding lyre;,yfs88-l01940,/æə/ | /aɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00318,yfs88-w0020
dire,"That waste our flesh with slow consuming fire,",o5156-l09820,"The latent ulcer, and the cancer dire,",o5156-l09815,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
desire,"Gie me ae spark o' Nature's fire,",cbu86-l15655, That's a' the learning I desire;,cbu86-l15660,/æə/ | /æə/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0270
mire,"Gie me ae spark o' Nature's fire,",cbu86-l15655, Then tho' I drudge thro' dub an' mire,cbu86-l15665,/æə/ | /æə/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0270
attire,"Gie me ae spark o' Nature's fire,",cbu86-l15655," My Muse, tho' hamely in attire,",cbu86-l15675,/æə/ | /æə/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0270
squire,The humours of our kitchin fire?,o5156-l05415,"HAVE you not seen, my gentle squire,",o5156-l05410,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00035,o5156-w0170
require,"Than a good blazing parlour fire,",o5156-l05555,"You, who none other flame require",o5156-l05550,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00035,o5156-w0170
expire,A sacrifice to Beauty's general fire.,o5156-l34320,"Well pleas'd these gen'rous foreigners expire,",o5156-l34315,/æə/ | /æə/,full,aa<b>b</b><b>b</b>,pers00133,o5156-w0980
ire,Around the circling Walls a glowing fire,bse96-l03610," And stormy Winds are howling in their ire,",bse96-l03585,/æə/ | /æə/,full,a<b>b</b>baab<b>b</b>acdcdcd,pers00282,bse96-w0110
inspire,Around the circling Walls a glowing fire,bse96-l03610," Why com'st not THOU, who always can'st inspire",bse96-l03590,/æə/ | /æə/,full,ab<b>b</b>aab<b>b</b>acdcdcd,pers00282,bse96-w0110
