r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tale," Yielding rich harvest to the critic flail,",o5280-l05035, Nurse Prologue then repeats her wonted tale. ,o5280-l05040,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
ale," (One with whom oft he whirl'd the bounding flail,",pcr18-l15335," Toss'd the broad coit, or took th' inspiring ale,)",pcr18-l15340,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
ale," Swains leave their Ploughs, and Threshers quit their Flail:",o4741-l14625," 'Twas there, my Lord, induc'd by potent Ale,",o4741-l14620,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00091,o4741-w0360
prevail," That Blows are menac'd, ev'n without the Flail;",o4741-l14735," Hard Words succeed; so far can Beer prevail,",o4741-l14730,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00091,o4741-w0360
pale,"Quick from his hand he throws the cumbrous flail,",bjb18-l06680, And leaps with lightsome limbs the enclosing pale. ,bjb18-l06685,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0090
pail,And the sound of distant flail,o5155-l05925,Comes abroad with milking pail;,o5155-l05920,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00089,o5155-w0040
gale,""" They neither plough, nor sow; ne, fit for Flail,",o3818-l00455,""" Yet theirs each Harvest dancing in the Gale,",o3818-l00465,/eɪl/ | /eɪl/,full,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
vale,""" They neither plough, nor sow; ne, fit for Flail,",o3818-l00455," ""Whatever crowns the Hill, or smiles along the Vale. ",o3818-l00470,/eɪl/ | /ɑːleɪ/,half-vowelrhyme,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
rail," Here one in haste, with hand-staff of his flail,",peh89-l11120, And there another comes with half a rail:,peh89-l11125,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00324,peh89-w0360
tale," The Voice is lost, drown'd by the louder Flail. ",o4741-l01180," Can we, like Shepherds, tell a merry Tale;",o4741-l01175,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00091,o4741-w0030
