r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
dames, Which chose cold death before their lovers flames. ,oae86-l00600,There's none can number all those vertuous Dames,oae86-l00595,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
streams, He to the Nymphs avows his Am'rous Flames. ,pmp18-l19570,"Nourish'd near shady Rills and cooling Streams,",pmp18-l19565,/eɪmz/ | /iːmz/,half-pararhyme,aa<b>b</b><b>b</b>cc,pers00314,pmp18-w0640
streams, Fill my whole Heart with Sacred Flames. ,o3900-l13715, Flows forth in unexhausted Streams;,o3900-l13705,/eɪmz/ | /iːmz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00310,o3900-w0740
beams, Which quicken Earth with genial Flames. ,pmp18-l32475," 'Tis from That Seat He darts those Beams,",pmp18-l32470,/eɪmz/ | /iːmz/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
beams, Themselves not conscious of their Flames. ,pmp18-l34705," While they diffuse their Infant Beams,",pmp18-l34700,/eɪmz/ | /iːmz/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
dames,"Be sure ye soothe their amorous flames,",o5156-l04235,YE gentle nymphs and generous dames,o5156-l04225,/eɪmz/ | /eɪmz/,full,<b>a</b>b<b>a</b>b,pers00035,o5156-w0122
proclaims," Scorn of the sepulchral flames,",bse96-l02395,"Thou, whose awless voice proclaims",bse96-l02390,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
names, By his O'reflowing Flames. ,o4672-l01395, To your inferiour Names;,o4672-l01385,/eɪmz/ | /eɪmz/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0070
exclaims,See thy knight's wondrous dart in terror flames;,pmt18-l15795," ""Fly from these dangerous walls,"" his page exclaims;",pmt18-l15785,/eɪmz/ | /eɪmz/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0025
claims,"OF vagrant loves, and fickle flames",o5157-l26020,And sure such artless freedom claims,o5157-l26030,/eɪmz/ | /eɪmz/,full,<b>a</b>b<b>a</b>b,pers00035,o5157-w0380
names," The Poet's Hell, its Tortures, Fiends and Flames,",o3683-l00035," To this were Trifles, Toys, and empty Names. ",o3683-l00040,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
proclaims, Shall bid AUGUSTA rise in Flames;,o4741-l13645," LEANDER safe arriv'd proclaims,",o4741-l13635,/eɪmz/ | /eɪmz/,full,a<b>b</b>a<b>b</b>,pers00091,o4741-w0310
names, That kindle bright immortal flames;,o3555-l04655, Teach him to spell those mystic names,o3555-l04650,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00149,o3555-w0120
dames,"Who aye, untouch'd by any foreign flames,",o5155-l14840,And sure of all mankind the Squire of Dames,o5155-l14830,/eɪmz/ | /eɪmz/,full,<b>a</b>b<b>a</b>bbcbcc,pers00033,o5155-w0200
reins," And check'd his People's Heats, and quench'd the Flames;",o3871-l00120," When by Adoption Trajan took the Reins,",o3871-l00115,/eɪmz/ | /eɪnz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00296,o3871-w0010
aims,"Array'd in clouds, and wrapt in mantling flames,",o5152-l02145,"So the keen bolt a warrior angel aims,",o5152-l02140,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00011,o5152-w0010
name," Cherubic Quires, Seraphic Flames,",o3900-l19260,All Creatures praise th' Eternal Name! ,o3900-l19250,/eɪmz/ | /eɪm/,half-vowelrhyme,abab<b>c</b>d<b>c</b>defef,pers00310,o3900-w1040
james'," If now the scold at Wapping flames,",o4987-l16910, Or flaunts a Dutchess at St. James' ;,o4987-l16915,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00203,o4987-w0580
dames," Our Souls would kindle with as gen'rous Flames,",pmp18-l26245, As e'er inspir'd the antient Grecian Dames:,pmp18-l26250,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0880
dreams,""" And force a Passage to the Flames. ",o4672-l11050,""" And spurr'd with Honour's Airy Dreams",o4672-l11040,/eɪmz/ | /iːmz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00292,o4672-w0570
dames, No Satyrs fierce with savage flames,o3776-l03710," No frantic shouts of Thracian dames,",o3776-l03705,/eɪmz/ | /eɪmz/,full,ababccd<b>e</b><b>e</b>d,pers00047,o3776-w0100
thames," Lament his old Whitehall in Flames,",psw11-l00555,No longer shall forsaken Thames,psw11-l00550,/eɪmz/ | /emz/,half-pararhyme,<b>a</b><b>a</b>,pers00148,psw11-w0040
aims," Whose hallow'd bosoms glow with purer flames,",o3555-l01940,"While others, consecrate to higher aims,",o3555-l01935,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00149,o3555-w0020
dames, Raise strange emotions and invidious flames. ,o4039-l02375," Full of the majesty of city dames,",o4039-l02365,/eɪmz/ | /eɪmz/,full,a<b>b</b>a<b>b</b>,pers00288,o4039-w0100
thames,What time the dog-star with unbating flames,o5089-l32105," Cleaves the parch'd earth, and sinks the silver Thames;",o5089-l32110,/eɪmz/ | /emz/,half-pararhyme,<b>a</b><b>a</b>,pers00033,o5089-w0680
names," To deal in Wounds, and Deaths, in Darts, and Flames;",o4741-l11450,"She fill'd the Wanton's Tongue with specious Names,",o4741-l11445,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0180
dames," Is ruin'd now, with dire, consuming Flames;",o4741-l16845,"Sure Troy, so hateful to the Grecian Dames,",o4741-l16840,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0370
blames, And often chides me for my constant Flames:,o4741-l17425,"Your long Delay my Father often blames,",o4741-l17420,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0370
claims, Do not admit the Flames. ,o4784-l22435, No serious Passion claims;,o4784-l22425,/eɪmz/ | /eɪmz/,full,a<b>b</b>a<b>b</b>,pers00268,o4784-w0730
names,And ever sooth the purest flames!,o5157-l25645,Wounded by none but faithful names!,o5157-l25655,/eɪmz/ | /eɪmz/,full,a<b>b</b>a<b>b</b>,pers00035,o5157-w0340
disclaims, And gives up all her soul to heavenly flames. ,o3555-l07330," Without one fond reserve the world disclaims,",o3555-l07325,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00149,o3555-w0230
aims,"Swords, and Pikes, and Waves, and Flames,",o4784-l13145, Each their Stroke against him aims. ,o4784-l13150,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0390
dames,SHALL Pope sing his flames,o5089-l26175," With quality dames,",o5089-l26180,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>bccb,pers00170,o5089-w0610
names," Enlight'ning Spirits, and ministerial Flames,",pmp18-l42380," From Essences unseen, Celestial names,",pmp18-l42375,/eɪmz/ | /eɪmz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
dreams," Of opening Gulphs, black Storms, and raging Flames,",pmp18-l52015, And wish their Eyes were Flouds: by Night from Dreams,pmp18-l52010,/eɪmz/ | /iːmz/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
