r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
height, And joins with madness in her flight. ,o4091-l24530," Too near approaches to that height,",o4091-l24520,/aɪt/ | /aɪt/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
light,"On parchment wings his acres take their flight,",o5154-l20350,And his unpeopled groves admit the light;,o5154-l20355,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
polite,"Or whether modern in her flight,",o5153-l23355,She tells what Paris thinks polite.,o5153-l23360,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
light," And sweet parental joys, in rapid flight,",bhw18-l16930,"The vital air, and liberty, and light",bhw18-l16920,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0350
height, Downward directs his rapid flight;,ojg27-l01250,"The Bird, obedient, from heav'n's height",ojg27-l01245,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0050
light," The cock implor'd the pidgeon's flight,",ojg27-l01365," Whose wings were rapid, strong and light;",ojg27-l01370,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0050
light,"Too late to stay the spirit on its flight,",o5152-l04300,Or sooth the new inhabitant of light;,o5152-l04305,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00011,o5152-w0060
slight," Both Cupid and Hymen you'll soon put to flight,",pma99-l08865,"But if traitors to Nature, their virtue you slight,",pma99-l08855,/aɪt/ | /aɪt/,full,abab<b>c</b>d<b>c</b>d,pers00306,pma99-w0490
light,"Yet still ambitious of the daring Flight,",o3309-l00110,ONE only awes her with Superior Light.,o3309-l00115,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00339,o3309-w0010
invite," We chace, with anxious steps, the may-bug's flight;",o5280-l04625," Or, if serener skies to fields invite,",o5280-l04620,/aɪt/ | /ɪnvaɪt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00277,o5280-w0330
right," The Nine lov'd partners of each former flight,",o5280-l05205," Disdaining still to own a tyrant's right,",o5280-l05210,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
light,Through length'ning years' successive flight,bhw18-l19540, To shed its narrow line of light,bhw18-l19550,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0500
light,Our airy Feet with unknown flight,o4672-l02440," Run up the Hills of Heavenly Light,",o4672-l02450,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0120
spright," These words, before he took his flight,",o4984-l35550," But sure I am, the little spright",o4984-l35545,/aɪt/ | /aɪt/,full,aab<b>c</b><b>c</b>b,pers00321,o4984-w0650
write, The Slips and Bounds of Alma's Flight. ,pmp18-l32010, While pleas'd Thalia deigns to write,pmp18-l32005,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
night," By day restrain your busy flight,",o4987-l15480, Condemn'd to labour in the night. ,o4987-l15485,/aɪt/ | /aɪt/,full,aa<b>b</b><b>b</b>,pers00202,o4987-w0550
delight,"And yet this strange, this sudden flight,",o5156-l16580,"From gloomy cares to gay delight,",o5156-l16585,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>bccb,pers00097;pers00044,o5156-w0570
height," ""Mounting alost he wings his daring flight,",o4600-l00625,"""Whilst SOPHOCLES below stands trembling at his height. """,o4600-l00630,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
sight,"Save where the beetle wheels his drony flight,",o5155-l00035,"Now fades the glimmering landscape on the sight,",o5155-l00025,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00039,o5155-w0010
sight, And holds his sounding pinions pois'd for flight;,o3555-l03310, Thro' the wide waste of air he darts his sight,o3555-l03305,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
affright,"Oh! let me thither quickly take my flight,",bmb97-l00990," In scenes which would each gentler mind affright,",bmb97-l01000,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0020
light,My spirit is not form'd for rapid flight;,bmb97-l01390," No, never can it reach the realms of light,",bmb97-l01400,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0020
sight," Thro' dusky Woods he takes his trembling Flight,",o4741-l07005, The dusky Woods conceal him from their Sight;,o4741-l07010,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
bright, And wing thy Shafts with an unerring flight:,oar96-l09990," I could have made thy Taper burn more bright,",oar96-l09985,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00265,oar96-w0510
fight,"Owns the mistake of his o'er-hasty flight,",o5156-l22775,And aukwardly maintains a languid fight;,o5156-l22780,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
height,"Stop, goddess, stop, recall thy daring flight,",o5156-l23635,"I cannot, must not tempt the wond'rous height.",o5156-l23640,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
light,"Go, Friend, and wait the Prophet's Flight,",o4672-l07835, Watch if his Mantle chance to light,o4672-l07840,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>bcccb,pers00292,o4672-w0400
sight, And hope in vain their Safety from their Flight. ,pdi22-l00220,"The Birds, when out of Reach, are yet in Sight,",pdi22-l00215,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
sight," Of Fish in Shape, and yet of Birds in Flight. ",pdi22-l03615,"With strange Surprize we view the dubious Sight,",pdi22-l03610,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
light," A pitying angel comes to stay thy flight,",bhw18-l02835, LAS CASAS bids thee view returning light;,bhw18-l02840,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
delight," Suspend, ye moments, your impatient flight;",bhw18-l04140,"Ah stay, ye tender hours of young delight,",bhw18-l04135,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
fight,"Struck with dismay, and meditating flight;",o5154-l02050,"While the brave foe still urg'd th' unequal fight,",o5154-l02055,/aɪt/ | /aɪt/,full,aabbccdd<b>e</b><b>e</b>ff,pers00031,o5154-w0060
fight,"Improves the kind escape, and triumphs in his flight.",o5154-l02105,"And wildly these prevent, those basely shun the fight;",o5154-l02090,/aɪt/ | /aɪt/,full,aabb<b>c</b>dd<b>c</b>,pers00031,o5154-w0060
height,"Rest, impious race! — The Muse pursues her flight,",pye85-l06530, Breathes purer air on Vincent's rugged height;,pye85-l06535,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
light," ""He hears not! memory has ta'en her flight,",bmb97-l00565," ""Now, ere the moon withdraws her feeble light,",bmb97-l00555,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0010
wight, On eagle wing pursues his flight;,o5280-l03220, To Fancy's realm the daring wight,o5280-l03215,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00277,o5280-w0210
sight,She may too far extend her heedless flight;,o5157-l11015,If Nature's regions are not held in sight.,o5157-l11025,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>,pers00088,o5157-w0100
sight,"MISTAKEN fair one, check thy fancy's flight,",o5089-l26855, Nor let fond poetry misguide thy sight. ,o5089-l26860,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00042,o5089-w0630
knight," Nor can that gentle voice now hope to stay his flight,",pmt18-l11145, And ask forgiveness of her suffering knight;,pmt18-l11130,/aɪt/ | /aɪt/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0023
sight," Nor can that gentle voice now hope to stay his flight,",pmt18-l11145," He has withdrawn offended from her sight,",pmt18-l11140,/aɪt/ | /aɪt/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0023
fight, Secures her Conquest by her Flight;,pmp18-l04010,"Deeper to wound, See shuns the Fight:",pmp18-l04000,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0170
sight, And wondering seeks the traces of her flight:,pmt18-l12725, Conceals her suppliant from Alpheus' sight;,pmt18-l12715,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0024
sight," Or, as his voice they hear, trembling disperse in flight. ",pmt18-l13890," A dizzy mist obscures their wondering sight,",pmt18-l13875,/aɪt/ | /aɪt/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0024
knight," Or, as his voice they hear, trembling disperse in flight. ",pmt18-l13890," With stupid awe they gaze upon the knight,",pmt18-l13885,/aɪt/ | /aɪt/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0024
light," Hither, Cupid, wing thy flight;",o5280-l03655,"DECK'D with rays of purple light,",o5280-l03650,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>bb,pers00277,o5280-w0250
right,""" It was not fear that urg'd my flight;",bmb97-l02315,""" I thought but of a parent's right. ",bmb97-l02325,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0050
