r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
more," Where flails of oratory thresh the floor,",o3794-l11495," That yields them chaff and dust, and nothing more. ",o3794-l11500,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
more,"May I have a Wife, that will dust her own Floor;",pba35-l03975," And not the fine Minx, recommended by More. ",pba35-l03980,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00087,pba35-w0280
roar,"Go sweep, and wash, and strew thy Floor,",o4784-l19110," And do not thus for Thunders roar,",o4784-l19120,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>b,pers00268,o4784-w0600
door,"'Tis true our Parlour has an earthen Floor,",o5125-l03195, The Sides of Plaster and of Elm the Door:,o5125-l03200,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0110
secure," ""And all the thousand stars, that pave the floor",o4985-l21405," ""Then shall their eyes, from cloudy films secure,",o4985-l21395,/ɔː/ | /ʊə/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdee,pers00058,o4985-w0300
secure," And curl its billows on the shelly floor,",bse96-l01490," Age, and Infirmity, may plunge secure. ",bse96-l01500,/ɔː/ | /ʊə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00282,bse96-w0030
adore," Where Sysigambis, prostrate on the Floor,",o4784-l08305, Did Alexander in thy Form adore;,o4784-l08310,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00268,o4784-w0170
door,"But scant he lays him on the Floor,",o4106-l02610," When hollow Winds remove the Door,",o4106-l02615,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>bccb,pers00294,o4106-w0070
before, Poor Edwin falls to Floor;,o4106-l03010, Through all the Land before. ,o4106-l03025,/ɔː/ | /ɔː/,full,aa<b>b</b>cc<b>b</b>,pers00294,o4106-w0070
before," The Faeries bragly foot the Floor,",o4106-l03140," Up spring the Tapers as before,",o4106-l03135,/ɔː/ | /ɔː/,full,aab<b>c</b><b>c</b>b,pers00294,o4106-w0070
over,They rest recumbent on the floor;,o5154-l13860,"The first congratulations o'er,",o5154-l13855,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00091,o5154-w0200
door," Heaps from the hearth and sweepings from the floor,",pcr18-l09680," There lie, obscene, at every open door,",pcr18-l09675,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
door," And cards, in curses torn, lie fragments on the floor. ",pcr18-l10005," Prints of the meanest kind disgrace the door,",pcr18-l10000,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
door," And placing first her infant on the floor,",pcr18-l13960," Her home she reaches, open leaves the door,",pcr18-l13955,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
adore," ""And tallest mirrors, reaching to the floor,",pcr18-l15610,""" Shall show you all the object I adore;",pcr18-l15615,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
gore, They dash'd him on the floor;,pjo50-l06275,And welter in thy gore. ,pjo50-l06285,/ɔː/ | /ɔː/,full,x<b>a</b>x<b>a</b>,pers00273,pjo50-w0180
poor,"Let such, such only, tread this sacred floor,",o5154-l00065,"Who dare to love their country, and be poor.",o5154-l00070,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00012,o5154-w0010
more," Afraid to venture on the floor,",o4257-l00480,TWO hours thus studious past or more;,o4257-l00475,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
store,Sheaves pil'd on sheaves hid all the floor:,ojg27-l09905, At dawn of morn to view his store,ojg27-l09910,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0420
here,"Then honest Jock loupt on the floor,",bsb18-l30080,"And if some grudging souls be here,",bsb18-l30090,/ɔː/ | /ɪə/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00280,bsb18-w0700
power," She sinks upon the marble floor,",pcm93-l06010,Just then the poison's subtle power,pcm93-l06000,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0060
gore, And sinks without sense on the floor. ,o4779-l00420, Of daemons all dropping with gore;,o4779-l00405,/ɔː/ | /ɔː/,full,aa<b>b</b>cc<b>b</b>,pers00319,o4779-w0010
