r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
showers, Who lives the span of flowers. ,bhw18-l20375," On whose meek head descend no ruffling showers,",bhw18-l20370,/æəz/ | /aʊəz/,half-pararhyme,aa<b>b</b><b>b</b>,pers00276,bhw18-w0530
bowers," Weave many a knotted fringe of flowers,",bsb18-l10290," And round thy flaunting, breezy bowers,",bsb18-l10285,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0120
hours,"Fancy would weave a wreath of flowers,",bsb18-l10765," And dress the nimble-footed hours,",bsb18-l10770,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
bowers," Here are cool Fountains, and here springing Flow'rs. ",sap09-l03355,"Come Rosalind, O come! Here shady Bow'rs,",sap09-l03350,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00302,sap09-w0060
hours," They bound along the sky, and strew the heavens with flowers. ",o4985-l27075,"Fast by the car of light the nimble Hours,",o4985-l27060,/æəz/ | /æəz/,full,ababb<b>c</b>bc<b>c</b>,pers00033,o4985-w0390
bowers," They bound along the sky, and strew the heavens with flowers. ",o4985-l27075," And, as they wend to Thetis cooling bowers,",o4985-l27070,/æəz/ | /aʊəz/,half-pararhyme,ababbcb<b>c</b><b>c</b>,pers00033,o4985-w0390
bowers,"There mote you see mild Avon crown'd with flowers,",o4985-l28050," There the fair stream that washes Hampton's bowers,",o4985-l28060,/æəz/ | /aʊəz/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
towers,"There mote you see mild Avon crown'd with flowers,",o4985-l28050, And Isis who with pride beholds her learned towers. ,o4985-l28065,/æəz/ | /aʊəz/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00033,o4985-w0390
hours," And still with sportive hand has snatch'd wild flow'rs,",n22cs-l00015,"THE partial Muse has, from my earliest hours,",n22cs-l00005,/æəz/ | /æəz/,full,<b>a</b>b<b>a</b>bcdcdefefgg,pers00290,n22cs-w0010
powers, To dress Affliction in a robe of flow'rs. ,n22cs-l03525," Imagination now has lost her pow'rs,",n22cs-l03515,/æəz/ | /aʊəz/,half-pararhyme,ababc<b>d</b>c<b>d</b>efefgg,pers00290,n22cs-w0480
showers," And the drops, as they hang on the plants and the flowers,",o4985-l10870,"When gently descending, the rain in soft showers,",o4985-l10860,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00167,o4985-w0160
powers," To dress the cave of Care, with Fancy's flow'rs,",n22cs-l06260, Still shall the plaintive lyre essay its pow'rs,n22cs-l06255,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00290,n22cs-w0670
hours,"A Myrtle flourish'd 'mongst the flowers,",o5154-l31745,And happy pass'd her maiden hours:,o5154-l31750,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00108,o5154-w0570
bowers, And sweeter Baths distil from weeping Flowers;,o5125-l20350," For thee the East shall yield her spicy Bowers,",o5125-l20345,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
hours, Along the vale of flowers! ,o4984-l35570, That glads the midnight hours! ,o4984-l35585,/æəz/ | /æəz/,full,aa<b>b</b>cc<b>b</b>,pers00226,o4984-w0660
pours," He saw her glowing, deck'd with flowers,",cac95-l11335,As on the odorous bank he pours,cac95-l11325,/æəz/ | /ɔːz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00301,cac95-w0190
pours,Celestial sweets and aramanthine flowers:,o5153-l32330,And on thy tomb she pours,o5153-l32325,/æəz/ | /ɔːz/,half-pararhyme,ababc<b>d</b><b>d</b>eecffgg,pers00040,o5153-w0590
bowers," Scatter o'er my lorn path fallacious flowers,",pmt18-l17560," While fondly pointing to fresh blooming bowers,",pmt18-l17575,/æəz/ | /aʊəz/,half-pararhyme,abba<b>c</b>dd<b>c</b>efefef,pers00320,pmt18-w0120
towers," Morn smiles to show the blasted plants and flow'rs,",yfs88-l00935, Or torn trees mingling with the shatter'd tow'rs. ,yfs88-l00940,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00317,yfs88-w0010
powers," Though the swains crown my head with a garland of flowers,",o4986-l19815," ""Though the Sylvans to please me exert all their powers,",o4986-l19810,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>bbcc,pers00240,o4986-w0430
bowers," More lively glow the purple flowers,",o4984-l04280," More tempting twine their opening bowers,",o4984-l04275,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00218,o4984-w0030
hours," Strip the brown wood, and chill the flowers, —",bhw18-l17005,WHEN fading Autumn's latest hours,bhw18-l17000,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0360
showers," That feed the plants, and wake the flowers;",bhw18-l17185, But Molly's pity fell like showers,bhw18-l17180,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00276,bhw18-w0360
devours," But only smells the Peel, and Flow'rs:",pmp18-l32685,The Man of Sense his Meat devours;,pmp18-l32680,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
hours,"For, as thy hand with smiling flowers",pmt18-l20845," Hath crowned the lingering, wintry hours,",pmt18-l20850,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00320,pmt18-w0340
bowers, Thy Locke delighted culls the choicest flowers,o4987-l20725,"Hail, Cockburne, hail! ev'n now from Reason's bowers",o4987-l20720,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00055,o4987-w0700
showers," ""A snow of blossoms, and a wild of flowers."" ",o4987-l21515," While, round his votary, spring profusely showers",o4987-l21510,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>,pers00055,o4987-w0700
hours, A sofa of her softest flow'rs. ,o4103-l01815," There let me doze out the dull hours,",o4103-l01805,/æəz/ | /æəz/,full,a<b>b</b>a<b>b</b>,pers00254,o4103-w0090
bowers,"I visit oft, and cull the flow'rs",o5154-l27525,"With you Elysium's happy bow'rs,",o5154-l27515,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00052,o5154-w0450
