r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fair,"Next myself! Young Nymph, forbear. ",o4784-l15440,"Still the Swains allow me Fair,",o4784-l15445,/ɔːbeə/ | /eə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0460
despair, O venerable Sire! forbear —,o4091-l24240, Dread to contend with fix'd despair —,o4091-l24250,/ɔːbeə/ | /eə/,half-vowelrhyme,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
sphere,"Change did I say, that word I must forbear,",oae86-l00870," No, she bright Star wont wander from her sphere",oae86-l00875,/ɔːbeə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
fair,"O do not urge me Celadon, forbear! ",ppo24-l05530,"I cannot leave her, she's too charming Fair! ",ppo24-l05535,/ɔːbeə/ | /eə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0040
fair,"And thence — my muse, these flights forbear,",o4984-l04345, Nor with wild raptures tire the fair. ,o4984-l04350,/ɔːbeə/ | /eə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00218,o4984-w0030
care,"At length thy mournful Task forbear,",o4602-l01045," And while we bless thy pious Care,",o4602-l01055,/ɔːbeə/ | /eə/,half-vowelrhyme,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0020
air," ""And O fond foolish man,"" she cry'd, ""forbear",o4985-l21245," ""What are these jocund scenes, but empty air,",o4985-l21255,/ɔːbeə/ | /eə/,half-vowelrhyme,<b>a</b>b<b>a</b>bcdcdee,pers00058,o4985-w0300
fair," Nor shall the farthing, sung by her, forbear",o4987-l21600, To claim the praises of the smiling fair;,o4987-l21605,/ɔːbeə/ | /eə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00055,o4987-w0700
sphere,Presumptuous Youth! this dang'rous Art forbear;,pba35-l05565, Nor tempt a Character beyond thy Sphere. ,pba35-l05570,/ɔːbeə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00259,pba35-w0390
beer,"A JOLLY, brave toper, who cou'd not forbear",o5157-l14795,"Tho' his life was in danger, old port and stale beer,",o5157-l14800,/ɔːbeə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00133,o5157-w0130
fair,"But let me that plunder forbear,",o5155-l38900,I have found out a gift for my fair;,o5155-l38890,/ɔːbeə/ | /eə/,half-vowelrhyme,<b>a</b>b<b>a</b>bcdcd,pers00035,o5155-w0950
sincere,"YOUR compliments, dear lady, pray forbear,",o5156-l18445,Old English services are more sincere;,o5156-l18450,/ɔːbeə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>bb,pers00064,o5156-w0630
