r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
regret, Sorrows that Sense refuses to forget:,n22cs-l03505," From sad Reality and vain Regret,",n22cs-l03495,/et/ | /et/,full,a<b>b</b>a<b>b</b>cdcdefefgg,pers00290,n22cs-w0480
debt,"Which God, though long forborn, will not forget;",o3794-l13550,Their measure fill'd — they too shall pay the debt. ,o3794-l13545,/et/ | /et/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
fate,"No, when I this Day forget,",pjo50-l11960, May I share that Poet's fate! ,pjo50-l11965,/et/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0470
wit,That Alma may Her self forget. ,pmp18-l38560,Happy Result of Human Wit! ,pmp18-l38555,/et/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
met,When I cannot endure to forget,o5155-l39460,"Alas! from the day that we met,",o5155-l39450,/et/ | /et/,full,<b>a</b>b<b>a</b>bcdcd,pers00035,o5155-w0950
set," Men, who too curious search, themselves forget. ",pdi22-l00630,For human Reach has certain Limits set;,pdi22-l00625,/et/ | /et/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
retreat," Escape their Dangers, and their Fears forget;",pdi22-l06275, Those tender Parts; safe in the close Retreat,pdi22-l06270,/et/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
regret,"Bless'd with thy presence, I could all forget,",o5155-l08825,"Nor gilded palaces in huts regret,",o5155-l08830,/et/ | /et/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
yet," Thou wretched bankrupt, that must soon forget",pye85-l07305, E'en to its fancied bliss — Ah! turn not yet,pye85-l07300,/et/ | /et/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
regret,"Weep the misfortune, and the wrong forget?",o5155-l10895,"That I should mourn thy loss with fond regret,",o5155-l10890,/et/ | /et/,full,<b>a</b><b>a</b>,pers00106,o5155-w0130
regret,"Forgetting Care, or striving to forget;",o5295-l00360,"Come, see thy Friend, retir'd without Regret,",o5295-l00355,/et/ | /et/,full,<b>a</b><b>a</b>,pers00339,o5295-w0010
repeat,Slow Minds are merely passive; and forget,o3900-l07155," Truths not inculcated: to these repeat,",o3900-l07160,/et/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>a,pers00311,o3900-w0440
heat,Slow Minds are merely passive; and forget,o3900-l07155," Avow your Counsel, nor abstain from Heat. ",o3900-l07165,/et/ | /iːt/,half-pararhyme,<b>a</b>a<b>a</b>,pers00311,o3900-w0440
yet,""" Could break, but not forget. ",o3462-l02715,""" What, doubt my passion yet? ",o3462-l02705,/et/ | /et/,full,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
regret,"No — the voluptuaries, who ne'er forget",o3794-l08735," One pleasure lost, lose heav'n without regret;",o3794-l08740,/et/ | /et/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
net," She kiss'd, and vow'd, She never would forget:",pdi12-l01055,I for Leucippe stole a Fisher's Net;,pdi12-l01050,/et/ | /et/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0030
yet,"And can you then so soon those vows forget,",o5400-l00485, Which Eccho scarce has left repeating yet?,o5400-l00490,/et/ | /et/,full,<b>a</b><b>a</b>,pers00345,o5400-w0010
met," Though never can my heart forget,",bao18-l03885,"YES, thou art changed since first we met,",bao18-l03875,/et/ | /et/,full,<b>a</b>a<b>a</b>bcdcdcb,pers00279,bao18-w0110
regret," Though never can my heart forget,",bao18-l03885," But think not I shall e'er regret,",bao18-l03880,/et/ | /et/,full,a<b>a</b><b>a</b>bcdcdcb,pers00279,bao18-w0110
fishing-net," Nor shall I e'er that happy Time forget,",pdi12-l00460," When first I left my Boat, and Fishing-Net;",pdi12-l00465,/et/ | /et/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0020
debt,"And who can that amazing Deed forget,",o4741-l03325, Which he perform'd to pay the Widow's Debt? ,o4741-l03330,/et/ | /et/,full,<b>a</b><b>a</b>,pers00091,o4741-w0040
writ," If 'tis possible, my fatal Crimes forget. ",o4885-l09725,"In this Cabinet you'll find the Story writ,",o4885-l09720,/et/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
met,"I wish he would Phillis forget,",pro75-l00175,"Alas! if they never had met,",pro75-l00165,/et/ | /et/,full,<b>a</b>b<b>a</b>bcdcd,pers00271,pro75-w0010
net," They joyous seize the Prey, and all their Pain forget. ",pdi12-l04805," Press to their Boat, and fill the swelling Net;",pdi12-l04800,/et/ | /et/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0130
fate," Lest the great Mourner should forget,",pmp18-l05270, Made Virtue triumph over Fate. ,pmp18-l05280,/et/ | /eɪt/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0195
fate, Lest the great Mourner should forget,omp95-l00580, Made Virtue triumph over Fate. ,omp95-l00590,/et/ | /eɪt/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00314,omp95-w0010
debt,"This Justice claims, nor shall the Bard forget,",o4002-l01295," Delighted with the task, to pay that debt,",o4002-l01300,/et/ | /et/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
feet,'There was a time (oh! that I cou'd forget!),o5152-l12115,'When opera-tickets pour'd before my feet;,o5152-l12120,/et/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>,pers00001,o5152-w0110
met,"Yet, no; ah, no! forget, forget",bao18-l06515, Remember not we ever met;,bao18-l06525,/et/ | /et/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0260
fleet, And all their well aton'd Mistakes forget:,o3488-l01760,"Now let us Welcome Home the Conquering Fleet,",o3488-l01755,/et/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>,pers00346,o3488-w0010
met," Why cannot I the days forget,",bah18-l06405,"THE season comes when first we met,",bah18-l06395,/et/ | /et/,full,<b>a</b>b<b>a</b>bcc,pers00281,bah18-w0450
met,Such honour I shall ne'er forget.,o5157-l20235,"Here, sisters, we such honours met!",o5157-l20230,/et/ | /et/,full,<b>a</b><b>a</b>,pers00114,o5157-w0300
wit,Can she the Lesbian vine forget,o5157-l20310,Whence Horace reinforc'd his wit?,o5157-l20315,/et/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00114,o5157-w0300
set,"Scenes, if in stupor I forget,",cbu86-l12185,Oh! scenes in strong remembrance set! ,cbu86-l12175,/et/ | /et/,full,<b>a</b>b<b>a</b>bcdcd,pers00307,cbu86-w0160
debt," Which the great Patron only would forget,",pmp18-l16410," Ne'er cease to mention the continu'd Debt,",pmp18-l16405,/et/ | /et/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w0550
