r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
heaven,And almost hop'd — by Prudes to be forgiven.,o5155-l36505,"Veil'd in some convent made her peace with heaven,",o5155-l36500,/ɪvn/ | /evn/,half-pararhyme,<b>a</b><b>a</b>,pers00142,o5155-w0870
heaven, To testify Their Sins forgiven —,o3900-l10830, And still He makes Their Claim to Heaven! ,o3900-l10840,/ɪvn/ | /evn/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
heaven," To sue for grace, and hope to be forgiven,",pyl90-l00960," Teach me, tho' humbl'd, to look up to Heav'n,",pyl90-l00955,/ɪvn/ | /evn/,half-pararhyme,<b>a</b><b>a</b>,pers00322,pyl90-w0040
heaven," Bewail'd his error, pray'd to be forgiven,",pcm93-l00895,"The wretched father rais'd his eyes to Heaven,",pcm93-l00885,/ɪvn/ | /evn/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0010
heaven,"Should know, should feel my Sins forgiven,",o3900-l12015, Blest with this Antepast of Heaven! ,o3900-l12020,/ɪvn/ | /evn/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w0650
heaven,"Believe; and all your Guilt's forgiven,",o3900-l12195, Only Believe — and yours is Heaven. ,o3900-l12200,/ɪvn/ | /evn/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w0650
heaven," With all her sins and faults forgiven,",bjb18-l30275, A peaceful shelter find in heaven;,bjb18-l30280,/ɪvn/ | /evn/,half-pararhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0790
heaven, There still is mercy — you may be forgiv'n. ,prc90-l04145,"Reflect on this, and turn your eyes to Heav'n;",prc90-l04140,/ɪvn/ | /evn/,half-pararhyme,aa<b>b</b><b>b</b>,pers00328,prc90-w0270
heaven," Seal of my Sins in CHRIST forgiv'n,",o3900-l21830," Earnest of Love, and Pledge of Heav'n. ",o3900-l21835,/ɪvn/ | /evn/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1150
heaven," Unless my sins: O! may they be forgiv'n,",prc90-l05990, And all my happiness be plac'd in heav'n! ,prc90-l05995,/ɪvn/ | /evn/,half-pararhyme,<b>a</b><b>a</b>,pers00328,prc90-w0450
heaven,"Shall you! ye stubborn hearted, be forgiv'n? ",o4154-l00200,Can you expect a charity from Heav'n? ,o4154-l00195,/ɪvn/ | /evn/,half-pararhyme,<b>a</b><b>a</b>,pers00332,o4154-w0010
heaven," I'll glory then in Sin Forgiven,",o3900-l12600," In CHRIST my Life, my Love, my Heaven! ",o3900-l12605,/ɪvn/ | /evn/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w0680
heaven," Thy Heart has felt its Sins forgiv'n,",o3900-l24080, And tastes Anticipated Heav'n. ,o3900-l24085,/ɪvn/ | /evn/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
