r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
wake," Then arise, and our cottage forsake. ",o4985-l10935," May my fairest and I sweetly wake,",o4985-l10925,/eɪk/ | /eɪk/,full,a<b>b</b>a<b>b</b>,pers00167,o4985-w0160
take,"Nor till the summit gain'd, her paths forsake.",o5152-l25145,"Bid him the steep ascent to honor take,",o5152-l25140,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
take," Nor Europe's Hemisphere forsake,",o4739-l07100, Nor from THY NATION's pleasures take,o4739-l07105,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00284,o4739-w0240
make,"IN Life's unactive Wane your shades forsake,",oat77-l08995,And into th' World a Sally make:,oat77-l09000,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00344,oat77-w0640
wake," Oh with what Joy! my Godhead I'd forsake,",pse03-l05725," Might you for ever Sing, and I for ever Wake. ",pse03-l05730,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00272,pse03-w0270
take,And every aid should me forsake;,bed98-l20725,And food in bitterness I take:,bed98-l20735,/eɪk/ | /eɪk/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0700
lake," The fresher Streams, his native Home, forsake,",pdi22-l00925," Despise the little Brook, or standing Lake. ",pdi22-l00930,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
partake,Who then can such a friend forsake? ,ojg27-l04290,Of all his talents I partake. ,ojg27-l04285,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0170
awake," Forsake, forsake! ",bjb18-l25440," Awake, awake! ",bjb18-l25420,/eɪk/ | /eɪk/,full,aaa<b>b</b>ccc<b>b</b>,pers00287,bjb18-w0560
awake," Forsake, forsake! ",bjb18-l25480," Awake, awake",bjb18-l25460,/eɪk/ | /eɪk/,full,aaa<b>b</b>ccc<b>b</b>,pers00287,bjb18-w0560
awake," Forsake, forsake",bjb18-l25520," Awake, awake! ",bjb18-l25500,/eɪk/ | /eɪk/,full,aaa<b>b</b>ccc<b>b</b>,pers00287,bjb18-w0560
make,""" For widow's prayers, thy vanities forsake;",pcr18-l17750," ""A friend of Mammon let thy bounty make;",pcr18-l17745,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>a,pers00275,pcr18-w0040
partake,""" For widow's prayers, thy vanities forsake;",pcr18-l17750," ""And let the hungry, of thy pride partake",pcr18-l17755,/eɪk/ | /eɪk/,full,a<b>a</b><b>a</b>,pers00275,pcr18-w0040
take, Their names; thus parents shall the child forsake;,pcr18-l20585," Thus, as the months succeed, shall infants take",pcr18-l20580,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
mistake,"Oh! may their virtues ne'er their hearts forsake,",bed98-l05845,"Nor those high hopes be lost by sad mistake,",bed98-l05850,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
speak,To-morrow I these blissful meads forsake;,pcm93-l08525, Deaf to each feeble accent that I speak. ,pcm93-l08535,/eɪk/ | /iːk/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0170
make,The cooling breeze and ev'ning walk forsake,o5154-l15890,"For stifling crowds, which your own beauties make;",o5154-l15895,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00112,o5154-w0240
make," What Thou would'st follow, what Thou must forsake:",pmp18-l22135,"Now, Emma, now the last Reflection make,",pmp18-l22130,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
