r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bound, Amidst the rest a floating Cask I found,pdi12-l01500," Stopt up with artful Care, and strongly bound,",pdi12-l01505,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
bound," Like Happiness, you're no where to be found. ",pjo50-l06990, As vain it is to fix your certain bound:,pjo50-l06985,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0220
ground,"Where grace, when waited for, is found.",o5152-l18695,"Pure mount of thought! thrice holy ground,",o5152-l18690,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
atoned," But had He heard Thy Lute, He soon had found",pmp18-l00800," His Rage eluded, and his Crime atton'd:",pmp18-l00805,/aʊnd/ | /ɒnd/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0020
around," Since Health is nowhere to be found,",bsb18-l10640,But since in vain I search around —,bsb18-l10635,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
compound,What higher worth in him was found,o4987-l28560,A senseless fop! — A dull compound,o4987-l28570,/aʊnd/ | /ɒmpaʊnd/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00189,o4987-w0790
surround," Came to the lawn, and Marian there was found;",o4985-l27490, Right well she knew the apple to surround,o4985-l27500,/aʊnd/ | /aʊnd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
renowned," Came to the lawn, and Marian there was found;",o4985-l27490, With dulcet crust: and Thomalin renown'd,o4985-l27505,/aʊnd/ | /aʊnd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
ground," Came to the lawn, and Marian there was found;",o4985-l27490," He held at nought the vantage of the ground,",o4985-l27515,/aʊnd/ | /aʊnd/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
ground, In me no faults you'd found;,pma99-l00840, Those Daisies on the ground. ,pma99-l00850,/aʊnd/ | /aʊnd/,full,x<b>a</b>x<b>a</b>,pers00306,pma99-w0030
ground," There shall th' Immortal Seed be found,",o3900-l10275,"Planted in Nature's barren Ground,",o3900-l10265,/aʊnd/ | /aʊnd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
round," The heedless Virgin on a Bank they found,",o5125-l20005," Where the faint Primrose spreads her Odours round,",o5125-l20010,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>a,pers00154,o5125-w0510
ground," The heedless Virgin on a Bank they found,",o5125-l20005, And nodding Poppies seem'd to kiss the Ground. ,o5125-l20015,/aʊnd/ | /aʊnd/,full,<b>a</b>a<b>a</b>,pers00154,o5125-w0510
profound," Then rushing in, the lovely Dame he found",o5125-l20255, In fullen Posture and in Thought profound;,o5125-l20260,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
round," The frowning Portals well secur'd they found,",o5125-l20725, The gloomy Court with Centries guarded round;,o5125-l20730,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
wound," Just at his Hip the Steel an Entrance found,",o5125-l20975, And tore his Bowels with a ghastly Wound:,o5125-l20980,/aʊnd/ | /uːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
wound," Polyphon's Sword a fatal Passage found,",o5125-l21330, Beneath his Arm a deep and ghastly Wound;,o5125-l21335,/aʊnd/ | /uːnd/,half-pararhyme,<b>a</b><b>a</b>a,pers00154,o5125-w0510
ground," Polyphon's Sword a fatal Passage found,",o5125-l21330, Stagg'ring he drop'd and grasp'd the bloody Ground. ,o5125-l21340,/aʊnd/ | /aʊnd/,full,<b>a</b>a<b>a</b>,pers00154,o5125-w0510
frowned, And ever thy accustom'd morsel found;,bhw18-l16945, Which other Thrushes knew when winter frown'd. ,bhw18-l16955,/aʊnd/ | /aʊnd/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0350
round," From East to West, no sorrow can be found,",o3794-l10125, All speak her happy — let the muse look round,o3794-l10120,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
abound," Happy the man there seeking and there found,",o3794-l13245, Happy the nation where such men abound. ,o3794-l13250,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
sound,And by experience it hath been found,oae86-l02190, The word Ambition's not an empty sound. ,oae86-l02195,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
wound,"His fix'd design when fair IANTHE found,",cac95-l06255, Invountary sighs her bosom wound;,cac95-l06260,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
around," ""In every spot we've various miseries found,",cac95-l06305,""" Though transient joys are scatter'd all around. "" ",cac95-l06310,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
wound, And refuge oft near THEODORE she found;,cac95-l07700," Blushing within, each though inflicts a wound,",cac95-l07695,/aʊnd/ | /uːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
round," High swell'd his heart, his thoughts no utterance found; —",cac95-l08340," Aghast he stood, his feeble brain turn'd round,",cac95-l08335,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
wound," When in thy Looks no trace is found,",o5247-l02255,"When thy bright Eyes shall cease to wound,",o5247-l02245,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00295,o5247-w0110
round,And fears if the prognostick Raven's found,o5154-l08860, Expatiating alone along the dreary round.,o5154-l08865,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
surround,"Tho' lost to earth, in Heaven thou shalt be found,",bed98-l19840,And glories visible shall thee surround.,bed98-l19845,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0620
sound, Her startling fancy found,o5089-l11490, His groan in every sound. ,o5089-l11500,/aʊnd/ | /aʊnd/,full,x<b>a</b>x<b>a</b>,pers00180,o5089-w0140
ground,"But where can this dear soul be found,",o5156-l25260,"In garret high, or under ground?",o5156-l25265,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00083,o5156-w0720
ground,"THUS, in the Country, often have I found,",o4741-l00525," Thro' slothful Man's Neglect, a Plat of Ground,",o4741-l00530,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0010
ground," 'At length the Youth an Entrance found,",o5125-l12075,'Tho' stoutly I maintain'd my Ground;,o5125-l12080,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
ground," Whene'er a thymy bank he found,",ojg27-l05595," He roll'd upon the fragrant ground,",ojg27-l05600,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0230
sound,"In you no more let tuneful Mirth be found,",pse03-l11275," The very Spheres shall cease their wonted Sound,",pse03-l11280,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>a,pers00272,pse03-w0500
round,"In you no more let tuneful Mirth be found,",pse03-l11275, And every Orb stop its harmonious round:,pse03-l11285,/aʊnd/ | /aʊnd/,full,<b>a</b>a<b>a</b>,pers00272,pse03-w0500
wound,"That monster, which is daily found",o5157-l02515,Expert and bold thy country's peace to wound;,o5157-l02520,/aʊnd/ | /aʊnd/,full,aabbccd<b>e</b><b>e</b>d,pers00047,o5157-w0020
around, May you still be perfect found:,pjo50-l12005," And as this Day rolls around,",pjo50-l12000,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0470
ground," Sure to succeed, the remedy they found,",o3794-l23225," Go seek on revelation's hallow'd ground,",o3794-l23220,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
ground,"Sobriety perhaps may now be found,",o3794-l24760," Where once intoxication press'd the ground,",o3794-l24765,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
round,And constant at my board is found.,o5156-l16065,And endless darkness wraps me round!,o5156-l16050,/aʊnd/ | /aʊnd/,full,aa<b>b</b>cc<b>b</b>,pers00097;pers00044,o5156-w0570
ground,And spoil new worlds wherever found.,o5156-l16380,Nor spare the temple's holy ground.,o5156-l16395,/aʊnd/ | /aʊnd/,full,aa<b>b</b>cc<b>b</b>,pers00097;pers00044,o5156-w0570
wound, This water never could be found. ,bjl92-l13420, She oft was bid to bathe the wound:,bjl92-l13410,/aʊnd/ | /uːnd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0550
redound,"When ven'son and claret are not to be found,",o5157-l19410,Such censures as these to my credit redound;,o5157-l19400,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00114,o5157-w0270
abound,"A mind that grasps the whole is rarely found,",o5152-l04130,"Half learn'd, half painters, and half wits abound:",o5152-l04135,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00011,o5152-w0050
round,WHETHER STELLA's eyes are found,o4986-l28425," Fix'd on earth, or glancing round,",o4986-l28430,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00029,o4986-w0660
ground,"To Earth he posted where he quickly found,",o5125-l23730, Proper Ingredients on our fertile Ground;,o5125-l23735,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0580
ground,"SPEECH! Is that all? And, shall an actor found,",o4600-l03155, An universal fame on partial ground? ,o4600-l03160,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
abound," Whilst those, who wrought them wou'd be found",o4784-l19040,"Strange Revolutions wou'd abound,",o4784-l19030,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00268,o4784-w0600
ground," Such refuge, as the HOLY MARTYR found? ",o4110-l00610," Shall we not find, safe in that hallow'd ground,",o4110-l00605,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
bound," Are always humble, always grateful found,",o4110-l01030," Or by vast debts of higher import bound,",o4110-l01025,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
round, Was there a rival to my MAGGY found! ,o4110-l01840,O she was bonny! all the Highlands round,o4110-l01835,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
round,"Its stated seat some votive tablet found,",o5157-l05750,"On every breathing wall, on every round",o5157-l05740,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00038,o5157-w0074
sound," Death declar'd, he wou'd be found",o4784-l02445, Near the fatal Trumpet's sound;,o4784-l02450,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0060
round, Was e'er a scholar or a critic found? ,o5280-l06800,Which of the bucks that shine in Pleasure's round,o5280-l06795,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
wound,"When ev'n the flatt'rer Hope is no where found,",o5154-l24115,"'Tis hard to feel the smart, and not lament the wound.",o5154-l24120,/aʊnd/ | /uːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00106,o5154-w0380
around,"There foul Corruption's tainted steps are found,",o5156-l27155,"Where'er I cast my moist'ned eyes around,",o5156-l27145,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>bcdcdee,pers00050,o5156-w0780
round,"Tho' modes of being change, all life's immortal found.",o5156-l27840,"And search creation's ample circuit round,",o5156-l27835,/aʊnd/ | /aʊnd/,full,ababcdcd<b>e</b><b>e</b>,pers00050,o5156-w0780
round,"Ah, season of delight! — could aught be found",n22cs-l00575," And lavish cowslip, wildly scatter'd round,",n22cs-l00565,/aʊnd/ | /aʊnd/,full,ababa<b>c</b>a<b>c</b>dcdeee,pers00290,n22cs-w0080
wound,"Ah, season of delight! — could aught be found",n22cs-l00575," Of Sorrow's rankling shaft to cure the wound,",n22cs-l00585,/aʊnd/ | /uːnd/,half-pararhyme,ababaca<b>c</b>d<b>c</b>deee,pers00290,n22cs-w0080
enthroned," ""But where, ah where can glowing tints be found",o4985-l21545," "" Where Christ the lamb in radiance sits enthron'd,",o4985-l21555,/aʊnd/ | /əʊnd/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdee,pers00058,o4985-w0300
abound,"For scarce a grief or want is found,",bed98-l18910,"To many wants, you who abound!",bed98-l18900,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0550
around,"What since have all my labours found,",o5156-l02410,"Thus climbing life, to gaze around,",o5156-l02415,/aʊnd/ | /aʊnd/,full,a<b>b</b><b>b</b>a,pers00035,o5156-w0050
sound,"And to give shape to reason, wisely found;",o5157-l35925,"Who first the secret how to colour sound,",o5157-l35920,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00129,o5157-w0750
round, Pleas'd with the modern World COLUMBUS found:,o4741-l06790," From East to West he views the spacious Round,",o4741-l06785,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
bound, Th'expected Shore the Sailers quickly found;,o4741-l09115,THE British Bark was to Barbados bound:,o4741-l09110,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
ground, And the gay Prospect can no more be found. ,pse03-l08925," Yet e'er our weary'd Steps reach the long wish'd for Ground,",pse03-l08915,/aʊnd/ | /aʊnd/,full,<b>a</b>a<b>a</b>,pers00272,pse03-w0410
surround, And the gay Prospect can no more be found. ,pse03-l08925," Storms and Darkness doth surround,",pse03-l08920,/aʊnd/ | /aʊnd/,full,a<b>a</b><b>a</b>,pers00272,pse03-w0410
round, An' by the whirling rim I've found,bsb18-l25750," How the weary, weary warl goes round. ",bsb18-l25755,/aʊnd/ | /aʊnd/,full,aa<b>b</b><b>b</b>ccdd,pers00280,bsb18-w0490
crowned,"O'er all the globe no region would be found,",o5156-l22460,"With nobler soil, or brighter beauty crown'd.",o5156-l22465,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
