r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
applaud, And saint the perjurer for the pious fraud. ,o4986-l18545," All, all will vanish, while his priests applaud,",o4986-l18540,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
abroad, Serves well the purposes of private fraud. ,o3585-l00780," For Public good to bellow all abroad,",o3585-l00775,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
abroad," And, force defeated, make them Slaves by Fraud;",o3587-l02210," Beggar at home a People fear'd abroad,",o3587-l02205,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
applaud, Like injury and fraud. ,o3776-l00870," Which once you would applaud,",o3776-l00855,/ɔːd/ | /ɔːd/,full,aa<b>b</b>cc<b>b</b>,pers00047,o3776-w0030
applaud, Tho' I did yield to a fond Mothers Fraud;,o4885-l05665," Or vainly think I would thy Choice applaud,",o4885-l05660,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00300,o4885-w0010
applaud, How caution watches at the lips of fraud;,pcr18-l02650, How formal fools the farce of state applaud;,pcr18-l02645,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
overawed," Resumes her pow'rs, and spurns the clumsy fraud,",o3795-l27180," 'Till reason, now no longer overawed,",o3795-l27175,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
applaud,Tho' victory was gain'd by needful fraud.,o5152-l13415,"The world will still the noble act applaud,",o5152-l13410,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00001,o5152-w0160
abroad," Happy at home, secure from force and fraud,",o3589-l01320," And makes it great and glorious, fear'd abroad,",o3589-l01315,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
abroad," On secret Rapin bent, and Midnight Fraud;",pmp18-l40225,"Again: the lonely Fox roams far abroad,",pmp18-l40220,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
