r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
draught," Ev'n deadly nightshade, tho' with poison fraught,",o5156-l09645,At length is found a salutary draught.,o5156-l09650,/ɔːt/ | /ɑːft/,half-pararhyme,<b>a</b><b>a</b>,pers00120,o5156-w0380
ought,"Who with the warmest wishes fraught,",o5153-l22855,"Feels all, at least, that friendship ought.",o5153-l22860,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
taught,"Thro' looks and nods with meaning fraught,",o5153-l23385,To teach what she was never taught.,o5153-l23390,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
taught,"With ev'ry heav'n-born virtue amply fraught,",pro75-l01685,"By prudence, piety, and reason taught;",pro75-l01690,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00271,pro75-w0070
fought, To gain a conquest with oppressions fraught;,yfs88-l01030, The Britons' gen'rous valour never fought,yfs88-l01025,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
taught,"With false ignoble science fraught,",o5157-l02205,"By nature planted, or by fortune taught;",o5157-l02195,/ɔːt/ | /ɔːt/,full,ababcdcdeeffg<b>h</b>g<b>h</b>ikki,pers00047,o5157-w0020
sought,""" And tho' my realms, with wonders fraught,",o4984-l35415," ""Tell her, with fruitless care I've sought,",o4984-l35410,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>bccb,pers00321,o4984-w0650
taught,"Inflam'd by this, her mind was quickly fraught",o5157-l27220,"With each sage precept, that her mother taught.",o5157-l27225,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
thought," Appears to me with added terrors fraught,",bmb97-l01140,"Sleep, which was meant to chase away the thought,",bmb97-l01130,/ɔːt/ | /ɔːt/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0020
thought,With fairest springs of learning fraught;,o5153-l25160,"Pure flows the stream of copious thought,",o5153-l25150,/ɔːt/ | /ɔːt/,full,a<b>b</b>a<b>b</b>cc,pers00119,o5153-w0410
afterthought,"With fears, despair, and horrors fraught,",o5156-l32705,"Cold Penitence, lame After-thought,",o5156-l32700,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00108,o5156-w0890
thought," My aching brain now whirls, with horror fraught. ",pye85-l06420,"The past! Ah! shield me, Mercy! from that thought,",pye85-l06415,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
draught, With unseen particles of health 'tis fraught. ,pye85-l06725," More strong; then drink the odoriferous draught,",pye85-l06720,/ɔːt/ | /ɑːft/,half-pararhyme,<b>a</b><b>a</b>,pers00256,pye85-w0170
