r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sat,"Right against the eastern gate,",o4986-l11570, By the moss-grown pile he sate;,o4986-l11575,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
sat,"Right against the eastern gate,",tgaen-l09135,"By the moss-grown pile he sate,",tgaen-l09140,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
state,Flies far the limits of his modest gate.,o5152-l25320,"That insolence of wealth, the pomp of state",o5152-l25310,/eɪt/ | /eɪt/,full,<b>a</b>a<b>a</b>,pers00032,o5152-w0290
great,Flies far the limits of his modest gate.,o5152-l25320,"Which crowds the mansions of the vainly great,",o5152-l25315,/eɪt/ | /eɪt/,full,a<b>a</b><b>a</b>,pers00032,o5152-w0290
fate,"The sacred orchard which imbowers his gate,",o5157-l02595,"Where Candish, Booth, and Osborne fate;",o5157-l02605,/eɪt/ | /eɪt/,full,ababcdcdeeffg<b>h</b>g<b>h</b>ikki,pers00047,o5157-w0020
late,Drives the night villain from the lonely gate.,o5157-l26785,Its only guard; no revel sounding late,o5157-l26780,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
estate,"Hech man! dear sirs! is that the gate,",cbu86-l00875, They waste fae mony a braw estate! ,cbu86-l00880,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00307,cbu86-w0010
hate," Then rush'd Suspicion through the lofty Gate,",o5125-l15580, With heart-sick Loathing led by ghastly Hate;,o5125-l15585,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00154,o5125-w0400
late, The lover loiter'd at the master's gate;,pcr18-l13770," Thus pass'd th' allotted hours, till lingering late,",pcr18-l13765,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
state,"In piteous plight he knock'd at George's gate,",pcr18-l19520," And begg'd for aid, as he described his state: —",pcr18-l19525,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
state, And look like porters at the flowery gate;,bsb18-l09310," Some taller seem, and stalk with greater state,",bsb18-l09305,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
elate," Nor e'er reflects on bars, or keys, or gate. ",pma99-l07670," His liberty he hugs, with joy elate,",pma99-l07660,/eɪt/ | /eɪt/,full,<b>a</b>a<b>a</b>,pers00306,pma99-w0370
state," Nor e'er reflects on bars, or keys, or gate. ",pma99-l07670," He for a while forgets his fervile state,",pma99-l07665,/eɪt/ | /eɪt/,full,a<b>a</b><b>a</b>,pers00306,pma99-w0370
late," The porter hears, but won't unbar the gate;",pma99-l07710, But cries in vain — for ah! 'tis all too late;,pma99-l07705,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00306,pma99-w0370
state," The huge port-cullis creaking o'er the gate,",pmt18-l09545, Where dark Disfida held her gloomy state:,pmt18-l09535,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
sat, In Heavenly Diamond: And for every Gate,o4672-l16740, Beauty and Strength on the tall Bulwarks Sate,o4672-l16735,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00292,o4672-w0680
state, For Bounce can keep his House and Gate. ,o3665-l00180," My Master wants no Key of State,",o3665-l00175,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
fate, Where an old Father met her at the Gate:,o5125-l17470," 'Twas a low Cottage, humble as their Fate,",o5125-l17465,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00154,o5125-w0470
late," To find thy Father's Hospitable Gate,",pmp18-l21690," (Tho' then, alas! that Tryal be too late)",pmp18-l21685,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w0720
sat," To find thy Father's Hospitable Gate,",pmp18-l21690," And Seats, where Ease and Plenty brooding sate? ",pmp18-l21695,/eɪt/ | /eɪt/,full,a<b>a</b><b>a</b>,pers00314,pmp18-w0720
fate," Yet with ill-boding fears she past the gate,",pmt18-l08260, She knows not half the horrors of her fate:,pmt18-l08250,/eɪt/ | /eɪt/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0022
state," Yet with ill-boding fears she past the gate,",pmt18-l08260, And turned with sickening dread from scenes of gorgeous state. ,pmt18-l08265,/eɪt/ | /eɪt/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0022
state,Whose peaceful path and ever open gate,o5153-l08875,"Beyond the bounds of this imperfect state,",o5153-l08850,/eɪt/ | /eɪt/,full,ababccdedfe<b>g</b>hhgd<b>g</b>fii,pers00030,o5153-w0290
