r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
wear,"Then each did don in seemlie gear,",o4198-l03045," What armour eche beseem'd to wear,",o4198-l03050,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>bbbacc,pers00288,o4198-w0160
spear,"Then each did don in seemlie gear,",o4198-l03045, With manie a tassild spear;,o4198-l03070,/ɪə/ | /ɪə/,full,<b>a</b>abbb<b>a</b>cc,pers00288,o4198-w0160
swear," He'll apprehend them, poind their gear;",cbu86-l00510," He'll stamp an' threaten, curse an' swear,",cbu86-l00505,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00307,cbu86-w0010
dear, As she footed the floor in her holy-day gear! ,bjb18-l26330," And linked in my hand was the maiden sae dear,",bjb18-l26325,/ɪə/ | /ɪə/,full,aa<b>b</b><b>b</b>cc,pers00287,bjb18-w0610
severe,"Oh gracious God, of what thin flimsy gear",o5089-l03240," Is some men's conscience? —Hold, you're too severe —",o5089-l03245.2,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
dear, I hae been joyfu' gath'rin gear;,cbu86-l17945,I hae been blythe wi' Comrades dear;,cbu86-l17935,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>bcdcd,pers00307,cbu86-w0310
appear,"And don more graceful and more costly gear,",o5155-l13130,And in a samite garment streit appear.,o5155-l13140,/ɪə/ | /ɪə/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o5155-w0200
dear,"And don more graceful and more costly gear,",o5155-l13130,"Farewell, ye groves, which once I held so dear;",o5155-l13145,/ɪə/ | /ɪə/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o5155-w0200
revere,"And don more graceful and more costly gear,",o5155-l13130,"Then shall the world your matchless pow'r revere,",o5155-l13155,/ɪə/ | /ɪə/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o5155-w0200
tear,"It's no the loss o' warl's gear,",cbu86-l05080," That could sae bitter draw the tear,",cbu86-l05085,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0070
wear,"It's no the loss o' warl's gear,",cbu86-l05080," Or make our Bardie, dowie, wear",cbu86-l05090,/ɪə/ | /eə/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0070
dear,"It's no the loss o' warl's gear,",cbu86-l05080," He's lost a friend and neebor dear,",cbu86-l05100,/ɪə/ | /ɪə/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0070
seer," That, flaunting thus in woman's gear,",bjb18-l14940," ""Nay, weep not, kind though hapless Seer;",bjb18-l14930,/ɪə/ | /iːə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0270
year, As muckle of our current gear,o5089-l34935, As may maintain him thro' the year;,o5089-l34940,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00182,o5089-w0740
here," ""Or softly stealing, with your watry Gear,",o3818-l00810,""" Some Zest for Ease, 'tis not forbidden here. ",o3818-l00795,/ɪə/ | /ɪə/,full,a<b>b</b>ab<b>b</b>cbcc,pers00020,o3818-w0010
year," ""Or softly stealing, with your watry Gear,",o3818-l00810,""" Or tend the Blooms, and deck the vernal Year;",o3818-l00805,/ɪə/ | /ɪə/,full,aba<b>b</b><b>b</b>cbcc,pers00020,o3818-w0010
hear," ""Or softly stealing, with your watry Gear,",o3818-l00810," ""You may delude: The whilst, amus'd, you hear",o3818-l00820,/ɪə/ | /ɪə/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
fire," Tho' we hae little gear,",cbu86-l11135, As lang's we're hale and fier:,cbu86-l11145,/ɪə/ | /iːr/,half-pararhyme,aabccbd<b>e</b>d<b>e</b>xfxf,pers00307,cbu86-w0150
dear," And brace ye bravely up in warlike gear,",bjb18-l25545, For all that ye hold dear;,bjb18-l25550,/ɪə/ | /ɪə/,full,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0570
nine-an'-twenty-year," Tho' it was sma', 'twas weel-won gear,",cbu86-l09395,"It's now some nine-an'-twenty-year,",cbu86-l09375,/ɪə/ | /iə/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0120
mere," Tho' it was sma', 'twas weel-won gear,",cbu86-l09395, Sin' thou was my Guidfather's Meere;,cbu86-l09380,/ɪə/ | /iə/,half-pararhyme,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0120
clear," Tho' it was sma', 'twas weel-won gear,",cbu86-l09395," He gied me thee, o' tocher clear,",cbu86-l09385,/ɪə/ | /ɪə/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0120
swear,"My Sandy has na muckle gear,",bsb18-l29670," He's aye sae canty, ye wad swear",bsb18-l29680,/ɪə/ | /eə/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00280,bsb18-w0670
peer, (Where damsels doff their gentle gear,bjb18-l19985, But from the loftier chambers peer,bjb18-l19980,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
appear, With all her household gear. ,o4984-l15940, Eke wondrous may appear;,o4984-l15925,/ɪə/ | /ɪə/,full,aa<b>b</b>cc<b>b</b>,pers00228,o4984-w0240
