r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
stream,"Exults in arms, which cast an iron gleam.",tgaen-l11055,With new-born heat amidst his native stream,tgaen-l11050,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra9
beam, Save where the worm's fantastic gleam,o4987-l28350,Throughout the earth no chearful beam,o4987-l28340,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00189,o4987-w0790
dream,Methought a bright celestial gleam,o4984-l35685,But see — or is it Fancy's dream? ,o4984-l35680,/iːm/ | /iːm/,full,<b>a</b><b>a</b>bccb,pers00226,o4984-w0660
stream," And bright the sparkling waters gleam,",bjb18-l05200," And rushes rustle by the stream,",bjb18-l05205,/iːm/ | /iːm/,full,aa<b>b</b><b>b</b>cc,pers00287,bjb18-w0040
dream," And, when my eyes beheld Sol's radiant gleam,",bsb18-l13565, The vision vanish'd — lo! 'twas all a dream. ,bsb18-l13570,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0180
beam," Now sheds, by stealth; a partial private gleam,",o4984-l23375," Learning, that once to all diffus'd her beam,",o4984-l23370,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00051,o4984-w0430
beam, And groves and floods reflect the milder gleam:,o4985-l10315," What time the moon displays her silver beam,",o4985-l10310,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
dream," Supinely basking in the transient gleam,",bjl92-l04620,Ah! what is happiness? an airy dream:,bjl92-l04610,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0160
stream, He spreads his plumage to the sunny gleam:,o3555-l03370," On India's painted shore, by Ganges' stream,",o3555-l03365,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
beam," The flower exulting caught the gleam,",o4987-l19140,Fierce on the flower the scorching beam,o4987-l19130,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00178,o4987-w0610
beam," No Sun was there, nor scarce a dawning Gleam,",o5125-l18195," No twinkling Stars, nor Cynthia's silver Beam. ",o5125-l18200,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00154,o5125-w0490
dream, And livid lightnings in the welkin gleam! ,o4985-l18215," And inarticulate voice, as in a dream,",o4985-l18205,/iːm/ | /iːm/,full,a<b>b</b>a<b>b</b>,pers00217,o4985-w0280
stream,"""From which, ere long, of golden gleam",o5155-l28060,"""Metheglin's luscious juice shall stream:",o5155-l28065,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00053,o5155-w0500
stream,Betrayed a golden gleam.,tgaen-l04640,The genii of the stream:,tgaen-l04625,/iːm/ | /iːm/,full,aa<b>b</b>cc<b>b</b>,pers00039,tgaen-wodfc
stream, And pale from the rock the long icicles gleam;,bjb18-l29330,"ALL white hang the bushes o'er Elaw's sweet stream,",bjb18-l29325,/iːm/ | /iːm/,full,<b>a</b><b>a</b>bb,pers00287,bjb18-w0730
seem," Which, like the moonlight, dart a gleam",bsb18-l17185,"Her chariot wheels of topaz, seem",bsb18-l17175,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0220
dim," Where tapers shed a quiv'ring gleam,",o3462-l02610,Beyond — all open — silent — dim —,o3462-l02600,/iːm/ | /ɪm/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00299,o3462-w0010
stream," Dark ages make with light reverted gleam,",o5137-l01220,A ROBERTSON shall bid the copious stream,o5137-l01210,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00284,o5137-w0010
theme,NO more I hail the morning's golden gleam;,o4039-l01700, Friendship requires a melancholy theme;,o4039-l01710,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00288,o4039-w0090
stream,"The swelling dome's imperial gleam,",o5157-l04035,And tremble in thy golden stream?,o5157-l04045,/iːm/ | /iːm/,full,a<b>b</b>a<b>b</b>cdcdeeffgghihikklmml,pers00038,o5157-w0060
stream,"When lo! from opening clouds, a golden gleam",o4984-l23560, Pour'd sudden splendors o'er the shadowy stream;,o4984-l23565,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
beam," Now sheds, by stealth, a partial private gleam,",o5089-l35550," Learning, that once to all diffus'd her beam,",o5089-l35545,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00051,o5089-w0750
stream, His shining Horns diffus'd a golden Gleam:,o3704-l01665,"His Tresses dropt with Dews, and o'er the Stream",o3704-l01660,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
beam,Tip for her each starry gleam,pcm93-l10890, Bidding your effulgence beam,pcm93-l10900,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00284,pcm93-w0290
stream, Is vanish'd each delightful gleam. ,bjl92-l02695, Than Eckles' gently winding stream? ,bjl92-l02705,/iːm/ | /iːm/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0110
stream, On every coast her vengeful lightnings gleam! ,o4984-l26645,"See, from her ports a thousand banners stream,",o4984-l26640,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00053,o4984-w0470
beam,On my sorrowing heart shall gleam?,bed98-l16055,Cynthia lends her placid beam;,bed98-l16045,/iːm/ | /iːm/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0420
stream,"Gay daffodils, bent o'er the watery gleam,",bjb18-l12450, Doubling their flickered image in the stream;,bjb18-l12455,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0240
beam," And on the pale flower gleam,",o4668-l00360, With love and pity beam. ,o4668-l00370,/iːm/ | /iːm/,full,a<b>b</b>a<b>b</b>,pers00276,o4668-w0010
dream," Across my mind with hasty transit gleam,",bjb18-l21340, Like fleeting shadows of a feverish dream:,bjb18-l21345,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0480
stream,"Cold from each point cerulean lustres gleam,",o4671-l01815, Or shoot in air the scintillating stream. ,o4671-l01820,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
beam,Whence sparry forms in dusky caverns gleam,o4671-l03605," With borrow'd light, and twice refract the beam;",o4671-l03610,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
stream, Night's shadowy forms along the margin gleam,o4671-l07665," With pointed ears, or dance upon the stream;",o4671-l07670,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
dream, Could They but have a short and transient gleam,o4002-l02415," Of LIBERTY, tho' 'twas but in a dream,",o4002-l02420,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
beam," Or by some Flood all silver'd with the Gleam,",o3818-l00915, In silent Ease: as when beneath the Beam,o3818-l00905,/iːm/ | /iːm/,full,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
stream," Or by some Flood all silver'd with the Gleam,",o3818-l00915, The soft-embodied Fays through airy Portal stream. ,o3818-l00920,/iːm/ | /iːm/,full,ababbcb<b>c</b><b>c</b>,pers00020,o3818-w0010
theme, As by the pale moon's glimmering gleam,o4987-l30520, He mus'd his melancholy theme:,o4987-l30525,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00053,o4987-w0840
theme," One ray emitted from thy golden gleam,",o4739-l03725,TO THEE a Stranger dares address his theme! ,o4739-l03715,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00286,o4739-w0160
seem," That o'er the darkness threw its instant gleam,",bhw18-l07555," ""Now, those lost pleasures trac'd by mem'ry, seem",bhw18-l07545,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0040
stream,"Forsakes the sun's unwelcome gleam,",o5155-l38360,To lurk within this humble stream.,o5155-l38365,/iːm/ | /iːm/,full,aa<b>b</b><b>b</b>,pers00035,o5155-w0941
esteem," Nor Bigotry, nor Envy's sullen gleam",bse96-l00860," Which most shou'd win the other's dear esteem,",bse96-l00870,/iːm/ | /iːm/,full,a<b>b</b>a<b>b</b>cc,pers00282,bse96-w0010
dream," ""And save that one sad star that hour must gleam",pcr18-l21115,""" On our fair child, how glorious were my dream! "" ",pcr18-l21120,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0050
beam, On chiselled forms and graven pavements gleam! ,bjb18-l30040," While storied windows with deep tinctured beam,",bjb18-l30035,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0780
beam," That danger lurks in every gleam,",bao18-l05615,Than they who see blue lightnings beam,bao18-l05605,/iːm/ | /iːm/,full,aaab<b>c</b>c<b>c</b>b,pers00279,bao18-w0210
seem," That danger lurks in every gleam,",bao18-l05615," Can ere forget, though fair they seem,",bao18-l05610,/iːm/ | /iːm/,full,aaabc<b>c</b><b>c</b>b,pers00279,bao18-w0210
team, Along the glitt'ring snow a feeble gleam,o5398-l06420,"He starts, and ever thoughtful of his team,",o5398-l06415,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
dream, What time the lamp's unsteady gleam,bjb18-l16500," Hath roused him from his moody dream,",bjb18-l16505,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0320
scream,"Bright on my harp the meteors gleam,",bah18-l00035," Now the winds howl, the night birds scream,",bah18-l00045,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>bcc,pers00281,bah18-w0010
supreme, Rolls with the planets round the solar gleam;,o4039-l03835," Impell'd the forcive air, our earth supreme,",o4039-l03830,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00288,o4039-w0170
