r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tide," Disdaining down the golden stream to glide,",o4986-l16880, But bravely stemm'd Corruption's rapid tide;,o4986-l16885,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
tide," Teach me between the two Extremes to glide,",o5125-l13540, Not brave the Stream nor swim with ev'ry Tide:,o5125-l13545,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0370
tide,"Fearless in long excursion loves to glide,",tgaen-l00810,And sports and wantons o'er the frozen tide;,tgaen-l00815,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
side," Creep gently along in meanders, and glide",o4985-l10970,"Be this spot on a hill, and a spring from its side",o4985-l10960,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00167,o4985-w0160
beside,In fashion's stream how many glide?,o5153-l23550,"Rich with this gift and none beside,",o5153-l23545,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
pride, The lucid pearls of pity glide,o4546-l00615,Augusta's theatres! — with pride,o4546-l00605,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>bccddee,pers00304,o4546-w0010
suicide," The faithful friend, with fault'ring step shall glide,",n22cs-l01770, And sigh o'er the unhappy suicide! ,n22cs-l01780,/aɪd/ | /uːɪsaɪd/,half-vowelrhyme,ababc<b>d</b>c<b>d</b>efefgg,pers00290,n22cs-w0240
pride, Or see the limpid Waters glide;,pba35-l06430," Behold the Meadow's painted Pride,",pba35-l06425,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0470
tide," And as thy waves in slow succession glide,",o5280-l04870," To mix with Ocean's undistinguish'd tide,",o5280-l04875,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
side, O soft insinuating glide,o4984-l04050," Silent along the meadow's side,",o4984-l04055,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
slide, That from his Life inspiring Portals glide;,oar96-l06420," Quite through my Soul the charming Accents slide,",oar96-l06415,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00265,oar96-w0260
tide," I, o'er the British channel glide;",o4739-l07305,"Thou'lt skim th' Egean's brilliant tide,",o4739-l07300,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00284,o4739-w0240
side,"Where Leddon's gentle waters glide,",o5155-l31390,And flocks adorn its flowery side.,o5155-l31395,/aɪd/ | /aɪd/,full,aa<b>b</b><b>b</b>,pers00057,o5155-w0641
beautified,"Fast by a fount, whose spicy waters glide",o4985-l21035," With blushing flowers all goodly beautify'd,",o4985-l21045,/aɪd/ | /uːtɪfaɪd/,half-vowelrhyme,<b>a</b>b<b>a</b>bcdcdee,pers00058,o4985-w0300
side, See how his waves in still attention glide! ,o4987-l21625,"Returning now to Thames's flowery side,",o4987-l21620,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
tide,"O may her life's clear current smoothly glide,",o4987-l21760, Unruffled by misfortune's boisterous tide! ,o4987-l21765,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
side,"The radiant waves of nectar glide,",o5154-l27650,"Fast by the stream's impurpled side,",o5154-l27640,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>cc,pers00052,o5154-w0450
