r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
doom, And sought La Trappe's impervious gloom. ,o4091-l23590, Nor stay'd till they had seal'd my doom:,o4091-l23580,/uːm/ | /uːm/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
doom,"Wrapp'd in the solitary gloom,",o4987-l28460," Resign'd, I'll wait my final doom,",o4987-l28470,/uːm/ | /uːm/,full,<b>a</b>b<b>a</b>b,pers00189,o4987-w0790
tomb, While Faith's consoling voice endears the friendly gloom. ,n22cs-l03555," The mournful path approaching to the tomb,",n22cs-l03550,/uːm/ | /uːm/,full,ababcdcdefef<b>g</b><b>g</b>,pers00290,n22cs-w0480
tomb," Shall weeping Fancy leave, and thro' the gloom",o4986-l32850, And bend her pensive head o'er LAURA's tomb. ,o4986-l32860,/uːm/ | /uːm/,full,x<b>a</b>x<b>a</b>,pers00200,o4986-w0860
room, Perpetual Coldness and eternal Gloom:,o5125-l20130," His Beams ne'er enter'd here, but in the Room",o5125-l20125,/uːm/ | /uːm/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
bloom, And gave the forest deeper gloom;,bjb18-l04745,"Ye lightened up the valley's bloom,",bjb18-l04740,/uːm/ | /uːm/,full,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
room,"He woos ye not in woodland gloom,",bjb18-l04830," But in the close and shelfed room,",bjb18-l04835,/uːm/ | /uːm/,full,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
come,"No hasty lightning breaks my gloom,",bjb18-l04980," Nor flashing thoughts unsought for come,",bjb18-l04985,/uːm/ | /ʌm/,half-pararhyme,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
tomb," And think these walls conceal despairing gloom,",pik94-l03105," Wrong-judging world! that deem these cells the tomb,",pik94-l03100,/uːm/ | /uːm/,full,<b>a</b><b>a</b>,pers00327,pik94-w0120
doom, She is sublime. — She seems a curtained gloom,bjb18-l11830," Connecting heaven and earth, — a threat'ning sign of doom. ",bjb18-l11835,/uːm/ | /uːm/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0220
