r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tory,"And now arriv'd at his meridian glory,",o5154-l20470,"He sinks apace, despis'd by Whig and Tory;",o5154-l20475,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
storey,"But, ah! for thee, I follow glory,",bah18-l05895," And when my comrades tell my story,",bah18-l05905,/ɔːri/ | /ɔːri/,full,<b>a</b>b<b>a</b>b,pers00281,bah18-w0370
storey," ""And noble army of martyrs, crown'd with glory;",o4985-l21625," ""What bliss to hear the high mysterious story;",o4985-l21615,/ɔːri/ | /ɔːri/,full,abab<b>c</b>d<b>c</b>dee,pers00058,o4985-w0300
gory,Sun of Heaven! — array'd in glory! —,n27tc-l05310,Shall the hand with murther gory,n27tc-l05300,/ɔːri/ | /ɔːri/,full,<b>a</b>b<b>a</b>b,pers00316,n27tc-w0030
storey, How Marlbro' won immortal Glory;,pba35-l08110," Ev'n now, perhaps, attend the Story,",pba35-l08105,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00087,pba35-w0580
storey,From You may he copy to wear it with Glory;,pba35-l13830," Like You, in Return — be honour'd in Story. ",pba35-l13835,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00087,pba35-w1030
tory,"Tho' in your Principles you glory,",pba35-l05415, The Muses are nor Whig nor Tory:,pba35-l05420,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00087,pba35-w0370
storey,"While sits on ruin'd cities, war's wide-wasting glory,",o5157-l30285,And sighs; unfinish'd leaving half her ample story.,o5157-l30295,/ɔːri/ | /ɔːri/,full,aabbccdeeeff<b>g</b>d<b>g</b>,pers00057,o5157-w0540
storey, And drop the curtain o'er all human glory. ,o3555-l08005," Eternal night shall veil their proudest story,",o3555-l08000,/ɔːri/ | /ɔːri/,full,aabb<b>c</b><b>c</b>,pers00149,o3555-w0260
storey,"Britons, 'twere greatly for your Glory,",pba35-l08915," Should those, who shall transmit your Story,",pba35-l08920,/ɔːri/ | /ɔːri/,full,aabb<b>c</b><b>c</b>dd,pers00087,pba35-w0650
storey," You, who now have purchas'd glory,",o5089-l18705,"Heed, oh heed, our fatal story,",o5089-l18695,/ɔːri/ | /ɔːri/,full,<b>a</b>b<b>a</b>bcdcd,pers00173,o5089-w0360
storey,"Unrepining at thy glory,",o5089-l18895," But remember our sad story,",o5089-l18905,/ɔːri/ | /ɔːri/,full,<b>a</b>b<b>a</b>bcdcd,pers00173,o5089-w0360
storey,"Full of triumphs, full of glory.",o5155-l31055,With records thy life's great story;,o5155-l31045,/ɔːri/ | /ɔːri/,full,a<b>b</b>a<b>b</b>,pers00013,o5155-w0630
storey,A martyr to our sex's glory!,o5156-l35125,His PAMELA'S enchanting story!,o5156-l35115,/ɔːri/ | /ɔːri/,full,x<b>a</b>x<b>a</b>,pers00077,o5156-w1080
storey,"Another instance of my glory,",o5156-l13530,"Who live above you twice two story,",o5156-l13535,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00026,o5156-w0510
storey, And France in Secret own his Glory. ,pmp18-l06200, May join to finish William's Story:,pmp18-l06190,/ɔːri/ | /ɔːri/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0220
storey," ""Nor let vain Wit's deceitful glory",o4986-l12900," ""What Genius lives renown'd in story,",o4986-l12910,/ɔːri/ | /ɔːri/,full,<b>a</b>b<b>a</b>b,pers00054,o4986-w0310
storey," Than thou, attir'd in humble glory,",bmb97-l03430," Ne'er a victor fam'd in story,",bmb97-l03420,/ɔːri/ | /ɔːri/,full,abab<b>c</b>d<b>c</b>d,pers00315,bmb97-w0070
storey," How they serv'd the LORD of Glory,",o5454-l04380,"Yet to read the shameful Story,",o5454-l04370,/ɔːri/ | /ɔːri/,full,<b>a</b>b<b>a</b>b,pers00292,o5454-w0410
storey," On the paternal knee, in glory,",bjb18-l15920, Rehearsing there thy mimic story —,bjb18-l15925,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0310
storey, Must own the tongue was ever Woman's glory. —,o4986-l08725,"Those, who turn o'er the page of ancient story,",o4986-l08720,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00236,o4986-w0190
tory," And Solomon, in all his glory,",o4899-l01115, Took vast delight in rory tory;,o4899-l01120,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
storey, Fell down and worshipp'd his own glory:,o4899-l07675," And, when he'd done, so says the story,",o4899-l07670,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
storey," Grinning and roaring in their glory,",bjb18-l19690," Like Bacchants wild of ancient story,",bjb18-l19695,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
storey,"When marriage was in all its glory,",o5155-l31590,"So poets, madam, tell the story,",o5155-l31595,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00057,o5155-w0650
storey," This hive, when at it's highest pitch of glory,",pma99-l01790,"But now no further to dilate my story,",pma99-l01785,/ɔːri/ | /ɔːri/,full,<b>a</b><b>a</b>,pers00306,pma99-w0080
