r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
soul,"Her rod ay-pointing to th' eternal goal,",o5153-l32175,From the brute earth she frees the ardent soul;,o5153-l32180,/əʊl/ | /əʊl/,full,ababcdcdeeffgghh<b>i</b><b>i</b>kk,pers00040,o5153-w0590
roll,"Those Spirits started from some Goal,",pmp18-l31355, Before they thro' the Veins cou'd roll. ,pmp18-l31360,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
soul," When his full heart expanded to the goal,",pjo50-l03250," And promis'd victory had flush'd his soul,",pjo50-l03255,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
soul," Sought, with exulting hope, her heavenly goal: —",bhw18-l06250,"Now faint with virtue's toil, LAS CASAS' soul",bhw18-l06245,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
soul,"Springs ardent to the distant goal,",o5153-l25295,"Thy gen'rous, free, and active soul,",o5153-l25285,/əʊl/ | /əʊl/,full,<b>a</b>b<b>a</b>b,pers00119,o5153-w0420
soul,"Trac'd blushing nature to her inmost goal,",o5153-l28640,"Shou'd some MACHAON, whose sagacious soul",o5153-l28635,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
pole," And gave the universe his goal,",psm63-l01105," Which bless'd the world upon his pole,",psm63-l01100,/əʊl/ | /əʊl/,full,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
roll,"From th' eastern barriers to the western goal,",o5152-l08475,"Does o'er earth's habitable regions roll,",o5152-l08470,/əʊl/ | /əʊl/,full,a<b>b</b><b>b</b>aacddc,pers00007,o5152-w0100
soul," Taught every wish its destin'd goal,",o4985-l37125," Fix'd every movement of the soul,",o4985-l37120,/əʊl/ | /əʊl/,full,aab<b>c</b><b>c</b>b,pers00038,o4985-w0580
poll," But she will love thee, even when life's last goal",bjb18-l13540," Thou'st reached, and call thee still her Pretty Poll. ",bjb18-l13545,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0250
pole, To the bleak north's extremest goal; —,o4103-l03055, And shake thy native pole! —,o4103-l03070,/əʊl/ | /əʊl/,full,ababcc<b>d</b>ee<b>d</b>,pers00254,o4103-w0150
control," Gives him Olympic speed, and shoots him to the goal. ",o3794-l01595,"No. His high mettle under good controul,",o3794-l01590,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
roll," An eye like his to catch the distant goal,",o3794-l03605," Or e'er the wheels of verse begin to roll,",o3794-l03610,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
whole," Touches some wheel, or verges to some gole;",o3676-l00295," 'Tis but a part we see, and not a whole. ",o3676-l00300,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
whole, Each Individual seeks a sev'ral goal:,o3676-l02575," But HEAV'N'S great view is One, and that the WHOLE:",o3676-l02580,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
soul,"For him alone, Hope leads from gole to gole,",o3676-l06055," And opens still, and opens, on his Soul,",o3676-l06060,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
pole, Who sooner reach'd the distant Goal? ,o4898-l00720, When May-Day Garlands deck'd the Pole? ,o4898-l00710,/əʊl/ | /əʊl/,full,a<b>b</b>a<b>b</b>,pers00330,o4898-w0020
rail,"You cannot miss preferment, or a goal.",o5152-l31850,"Write panegyrick strong, or boldly rail,",o5152-l31845,/əʊl/ | /eɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00143,o5152-w0330
pole," ""Philip, reflect, thou'rt posting to the goal,",o4984-l12865," ""Tho' glory spread thy name from pole to pole;",o4984-l12855,/əʊl/ | /əʊl/,full,<b>a</b>b<b>a</b>b,pers00168,o4984-w0190
soul,"Starting in Honour's race, and stretching to the goal.",o5156-l12135,"T' other of eager and impetuous soul,",o5156-l12130,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00028,o5156-w0470
soul, Now we're stretching for the Goal;,o3364-l07570, Up to Heav'n to drive my Soul. ,o3364-l07580,/əʊl/ | /əʊl/,full,a<b>b</b>a<b>b</b>,pers00205,o3364-w0010
soul, Calm as the slumbering infant: from the goal,o4984-l02815, Free and unbounded flies the disembodied soul. ,o4984-l02820,/əʊl/ | /əʊl/,full,ababcdcdefef<b>g</b><b>g</b>,pers00221,o4984-w0020
soul," Since Time first started from his pristin Goal,",pmp18-l50680," 'Till He had reach'd that Hour, wherein my Soul",pmp18-l50685,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
soul, Let us seek awhile the goal,bhw18-l16750, Where affection rests her soul! ,bhw18-l16755,/əʊl/ | /əʊl/,full,aa<b>b</b><b>b</b>,pers00276,bhw18-w0340
soul,Let youthful ardour pant to reach the goal! ,o4267-l00130, Or fierce Ambition only fire the soul. ,o4267-l00140,/əʊl/ | /əʊl/,full,a<b>b</b>a<b>b</b>,pers00331,o4267-w0010
