r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
band," And knew your forms benignly grand, —",bjb18-l04690, An awful but a lovely band;,bjb18-l04695,/ænd/ | /ænd/,full,aa<b>b</b><b>b</b>cc,pers00287,bjb18-w0040
stand, From arches wide and grand;,bjb18-l24745, He took his fearful stand. ,bjb18-l24755,/ænd/ | /ænd/,full,x<b>a</b>x<b>a</b>,pers00287,bjb18-w0550
hand,"The powerful billows, huge and grand,",bjb18-l31995, More powerful is the powerful hand,bjb18-l32005,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0930
land, A lustre grand;,cbu86-l07205, A well-known Land. ,cbu86-l07215,/ænd/ | /ænd/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0100
hand," (The Fair, the Rich, the Awful, and the Grand)",o4984-l29825,These grateful share the gift of Nature's hand;,o4984-l29815,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>b,pers00250,o4984-w0510
planned,Pious — magnificent and grand;,psm63-l00185, 'Twas he the famous temple plan'd:,psm63-l00190,/ænd/ | /eɪnd/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00254,psm63-w0010
bland,"But tho' not sweet, the scen'ry will be grand! ",o5137-l01490, That roar when rigid winds become more bland —,o5137-l01500,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>b,pers00284,o5137-w0010
land,"There no more, in tourneys grand;",pcm93-l11010, Or dispute from foreign land,pcm93-l11020,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>b,pers00284,pcm93-w0290
land," Adorned with forests, hills and mountains grand,",bjb18-l17425,"A vasty temple, paved with sea and land,",bjb18-l17420,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0410
land," Where mountain peaks, and forests grand,",bjb18-l31800,"And also on the checkered land,",bjb18-l31795,/ænd/ | /ænd/,full,<b>a</b><b>a</b>bccb,pers00287,bjb18-w0910
stand,"In this thy Temple, fair and grand,",bjb18-l30185," Doth thine adoring creature stand,",bjb18-l30190,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0780
hand, In grace attempered majesty sublimely grand. ,pmt18-l02195," The high ranged columns own no mortal hand,",pmt18-l02180,/ænd/ | /ænd/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0020
stand, In grace attempered majesty sublimely grand. ,pmt18-l02195,Like polished snow the marble pillars stand,pmt18-l02190,/ænd/ | /ænd/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0020
bland," His pencil was striking, resistless and grand,",o5346-l06730," His manners were gentle, complying and bland;",o5346-l06735,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00174,o5346-w0060
land," Thy sky coped temple wide and grand,",bjb18-l31450,On earth's vast space of sea and land —,bjb18-l31445,/ænd/ | /ænd/,full,aa<b>b</b><b>b</b>ccdd,pers00287,bjb18-w0890
