r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tones, Nature design'd affliction's groans. ,o4546-l00240,Hark how he sweeps the strings! — such tones,o4546-l00235,/əʊnz/ | /əʊnz/,full,ababcc<b>d</b><b>d</b>ee,pers00304,o4546-w0010
sons," And boast while Freedom bleeds, and Virtue groans,",o4984-l23430," That ""Isis taught rebellion to her sons."" ",o4984-l23435,/əʊnz/ | /ʌnz/,half-pararhyme,<b>a</b><b>a</b>,pers00051,o4984-w0430
moans, And fetches from her Breast melodious Groans. ,sap09-l02835,"She droops, she hangs her flagging Wings, she moans,",sap09-l02830,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
stones, But when unpack'd your disappointment groans,o3794-l22270," To find it stuff'd with brickbats, earth and stones. ",o3794-l22275,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
moans, Answ'ring their tuneful Songs with piercing Groans. ,o4741-l07240," While, stretch'd upon the Ground, AVARO moans,",o4741-l07235,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
moans, The Rocks around her echo to her Groans:,o4741-l09470," While, as she walks, her dismal Fate she moans,",o4741-l09465,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
owns," ""Though nature heaves these parting groans,",bhw18-l09845," Yet one dear care my heart still owns,",bhw18-l09855,/əʊnz/ | /əʊnz/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0080
atones,The Triumph of his Groans! ,o4672-l00570, The dying Son atones;,o4672-l00560,/əʊnz/ | /əʊnz/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0030
once, This the Purchase of his Groans! ,o3900-l12315,This the Soul he died for once! ,o3900-l12320,/əʊnz/ | /ʌns/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w0660
tones, Swell'd the full cadence of the grief by groans. ,pcr18-l18805," While the meek father, listening to their tones,",pcr18-l18800,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
stones,"Passion methinks should rise from all my Groans,",o4672-l15885," Give Sense to Rocks, and Sympathy to Stones. ",o4672-l15890,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00292,o4672-w0680
moans, Deepens our imperfect Groans;,o3900-l25125,"There He helps our feeble Moans,",o3900-l25120,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
sons," And boast while Freedom bleeds, and virtue groans,",o5089-l35605," That ""Isis taught rebellion to her sons?""",o5089-l35610,/əʊnz/ | /ʌnz/,half-pararhyme,<b>a</b><b>a</b>,pers00051,o5089-w0750
owns," The forest flames, the cleaving desert groans,",cer72-l06340,"The trembling earth his awful presence owns,",cer72-l06335,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
owns," ""Tho' nature heaves these feeble groans,",o4668-l01455," ""Yet one dear care my heart still owns,",o4668-l01465,/əʊnz/ | /əʊnz/,full,<b>a</b>b<b>a</b>b,pers00276,o4668-w0010
cones," Burst from each pyramid expiring groans,",o4671-l05375, And darker shadows stretch'd their lengthen'd cones. —,o4671-l05380,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
owns,And hails its beauty with his dying groans:,o5153-l20530,"Such as th' offending wretch reluctant owns,",o5153-l20525,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0330
moans, Deep in a Fleshly Dungeon groans;,o3900-l06480, And lab'ring Silence speaks my Moans:,o3900-l06490,/əʊnz/ | /əʊnz/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w0420
loans," In spite of all her pride, call'd forth her groans,",o3589-l02420,"Illegal taxes, and oppressive loans,",o3589-l02415,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
moans," Still louder shrieks, and heavier groans! ",cbu86-l14765," While o'er the Harp pale Misery moans,",cbu86-l14755,/əʊnz/ | /əʊnz/,full,<b>a</b>a<b>a</b>,pers00307,cbu86-w0250
tones," Still louder shrieks, and heavier groans! ",cbu86-l14765," And strikes the ever-deep'ning tones,",cbu86-l14760,/əʊnz/ | /əʊnz/,full,a<b>a</b><b>a</b>,pers00307,cbu86-w0250
bones, And hear again his dying groans;,o4899-l04425," Some favorite friend's unconscious bones,",o4899-l04420,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
bones," It sends a Peal of hollow Groans,",o4106-l10575, Thus speaking from among the Bones. ,o4106-l10580,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0170
owns," This loyal blood for vengeance groans,",pmt18-l22075," ""No; let not one escape who owns",pmt18-l22065,/əʊnz/ | /əʊnz/,full,<b>a</b>b<b>a</b>b,pers00320,pmt18-w0360
owns," Tow'rds thee for pardon, while with tears and groans",o3366-l02510," Thy foot he kisses, and his guilt he owns,",o3366-l02515,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00319,o3366-w0010
