r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
own,But that the gen'rous youth more anxious grown,o5154-l20390,"For public liberty, than for his own,",o5154-l20395,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>a,pers00112,o5154-w0310
crone,But that the gen'rous youth more anxious grown,o5154-l20390,Marries some jointur'd antiquated crone:,o5154-l20400,/əʊn/ | /əʊn/,full,<b>a</b>a<b>a</b>,pers00112,o5154-w0310
own," Prone to repine, with age fastidious grown,",cac95-l06165, He made the sorrows of mankind his own. ,cac95-l06170,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
known,"Her Aspect noble, and mature is grown,",ppo24-l05005, And ev'ry Charm in its full Vigour known. ,ppo24-l05010,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0040
known,'And double with my Labours grown:,o5125-l11795,"'Yet many Ages I have known,",o5125-l11790,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
alone," To patriarchal reverence grown,",o4984-l03885,"Amid yon sunny plain, alone,",o4984-l03880,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
blown," But spare the tender buds, till riper grown:",peh89-l08825," To make a wreath, I'd gather flow'rs full blown,",peh89-l08820,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00324,peh89-w0180
coan," Whilst to six feet the stripling vig'rous grown,",o4600-l00265, Declares that GARRICK is another COAN. ,o4600-l00270,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
own," ""BUT more than just to other countries grown,",o4600-l00525,"""Must we turn base apostates to our own? ",o4600-l00530,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
bone, Statesman all over! — In plots famous grown! —,o4600-l01135," He mouths a sentence, as — ours mouth a bone. ",o4600-l01140,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
none,"This, fondly lavish in his praises grown,",o4600-l03345," Gives him all merit; That, allows him none. ",o4600-l03350,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
down,"IN Royal John, with Philip angry grown,",o4600-l03475, I thought he would have knock'd poor D—V—S down. ,o4600-l03480,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
own,"If by low supple arts successful grown,",o4110-l00975," They sapp'd our vigour to increase their own,",o4110-l00980,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
throne," When, for our interest too mighty grown,",o4110-l02505," Monarchs of warlike bent possess'd the throne,",o4110-l02510,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
town, Yet all alike to me are Strangers grown;,pse03-l02855,"I saw them last of all I knew in Town,",pse03-l02850,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0080
town,"Except that you, when weary grown",o5154-l15810,"Of all the follies of the town,",o5154-l15815,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00112,o5154-w0230
shown," Retain the Seed within till perfect grown,",pdi22-l05430, And Nature has her just Proportions shown. ,pdi22-l05435,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
bone," No longer boasts the Sword, but useless grown",pdi22-l10845,"Despis'd and harmless now, the worthless Bone",pdi22-l10840,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>a,pers00266,pdi22-w0010
disown," No longer boasts the Sword, but useless grown",pdi22-l10845, Henceforth it's martial Nature must disown. ,pdi22-l10850,/əʊn/ | /əʊn/,full,a<b>a</b><b>a</b>,pers00266,pdi22-w0010
known, He thinks her features coarser grown;,o5346-l05505,"Each day, the more her faults were known,",o5346-l05500,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00174,o5346-w0040
down,"The timber all was rotten grown, —",o5154-l13825,"In short, the house was tumbling down.",o5154-l13830,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o5154-w0200
throne," Vile FACTION at her heels, who, mighty grown,",o3587-l02185," Would rule the Ruler, and foreclose the throne,",o3587-l02190,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
own," Who, with tame Cowardice familiar grown,",o3587-l02455," Would hear my thoughts, but fear to speak their own,",o3587-l02460,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
own," But when to age mature those children grown,",pcr18-l15245," Find hopes and homes and hardships of their own,",pcr18-l15250,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
flown,"Nor yet is thought so tedious grown,",o5155-l38045,"Nor yet is hope so wholly flown,",o5155-l38040,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>bb,pers00035,o5155-w0933
own,"The dang'rous verse, to full perfection grown,",o5153-l28625,"BAVIUS might blush, and QUARLES disdain to own.",o5153-l28630,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
throne,"Oh say — she hears me not, but, careless grown,",tgaen-l04475,Lethargic nods upon her ebon throne.,tgaen-l04480,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00039,tgaen-whyig
flown," His Wings were clog'd with Wet, and useless grown,",pdi12-l03865,"When tir'd with Sport, he would at length have flown,",pdi12-l03860,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>a,pers00266,pdi12-w0110
down," His Wings were clog'd with Wet, and useless grown,",pdi12-l03865," Flutt'ring he strove, but Moisture prest him down. ",pdi12-l03870,/əʊn/ | /aʊn/,half-pararhyme,a<b>a</b><b>a</b>,pers00266,pdi12-w0110
down," 'Till each a little spiteful grown,",o4106-l01605," Sabina Caelia's Shape ran down,",o4106-l01610,/əʊn/ | /aʊn/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00294,o4106-w0030
alone," The Chimney to a Steeple grown,",psw11-l01720," The Jack wou'd not be left alone,",psw11-l01725,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
own,"Methought I was now a fine gentleman grown,",o5157-l20500,"And had got, Lord knows how, an estate of my own.",o5157-l20505,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00114,o5157-w0310
own,"The mind, of solitude, impatient grown,",o4111-l00025, Loves any sorrows rather than her own. ,o4111-l00030,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
down, Who once for Rev'rend merit famous grown,o4111-l00505," Gratefully strove to kick his MAKER down,",o4111-l00510,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4111-w0010
own," Some CATAMITE, or PIMP, in credit grown,",o4111-l00875," Who tempts another's wife, or sells his own,",o4111-l00880,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
known,"This maxim's into common favour grown,",o4111-l01575, Vice is no longer vice unless 'tis known. ,o4111-l01580,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
known,"My Crook a Scepter, and my Wreath a Grown:",oat77-l10150,Where I this rurall Bliss had never known;,oat77-l10140,/əʊn/ | /əʊn/,full,aabcbcdeedff<b>g</b>g<b>g</b>hihijjkllk,pers00344,oat77-w0690
throne,"My Crook a Scepter, and my Wreath a Grown:",oat77-l10150,"My Cottage might have been a Throne,",oat77-l10145,/əʊn/ | /əʊn/,full,aabcbcdeedffg<b>g</b><b>g</b>hihijjkllk,pers00344,oat77-w0690
own," Lank, harmless Frog! with Forces hardly grown,",o4106-l06710," He darts the Reed in Combats not his own,",o4106-l06715,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
known," But if too big for such Acquaintance grown,",o4784-l04475, Hoping I still shall for your Friend be known:,o4784-l04470,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00268,o4784-w0100
atone,"Sees vagrant Luxury, her hand-maid grown,",o5156-l00760,"For half her graceless deeds attone,",o5156-l00765,/əʊn/ | /əʊn/,full,ababcddc<b>e</b><b>e</b>e,pers00035,o5156-w0010
own,"Sees vagrant Luxury, her hand-maid grown,",o5156-l00760,"And hails the bounteous work, and ranks it with her own.",o5156-l00770,/əʊn/ | /əʊn/,full,ababcddc<b>e</b>e<b>e</b>,pers00035,o5156-w0010
alone,"How in the world to me a desart grown,",o5153-l08580,"Abandon'd, and alone,",o5153-l08585,/əʊn/ | /əʊn/,full,abba<b>c</b><b>c</b>deedff,pers00030,o5153-w0290
known,"Why, girls, he's quite a proverb grown,",o5157-l20965,"In all that's good, so tried and known,",o5157-l20960,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00114,o5157-w0320
none," And now the Maiden, bolder grown,",pmp18-l08715,"But Dove, depend on't, finds He none;",pmp18-l08705,/əʊn/ | /əʊn/,full,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0310
alone,"Had guile, and pride, and envy grown",o5152-l08610,"In the black groves of Styx alone,",o5152-l08615,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>abbccddeeffgghhh,pers00007,o5152-w0100
sown,"Had guile, and pride, and envy grown",o5152-l08610,Nor ever had on earth the baleful crop been sown:,o5152-l08620,/əʊn/ | /əʊn/,full,<b>a</b>a<b>a</b>bbccddeeffgghhh,pers00007,o5152-w0100
town,"In this soft Amrous Age now Love is grown,",pse03-l05935," The modish Entertainment of the Town,",pse03-l05940,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0290
alone,"Is it because thou'rt partial grown,",pro75-l05155,"And yield to beauties power alone,",pro75-l05160,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>bb,pers00271,pro75-w0250
own,"But I am old, and stiff — nay, bashful grown,",o5156-l33695,For Shakespear's humour is not now my own.,o5156-l33700,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00108,o5156-w0950
crown,By flattery more beauteous grown.,bed98-l01910,"Well pleas'd she kept the gilded crown,",bed98-l01905,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0030
soon,"But he was harden'd and remorseless grown,",o5153-l11565,"So to his former wiles he turns him soon,",o5153-l11575,/əʊn/ | /uːn/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
shown,"But he was harden'd and remorseless grown,",o5153-l11565,As in another place hereafter shall be shown.,o5153-l11580,/əʊn/ | /əʊn/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
bemoan,"There sit, and now discreeter grown,",o5156-l26530,Too late their rashness they bemoan;,o5156-l26535,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00045,o5156-w0750
alone,"Nay of your self too, you are careless grown",pse03-l12590, Shun all the Nymphs to Muse in Shades alone:,pse03-l12595,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00272,pse03-w0570
done,"Curss'd by his Absence, Life is tedious grown;",pse03-l13680, Now he shall see what his neglect has done. ,pse03-l13685,/əʊn/ | /ʌn/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0570
own,"Actors, like monks of old, now sacred grown,",o3842-l01335, Must be attack'd by no fools but their own. ,o3842-l01340,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o3842-w0010
known,"Have I, familiar with my nature grown,",o3588-l00305, And am I fairly to myself made known? ,o3588-l00310,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
town," This muse, I say, inconstant grown,",o4984-l06070," Forsook me, when I came to town;",o4984-l06075,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00218,o4984-w0050
own,"How do I laugh, when PUBLIUS, hoary grown",o3591-l00535," In zeal for SCOTLAND'S wellfare, and his own,",o3591-l00540,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o3591-w0010
own," To ev'ry manly feeling callous grown,",o3591-l01455," Rather than not blast thine, he'll blast his own. ",o3591-l01460,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00155,o3591-w0010
unknown," ""O Why is Man so thoughtless grown? ",o4672-l10975," ""Vent'ring the Leap to Worlds unknown,",o4672-l10985,/əʊn/ | /əʊn/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0570
alone,Nay life itself is tasteless grown,o5155-l36650,Sick of the world I muse alone,o5155-l36660,/əʊn/ | /əʊn/,full,<b>a</b>b<b>a</b>b,pers00142,o5155-w0880
unknown,"Angier's Soul was to that Calmness grown,",o4885-l10095," That he forgave the Ills design'd, and those unknown:",o4885-l10100,/əʊn/ | /əʊn/,full,<b>a</b><b>a</b>,pers00300,o4885-w0010
