r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
slave,Ev'ry Shepherd thou wou'd'st have,o4784-l15330," Not thy Lover, but thy Slave;",o4784-l15335,/æv/ | /eɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0460
gave, And certainly the best that man could have. ,oae86-l01295,"And when the greatest blessing heaven ere gave,",oae86-l01290,/æv/ | /eɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
brave,For if at any time th'ambitious have,oae86-l02210," Least shew of honour, then their souls grow brave,",oae86-l02215,/æv/ | /eɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
save," Hypocrisie preheminence should have,",oae86-l02800, (Tho' it ha'nt got the priviledge to save),oae86-l02805,/æv/ | /eɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
brave, And when vice is virtue you shall have,oae86-l03450," A share of that which makes most Females brave,",oae86-l03455,/æv/ | /eɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
stave,CAPRICIOUS W* a sonnet needs must have,o5153-l37000,'Tis good howe'er t' have conquer'd the first stave.,o5153-l37015,/æv/ | /eɪv/,half-pararhyme,<b>a</b>bb<b>a</b>cddcefefef,pers00123,o5153-w0760
gave," For sure, quoth he, each Fish must have,",o4784-l02210,"To Phillis he an Angle gave,",o4784-l02200,/æv/ | /eɪv/,half-pararhyme,<b>a</b>b<b>a</b>ab,pers00268,o4784-w0050
slave," For sure, quoth he, each Fish must have,",o4784-l02210," Who do's not seek to be thy Slave,",o4784-l02215,/æv/ | /eɪv/,half-pararhyme,ab<b>a</b><b>a</b>b,pers00268,o4784-w0050
crave,"Each Prince shall thus with Honor have,",pmp18-l33940, What Both so warmly seem to crave:,pmp18-l33945,/æv/ | /eɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
outbrave,"What though I no assistance have,",bjl92-l13505," The subtle foe still to outbrave,",bjl92-l13515,/æv/ | /eɪv/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0550
weapon-shaw, And cheered the feasters in the ha'. ,bjb18-l15445, When he gaed to the weapon-shaw;,bjb18-l15435,/ekteə/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0280
