r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
wealth, The generous Almoner of Health;,bsb18-l10380, For she bestows the well-earn'd wealth —,bsb18-l10375,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
wealth,Still her vot'ries lead to HEALTH;,o5156-l25030,"Else, what profits Marlborough's wealth,",o5156-l25035,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
wealth,"Who with next Heir at Law would trust his health,",oau90-l17060,Or who a bloated Bancrupt with his wealth?,oau90-l17065,/elθ/ | /elθ/,full,aabbcc<b>d</b><b>d</b>,pers00350,oau90-w0570
stealth," Like conservators of the public health,",o3794-l22675,"We next enquire, but softly and by stealth,",o3794-l22670,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
wealth," In the Box sits vig'rous Health,",o4784-l10525, Shunning miry Paths of Wealth:,o4784-l10530,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00268,o4784-w0290
wealth,The fragrant air is health;,bed98-l10220,That waits on power and wealth.,bed98-l10230,/elθ/ | /elθ/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0280
wealth," Clam Temp'rance rise, the nurse of Health;",pjo50-l08855,"See, in the room of paltry wealth,",pjo50-l08850,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0300
wealth," So fiercely war 'gainst my Soul's dearest health,",o3585-l00620," Plac'd above want, shall abject thirst of wealth",o3585-l00615,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
wealth," Then, from them extracting the balsam of health,",bsb18-l25230, Turns the blossoms of nature to true sterling wealth. ,bsb18-l25235,/elθ/ | /elθ/,full,aa<b>b</b><b>b</b>,pers00280,bsb18-w0430
stealth, Call the flush of my cheek the pure crimson of health;,bao18-l02550, Nor venture to gaze on his eyes but by stealth. ,bao18-l02560,/elθ/ | /elθ/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0050
wealth," In Toil he found Diversion, Food, and Health;",o3587-l00290, In full Content he found the truest wealth;,o3587-l00285,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
wealth," Beats in his heart, and paints his cheeks with health,",o3587-l00960," When Pleasure, which he deems his greatest wealth,",o3587-l00955,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
wealth,"Neglects his Ease, neglects his Health,",clc03-l14365,"Is't he, that in pursuit of Wealth,",clc03-l14360,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00349,clc03-w0300
stealth,Each frail incumbent's doubtful health;,o5155-l27975,"Long time he watches, and by stealth,",o5155-l27970,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00053,o5155-w0500
stealth," Undermine life, and sap the walls of health. ",o4111-l00310," How damps and vapours as it were by stealth,",o4111-l00305,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
wealth,"Here are thy walks, O sacred Health! ",o4984-l11035,"The monarch's bliss, the beggar's wealth! ",o4984-l11040,/elθ/ | /elθ/,full,<b>a</b><b>a</b>,pers00180,o4984-w0160
