r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tear, Why at this hour thou kneelest here? ,o4091-l22940," That heart-heav'd sigh, that falling tear? ",o4091-l22950,/ɪə/ | /ɪə/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
bier," Which brings my guilty footsteps here,",o4091-l23700, Expiring press'd the welcome bier! ,o4091-l23710,/ɪə/ | /ɪə/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
brier,"We wander there, we wander here,",cbu86-l05755," We eye the rose upon the brier,",cbu86-l05760,/ɪə/ | /aɪə/,half-vowelrhyme,<b>a</b><b>a</b>abab,pers00307,cbu86-w0080
near,"We wander there, we wander here,",cbu86-l05755," Unmindful that the thorn is near,",cbu86-l05765,/ɪə/ | /ɪə/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0080
appear,"We wander there, we wander here,",cbu86-l05755," And tho' the puny wound appear,",cbu86-l05775,/ɪə/ | /ɪə/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0080
ear,"Rightly of thy office here,",o5156-l24360,"If the theme may please thine ear,",o5156-l24365,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
appear,"The joys above are painted here,",bed98-l20480,"But how their glories shall appear,",bed98-l20490,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0680
fair," ""Is this poor Jock? — the good be here! ",bsb18-l30870,"Now, when I gae to kirk or fair,",bsb18-l30860,/ɪə/ | /eə/,half-pararhyme,<b>a</b>a<b>a</b>bcccbdddb,pers00280,bsb18-w0740
jeer," ""Is this poor Jock? — the good be here! ",bsb18-l30870," The laddies scoff, the lassies jeer; —",bsb18-l30865,/ɪə/ | /ɪə/,full,a<b>a</b><b>a</b>bcccbdddb,pers00280,bsb18-w0740
appear,"Lovers are not so out of Fashion here,",pba35-l14690, That Athenais blushes to appear:,pba35-l14695,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00261,pba35-w1150
ear," Alone and pensive as I wander'd here,",o5125-l20595, A Woman's Voice surpris'd my list'ning Ear;,o5125-l20600,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
fear, The loss of Honour when the Danes were here:,oae86-l00630,Witness those Saxon Ladies who did fear,oae86-l00625,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
fear,"But hold, I am uncharitable here,",oae86-l01155," Thou may'st repent, tho' that's a thing I fear. ",oae86-l01160,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
near," For if you had, you scarce would have been here,",oae86-l01590,"But I suppose you never was so near,",oae86-l01585,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>a,pers00272,oae86-w0010
there," For if you had, you scarce would have been here,",oae86-l01590," For had they seen, they'd kept you there. ",oae86-l01595,/ɪə/ | /eə/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,oae86-w0010
there," Written in flames, fierce as his own whilst here. ",oae86-l02630," And he perhaps at last may read it there,",oae86-l02625,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
near, Nor bring the loud tumultuous Passions here;,o4985-l36465,"Mortal, approaching near,",o4985-l36455,/ɪə/ | /ɪə/,full,aba<b>c</b>c<b>c</b>bddeeffgghihkki,pers00057,o4985-w0550
revere, Nor bring the loud tumultuous Passions here;,o4985-l36465," The hallow'd seat revere,",o4985-l36460,/ɪə/ | /ɪə/,full,abac<b>c</b><b>c</b>bddeeffgghihkki,pers00057,o4985-w0550
dear,"I wou'd have Fame, but I'd enjoy it Here. ",oat77-l06215,"Who pays his Blood for't, buys his Fame too dear",oat77-l06210,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00344,oat77-w0350
tear,Nor ends the wailing here:,o5153-l31995,And every colony has dropt a tear.,o5153-l32020,/ɪə/ | /ɪə/,full,aabccbdeed<b>f</b>gghh<b>f</b>,pers00040,o5153-w0590
severe, And fain would wish to find you partial here. ,bjl92-l07715,"She humbly deprecates your doom severe,",bjl92-l07710,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0300
fear, The man of Calvary triumph'd here;,o3555-l08770, Why should his faithful followers fear? ,o3555-l08775,/ɪə/ | /ɪə/,full,aa<b>b</b><b>b</b>,pers00149,o3555-w0300
wear," Whilst misery clings to every mortal here,",bsb18-l13435, A chain of grief the happiest man must wear:,bsb18-l13440,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0180
fair,Resume their native smiles and graces here:,o5152-l25795,"Virtue and Deity supremely fair,",o5152-l25785,/ɪə/ | /eə/,half-pararhyme,<b>a</b>a<b>a</b>,pers00032,o5152-w0290
severe,Resume their native smiles and graces here:,o5152-l25795,"Too oft delineated with looks severe,",o5152-l25790,/ɪə/ | /ɪə/,full,a<b>a</b><b>a</b>,pers00032,o5152-w0290
appear, Sure the belov'd Disciple's Soul is here. ,pse03-l03205," For when did such appear,",pse03-l03200,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00272,pse03-w0100
ear," If so, I have my Bagpipe here,",o4784-l02260,"But you, perhaps, are by the Ear,",o4784-l02250,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>ab,pers00268,o4784-w0050
dear," If so, I have my Bagpipe here,",o4784-l02260," The only Musick that's not dear,",o4784-l02265,/ɪə/ | /ɪə/,full,ab<b>a</b><b>a</b>b,pers00268,o4784-w0050
year,How do our Hearts deceive us here! ,pba35-l01395,He gets ten thousand Pounds a Year. ,pba35-l01400,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00087,pba35-w0070
year,"The Winds themselves are not uncertain here,",pdi12-l02615," But their fixt Seasons know, each circling Year. ",pdi12-l02620,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0070
year, For Arts and Sciences to flourish here. ,pba35-l10895,"This is the Æra, this the destin'd Year,",pba35-l10890,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
appear,"Next Age, not one would rack his Tenants here. ",pba35-l11015,O what a Change in Landlords would appear! ,pba35-l11010,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
appear, Yet shall be pass'd in Silence here:,pmp18-l13270, In Epic sumptuous would appear;,pmp18-l13265,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
care,"Pour down, great God! thy choicest blessings here,",pye85-l02120," O! make their beauteous progeny thy care,",pye85-l02130,/ɪə/ | /eə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00256,pye85-w0050
near," We must not now be parted, sojourn here —",o3794-l23375," That reaching home, the night, they said, is near,",o3794-l23370,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
tear," Wit, Grace, and Beauty, once were center'd here! ",o4985-l10645, Let Female Grace vouchsafe the kindly tear:,o4985-l10640,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
appear, And bloom with early fragrance here! ,pmt18-l20720," Bid every vernal sweet appear,",pmt18-l20715,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00320,pmt18-w0340
tear,"As on the moss-grown rock now seated here,",bed98-l16490,Pain'd memory finds the source of many a tear.,bed98-l16495,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00340,bed98-w0440
appear," ""Thus far, nor farther, rage; and Here",o4984-l16435," ""Know, when he bade the Deep appear,",o4984-l16425,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>b,pers00045,o4984-w0260
fear," Thy Maker's will has plac'd thee here,",o4984-l16535,"Let Faith suppress each rising fear,",o4984-l16525,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>b,pers00045,o4984-w0260
appear," 'Tis not the strongest plea for favour, 'tis not here;",o4600-l00090,BUT though bear merit might in Rome appear,o4600-l00085,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
fear, Lest day of tryal should be put off here. ,o4600-l00730,"THE day of tryal's fix'd, nor any fear",o4600-l00725,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
clear," No bribes were taken, nor oaths broken here:",o4600-l00800," No juries here were pack'd to kill or clear,",o4600-l00795,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
appear, Why should we bar them in the copy here? ,o4600-l02560,"If in originals these things appear,",o4600-l02555,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
lear,"What man could give, if B—Y was not here,",o4600-l02915, Such well-applauded tenderness to Lear? ,o4600-l02920,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
fear," Of starving, arts which damn all conscience here. ",o4110-l00900," Or starves at home, or practises, thro' fear",o4110-l00895,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
