r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
glides," Mouth, nose and cheek the lather hides,",ojg27-l05695," Light, smooth and swift the razor glides. ",ojg27-l05700,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0230
sides," Stretch on soft Slime; in Slime the Sea-Cow hides,",pdi22-l00755, And on the yielding Bed reclines her Sides. ,pdi22-l00760,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
prides,"Each Parent Fish her Young in Danger hides,",pdi22-l06230," Nurtures the Fry, and in her Likeness prides. ",pdi22-l06235,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
glides,"In clouded Depths below the Nacre hides,",pdi22-l08315, And thro' the silent Paths obscurely glides;,pdi22-l08320,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
sides,"Close in her own Embrace she shelter'd hides,",pdi22-l09960," Contracts her Feet, and rounds her prickly Sides:",pdi22-l09965,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
prides," But beauteous Look a secret Poyson hides,",pdi22-l10535,"In gawdy Show the various Rainbow prides,",pdi22-l10530,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
provides,"All earth embosoms, and all ocean hides,",o5153-l28650,"Skill'd in each drug the varying world provides,",o5153-l28645,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
rides, Some fisher's hut perchance the shelving harbour hides. ,pmt18-l13935," And in the shallows moored securely rides,",pmt18-l13920,/aɪdz/ | /aɪdz/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0024
provides, Some fisher's hut perchance the shelving harbour hides. ,pmt18-l13935, The watchful knight for Psyche's ease provides;,pmt18-l13930,/aɪdz/ | /aɪdz/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0024
rides,"His radiant form majestick darkness hides,",cer72-l06325, While on a tempest rapid wings he rides. ,cer72-l06330,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
slides, All the charms that her modesty hides. ,o4985-l11795," As she carelessly trips often slides,",o4985-l11785,/aɪdz/ | /aɪdz/,full,a<b>b</b>a<b>b</b>,pers00167,o4985-w0190
provides," But from his dearest Friends, the Secret hides:",o4885-l06055," Now all things for his Voyage he provides,",o4885-l06050,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00300,o4885-w0010
tides," Her quivering fins and panting gills she hides,",o4671-l21080, But spreads her silver arms upon the tides;,o4671-l21085,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
sides," Tormented into sores, her head she hides,",o5398-l02995, Or angry brushes from her new-shorn sides. ,o5398-l03000,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
resides,' In lonely cots like mine the damsel hides;,o5398-l03710," 'Content, the poet sings, with us resides,",o5398-l03705,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
sides, And spatter'd mud his native colour hides:,o5398-l06590," Drops chase each other down his chest and sides,",o5398-l06585,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
provides," That Europe ripens, and that Asia hides. ",o4985-l08805,"Britain, more generous, every vice provides,",o4985-l08800,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00192,o4985-w0140
tides, The labour'd Wall delusive Picture hides,o3428-l01115, And liquid Sulphur rolls in burning Tides;,o3428-l01120,/aɪdz/ | /aɪdz/,full,<b>a</b><b>a</b>,pers00150;pers00153,o3428-w0010
