r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fills,"Reason may grasp the Massie Hills,",o4672-l02180," But Half thy Name our Spirit fills,",o4672-l02190,/ɪlz/ | /ɪlz/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0110
rills,From mountain-tops: adown the hills,o5156-l24630,"Others pour refreshing rills,",o5156-l24635,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
rills," Survey the distant, shaded Hills,",pba35-l06435," And, pensive, hear the murm'ring Rills. ",pba35-l06440,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00087,pba35-w0470
smells, But now diffusive Sweets from spicy Hills,pdi12-l02355," Are born on Eastern Winds, and waft their blended Smells. ",pdi12-l02360,/ɪlz/ | /elz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0070
wheels," The blazing Earth and melting Hills,",o4672-l02365, And flash along before thy Wheels. ,o4672-l02375,/ɪlz/ | /iːlz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00292,o4672-w0120
rills,"Ye flow'ry meads, and tow'ring hills,",pro75-l03435,"Ye mossy fountains, purling rills,",pro75-l03440,/ɪlz/ | /ɪlz/,full,aa<b>b</b><b>b</b>cc,pers00271,pro75-w0150
rills,"Farewel, ye Forests and delightful Hills,",o5125-l02315," Ye flow'ry Meadows and ye crystal Rills,",o5125-l02320,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0090
distils, When 'tis sun-drove from the hills. ,o5089-l37005," Where the limpid stream distils,",o5089-l36995,/ɪlz/ | /ɪlz/,full,a<b>b</b>a<b>b</b>,pers00168,o5089-w0800
mountain-rills," Ah, lost to me thy fir-clad hills,",bhw18-l19170," The music of thy mountain-rills, —",bhw18-l19175,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0480
rills,And light's last blushes ting'd the distant hills.,o5153-l00460,"Blue vapours rose along the mazy rills,",o5153-l00455,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00030,o5153-w0010
isles, Firm as the Everlasting Hills. ,o4672-l00670," Stands rais'd upon the Brittish Isles,",o4672-l00660,/ɪlz/ | /aɪlz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00292,o4672-w0040
rills,"Trees that nod on sloping hills,",o5156-l01505,Caves that echo tinkling rills.,o5156-l01510,/ɪlz/ | /ɪlz/,full,aa<b>b</b><b>b</b>,pers00035,o5156-w0020
wheels, Roll'd down the Golden Day behind the Western Hills. ,o4672-l16215, And the declining Sun with sloping Wheels,o4672-l16210,/ɪlz/ | /iːlz/,half-pararhyme,<b>a</b><b>a</b>,pers00292,o4672-w0680
rills,"The steep ascent of pine-clad hills,",o5155-l29600,"The silver slope of falling rills,",o5155-l29605,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00051,o5155-w0570
rills,"Deep in their mossy cells beneath these hills,",o4986-l12440, The bounteous Naiads form the gushing rills. ,o4986-l12445,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00142,o4986-w0300
fills," Next Spring's gay products clothe the flowery hills,",o4987-l13700," And joy the wood, and joy the valley fills;",o4987-l13705,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00250,o4987-w0400
rills,"Ye high o'ershadowing hills,",o5153-l07505,"Ye tufted groves, ye gently-falling rills,",o5153-l07500,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>bbcdcdee,pers00030,o5153-w0290
rills," Stray between the flowery hills,",o4986-l30175, Crystal streams whose murmuring rills,o4986-l30170,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00198,o4986-w0730
ills, Like a Partridge on the Hills;,o4784-l03670," Hunted by all kinds of Ills,",o4784-l03665,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
wheels,Swift as a Roe flies o're the Hills,o4672-l06355," Then the dear Conqueror turns his Wheels,",o4672-l06365,/ɪlz/ | /iːlz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0330
fills," His channels from a thousand hills,",o4984-l14910, Where boundless Oroonoko fills,o4984-l14905,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00227,o4984-w0220
fills," The Syrian worships from his airy hills,",cer72-l00490, Whose vales with wealth the fam'd Araxis fills. ,cer72-l00495,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
rills," Where wanton Gallia, 'midst her vine-clad hills,",o4986-l32275," Her olive bowers, her myrtle-shaded rills,",o4986-l32280,/ɪlz/ | /ɪlz/,full,a<b>b</b><b>b</b>acddceffegg,pers00250,o4986-w0820
rills, And future navies crown her darksome hills. ,o4984-l26625," Fresh are her pastures with unceasing rills,",o4984-l26620,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00053,o4984-w0470
rills,"Cool shady Grots, and gently rising Hills,",pdi12-l00095," And the soft Murmurs of complaining Rills,",pdi12-l00100,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0010
rills,"BETWEEN the smooth descent of yonder hills,",o5156-l35250,"Whose antique roots are wash'd with brawling rills,",o5156-l35260,/ɪlz/ | /ɪlz/,full,<b>a</b>b<b>a</b>bbcc,pers00108,o5156-w1090
rills," Wide o'er the shining vales, and trickling hills",o4671-l08795, Spread the bright treasure in a thousand rills. ,o4671-l08800,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
reveals,And Mona's magic hills.,bed98-l10030,This setting sun reveals;,bed98-l10020,/ɪlz/ | /iːlz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00340,bed98-w0270
wheels, In Mourning stood the Hills. ,o4672-l10500, Behind her Sable Wheels:,o4672-l10485,/ɪlz/ | /iːlz/,half-pararhyme,aa<b>b</b>cc<b>b</b>,pers00292,o4672-w0540
