r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sin," Look more pardonable, and so by him",oae86-l02825," Seem more smooth, and a common sin",oae86-l02820,/ɪm/ | /ɪn/,half-vowelrhyme,<b>a</b><b>a</b>a,pers00272,oae86-w0010
win," Look more pardonable, and so by him",oae86-l02825," More take example, 'tis he strives to win. ",oae86-l02830,/ɪm/ | /ɪn/,half-vowelrhyme,a<b>a</b><b>a</b>,pers00272,oae86-w0010
him," These first Assaults fat Kate repays Him,",pmp18-l32200, When half asleep She overlays Him. ,pmp18-l32205,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00314,pmp18-w1100
him, When half asleep She overlays Him. ,pmp18-l32205," These first Assaults fat Kate repays Him,",pmp18-l32200,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00314,pmp18-w1100
him,"Love's Advocates, sweet Sir, would find Him",pmp18-l32500," A higher Place, than You assign'd Him. ",pmp18-l32505,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00314,pmp18-w1100
him," A higher Place, than You assign'd Him. ",pmp18-l32505,"Love's Advocates, sweet Sir, would find Him",pmp18-l32500,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00314,pmp18-w1100
dim, But yet successful being aimed at him. ,o3794-l23425," Their views indeed were indistinct and dim,",o3794-l23420,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
whim, Then Baal is the God and worship him. ,o3794-l24995," If he be silent, faith is all a whim,",o3794-l24990,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
him,"The bonie lasses weel may wiss him,",cbu86-l14140, And in their dear petitions place him:,cbu86-l14145,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>abab,pers00307,cbu86-w0240
him,"The bonie lasses weel may wiss him,",cbu86-l14140," The widows, wives, an' a' may bless him,",cbu86-l14150,/ɪm/ | /ɪm/,identical,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0240
him,"The bonie lasses weel may wiss him,",cbu86-l14140, For weel I wat they'll sairly miss him,cbu86-l14160,/ɪm/ | /ɪm/,identical,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0240
him, And in their dear petitions place him:,cbu86-l14145,"The bonie lasses weel may wiss him,",cbu86-l14140,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>abab,pers00307,cbu86-w0240
him, And in their dear petitions place him:,cbu86-l14145," The widows, wives, an' a' may bless him,",cbu86-l14150,/ɪm/ | /ɪm/,identical,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0240
him, And in their dear petitions place him:,cbu86-l14145, For weel I wat they'll sairly miss him,cbu86-l14160,/ɪm/ | /ɪm/,identical,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0240
him," The widows, wives, an' a' may bless him,",cbu86-l14150,"The bonie lasses weel may wiss him,",cbu86-l14140,/ɪm/ | /ɪm/,identical,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0240
him," The widows, wives, an' a' may bless him,",cbu86-l14150, And in their dear petitions place him:,cbu86-l14145,/ɪm/ | /ɪm/,identical,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0240
him," The widows, wives, an' a' may bless him,",cbu86-l14150, For weel I wat they'll sairly miss him,cbu86-l14160,/ɪm/ | /ɪm/,identical,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0240
him, For weel I wat they'll sairly miss him,cbu86-l14160,"The bonie lasses weel may wiss him,",cbu86-l14140,/ɪm/ | /ɪm/,identical,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0240
him, For weel I wat they'll sairly miss him,cbu86-l14160, And in their dear petitions place him:,cbu86-l14145,/ɪm/ | /ɪm/,identical,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0240
him, For weel I wat they'll sairly miss him,cbu86-l14160," The widows, wives, an' a' may bless him,",cbu86-l14150,/ɪm/ | /ɪm/,identical,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0240
swim,"Whigs might be call'd, but tories were to him.",o5156-l37885,"Who could obsequious with the current swim,",o5156-l37880,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
him," But he wad stan't, as glad to see him,",cbu86-l00125, An' stroan't on stanes an' hillocks wi' him. ,cbu86-l00130,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00307,cbu86-w0010
him, An' stroan't on stanes an' hillocks wi' him. ,cbu86-l00130," But he wad stan't, as glad to see him,",cbu86-l00125,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00307,cbu86-w0010
him," Wha for his friend an' comrade had him,",cbu86-l00145," And in his freaks had Luath ca'd him,",cbu86-l00150,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00307,cbu86-w0010
him," And in his freaks had Luath ca'd him,",cbu86-l00150," Wha for his friend an' comrade had him,",cbu86-l00145,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00307,cbu86-w0010
him," Say rather, gaun as PREMIERS lead him",cbu86-l00775, An' saying aye or no's they bid him:,cbu86-l00780,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00307,cbu86-w0010
him, An' saying aye or no's they bid him:,cbu86-l00780," Say rather, gaun as PREMIERS lead him",cbu86-l00775,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00307,cbu86-w0010
him,"But so much our shepherds dread him,",o5089-l37750," Swift as scudding fawns they fled him,",o5089-l37760,/ɪm/ | /ɪm/,identical,<b>a</b>b<b>a</b>b,pers00168,o5089-w0830
him," Swift as scudding fawns they fled him,",o5089-l37760,"But so much our shepherds dread him,",o5089-l37750,/ɪm/ | /ɪm/,identical,<b>a</b>b<b>a</b>b,pers00168,o5089-w0830
him," Then quick as thought, ere I could tell him,",bjl92-l10620, Ilk critics club was up to fell him;,bjl92-l10625,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00338,bjl92-w0440
him, Ilk critics club was up to fell him;,bjl92-l10625," Then quick as thought, ere I could tell him,",bjl92-l10620,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00338,bjl92-w0440
redeem," Come, Holy Zeal! For Thou thro' Him,",o3900-l01895,"Come then, if mighty to redeem,",o3900-l01885,/ɪm/ | /iːm/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00309,o3900-w0090
beam," He in GOD, and GOD in Him! ",o3900-l21015," Beam of the Eternal Beam,",o3900-l21010,/ɪm/ | /iːm/,half-pararhyme,aabbccdd<b>e</b><b>e</b>ff,pers00309,o3900-w1110
limb," Yes! there was he, and there was care with him. ",pcr18-l09275," Safe from all want, and sound in every limb;",pcr18-l09270,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
trim," Awed by her parent, and enticed by him,",pcr18-l10445," Till the fond damsel, pleased with lad so trim,",pcr18-l10440,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
whim, Christian and countrymen was all with him:,pcr18-l18025,"He had no party's rage, no sect'ry's whim:",pcr18-l18020,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
whim," And fashion, sent the varying sex to him:",pcr18-l19085,"Fame (now his friend), fear, novelty, and whim,",pcr18-l19080,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
whim,""" And so our beaux and beauties turn'd from him:",pcr18-l20175," ""It was his nature, but they thought it whim,",pcr18-l20170,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
seem," Fear less Love, on you need not dye like him. ",pse03-l09230," But to your Charms Caution does needless seem,",pse03-l09225,/ɪm/ | /iːm/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0420
him,"""If you'd examine — and admit him,",o5155-l27810,"""A scholarship would nicely fit him:",o5155-l27815,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00053,o5155-w0500
him,"""A scholarship would nicely fit him:",o5155-l27815,"""If you'd examine — and admit him,",o5155-l27810,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00053,o5155-w0500
trim, And thus accosted him. ,o3795-l31670," His neighbour in such trim,",o3795-l31660,/ɪm/ | /ɪm/,full,x<b>a</b>x<b>a</b>,pers00269,o3795-w0090
him,"But, canny lad, we a' may bless him,",prc90-l00335," For you and I would surely miss him,",prc90-l00340,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>bccb,pers00328,prc90-w0020
him," For you and I would surely miss him,",prc90-l00340,"But, canny lad, we a' may bless him,",prc90-l00335,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>bccb,pers00328,prc90-w0020
theme," Which seem'd more lovely, when describ'd by him. ",o4741-l15155," Bright Truth, and Virtue, were his lovely Theme;",o4741-l15150,/ɪm/ | /iːm/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0360
him," Away he scours and lays about him,",ojg27-l08405, Resolv'd no fray should be without him. ,ojg27-l08410,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00303,ojg27-w0350
him, Resolv'd no fray should be without him. ,ojg27-l08410," Away he scours and lays about him,",ojg27-l08405,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00303,ojg27-w0350
prim, And she admir'd as much at Him. ,psw11-l02075," Amaz'd to see Her look so Prim,",psw11-l02070,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
poem,"'Tis Dalston's; you, Apollo, know him.",o5156-l35735,"For here, she cried; see here a poem —",o5156-l35730,/ɪm/ | /əʊɪm/,half-pararhyme,<b>a</b><b>a</b>,pers00026,o5156-w1100
him,This Dalston — formerly I've known him;,o5156-l35890,Henceforth for ever I disown him;,o5156-l35895,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00026,o5156-w1100
him,Henceforth for ever I disown him;,o5156-l35895,This Dalston — formerly I've known him;,o5156-l35890,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00026,o5156-w1100
him,Tho' Sutton disabled as soon as he hit him,o5157-l35040,"Wou'd still have fought on, but Jove wou'd not permit him;",o5157-l35045,/ɪm/ | /ɪm/,identical,aabb<b>c</b><b>c</b>dd,pers00084,o5157-w0710
him,"Wou'd still have fought on, but Jove wou'd not permit him;",o5157-l35045,Tho' Sutton disabled as soon as he hit him,o5157-l35040,/ɪm/ | /ɪm/,identical,aabb<b>c</b><b>c</b>dd,pers00084,o5157-w0710
dim, Began to think some look'd at him;,o4257-l00340," Then, as his visive orbs grew dim,",o4257-l00335,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
him," For, if your critic frowns do not confound him,",o5280-l07085, He smiles at all the Nabobs that surround him. ,o5280-l07090,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00277,o5280-w0400
him, He smiles at all the Nabobs that surround him. ,o5280-l07090," For, if your critic frowns do not confound him,",o5280-l07085,/ɪm/ | /ɪm/,identical,<b>a</b><b>a</b>,pers00277,o5280-w0400
esteem,"Fiends would be harmless, if compar'd with him.",o5154-l05005,Suited to man can we such pow'r esteem!,o5154-l05000,/ɪm/ | /iːm/,half-pararhyme,<b>a</b><b>a</b>,pers00022,o5154-w0080
beam," And longing ask to spend, and to be spent for Him. ",o3900-l07465," Into his Soul call down th' Eternal Beam,",o3900-l07460,/ɪm/ | /iːm/,half-pararhyme,<b>a</b><b>a</b>,pers00311,o3900-w0440
trim," He boarding her, she striking sail to him. ",o3683-l01085,"Top-gallant he, and she in all her Trim,",o3683-l01080,/ɪm/ | /ɪm/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
