r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
scope,"And say, THALIA, mayn't we hope",o5153-l29380,The stage will take a larger scope?,o5153-l29385,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
pope," And the pleas'd master sees, with flatt'ring hope,",o5280-l04750, The early efforts of a future Pope. ,o5280-l04755,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
rope, And balances your Fear and Hope:,pmp18-l33415,"He, perfect Dancer, climbs the Rope,",pmp18-l33410,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
elope,What from the Dame can Paris hope? ,pmp18-l33890,She may as well from Him elope. ,pmp18-l33895,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
up," With Loss or Gain, with Fear or Hope;",pmp18-l34350,"If neither Side turn down or up,",pmp18-l34345,/əʊp/ | /ʌp/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
scope," Their object and their subject and their hope,",o3794-l23435,"Christ and his character their only scope,",o3794-l23430,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
droop, The tender buds of half-chilled hope,pmt18-l20865," That seemed in withering gloom to droop,",pmt18-l20870,/əʊp/ | /uːp/,half-pararhyme,<b>a</b><b>a</b>,pers00320,pmt18-w0340
pope,"(That he was a Dotard, is granted, I hope,",pba35-l03985, Who dy'd for asserting the Rights of the Pope. ),pba35-l03990,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00087,pba35-w0280
scope,"""And chear a patriot heart with patriot hope;",o4600-l00590," ""May not, to give a pleasing fancy scope,",o4600-l00585,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
scope,"My present joy, your future hope,",o5155-l27420,"Give sorrow and revenge their scope,",o5155-l27415,/əʊp/ | /əʊp/,full,aab<b>c</b><b>c</b>b,pers00027,o5155-w0480
stoop,"Observe he said, in Herman's oldest hope,",bed98-l07685,"High thoughts of self, which ill to counsel stoop,",bed98-l07690,/əʊp/ | /uːp/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0160
pope,"That now, the Squire (who had some Hope",o5354-l00505,"In holy Water and the Pope,)",o5354-l00510,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
up,""" Saved her from death, when she was dead to hope,",pcr18-l19060," ""And her fond husband had resign'd her up:",pcr18-l19065,/əʊp/ | /ʌp/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
pope, Knock under as I hope,ilc19-l01475, Milkwoman to the Pope. ,ilc19-l01485,/əʊp/ | /əʊp/,full,a<b>b</b>a<b>b</b>,pers00215,ilc19-w0040
scope, And sooth thy heaving heart with hope. ,o4739-l05210,"Then give thy pure perceptions scope,",o4739-l05205,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00285,o4739-w0190
cup,Has thy heart sickened with deferred hope? ,pmt18-l09710,Or hast thou tasted of the bitter cup,pmt18-l09720,/əʊp/ | /ʌp/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0023
up," By Faith directed, and confirm'd by Hope:",pmp18-l30365," High as We may, We lift our Reason up,",pmp18-l30360,/əʊp/ | /ʌp/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1060
scope, On these depends thy future hope. ,ojg27-l02360," Weigh well his manners, life, and scope,",ojg27-l02355,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0100
slope, Though age untimely chill gay hope;,pmt18-l19835, And gently smooth life's downward slope! ,pmt18-l19845,/əʊp/ | /əʊp/,full,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0280
pope,"No more the object of our fears, or hope;",o5154-l05730,"The creature, and the vassal of the pope.",o5154-l05735,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
scope,"Fill'd with her love, sooth'd with her hope,",o3462-l01040," And gave luxuriant fancy scope,",o3462-l01050,/əʊp/ | /əʊp/,full,<b>a</b>b<b>a</b>b,pers00299,o3462-w0010
drop, The little mouse with humbler hope,o4986-l30370, Tastes Nature's bounties as they drop. ,o4986-l30375,/əʊp/ | /ɒp/,half-pararhyme,<b>a</b><b>a</b>,pers00198,o4986-w0730
top, No more canst thou deceive my hope,bjb18-l03030," ""Thou distant tree, whose lonely top",bjb18-l03020,/əʊp/ | /ɒp/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0030
pope," Appalls their Cheeks with Fear, or reddens them with Hope. ",pmc36-l01115," Or fav'rite Ombre, sweetly sung by Pope,",pmc36-l01110,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00325,pmc36-w0010
prop," The race shall mourn, in him, their blasted hope. ",cer72-l00875,"Joseph remov'd, old Jacob's greatest prop,",cer72-l00870,/əʊp/ | /ɒp/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
pope," Spight of the keys that move our fear and hope,",o5089-l24540, I ne'er would quit such penance to be Pope. ,o5089-l24545,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00137;pers00191,o5089-w0530
stop,"DEAR shade of bliss, enchanting hope,",bah18-l06035," Bewilder'd, weary, faint, I stop,",bah18-l06045,/əʊp/ | /ɒp/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00281,bah18-w0390
pope,But Virgil is as good I hope.,o5155-l21370,"You'll boast perhaps your fav'rite Pope,",o5155-l21365,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00127,o5155-w0290
scope, Nor judge by statute a believer's hope;,o3794-l00410," To give religion her unbridl'd scope,",o3794-l00405,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
scope, His eye discerns no gleam of hope;,bhw18-l12945, A region in whose ample scope,bhw18-l12940,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0150
pope,"But now grown desp'rate, and beyond all hope,",o5157-l36770,"I curse the ball, the d—ss, and the pope.",o5157-l36775,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00041,o5157-w0810
up,"Now bereft of every hope,",pmt18-l22680," Poor, abandoned soul! look up,",pmt18-l22690,/əʊp/ | /ʌp/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00320,pmt18-w0380
droop," No Gleam of Light, no Ray of Hope",o3900-l17190,Chearless and all forlorn I droop;,o3900-l17180,/əʊp/ | /uːp/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00309,o3900-w0980
scope,"Of thought, you ever dar'd to hope",o5155-l27285,"Yet say, if in thy fondest scope",o5155-l27280,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>bccb,pers00027,o5155-w0470
left,"My Sins bereave my Soul of hope,",o4091-l26415," In thy dread power, they nought have left,",o4091-l26425,/əʊp/ | /eft/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00305,o4091-w0040
drop, But I will praise thee here and hope,o5454-l02255,Then never shall one cooling Drop,o5454-l02245,/əʊp/ | /ɒp/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o5454-w0190
rope," ""On Virtue's base, and buoy'd by Hope,",cac95-l09300," ""Benumb'd upon the shatter'd rope",cac95-l09310,/əʊp/ | /əʊp/,full,<b>a</b>b<b>a</b>b,pers00301,cac95-w0150
beam,From that blest source propitious Hope,o4984-l17755, And sheds her soft diffufive beam,o4984-l17765,/əʊp/ | /iːm/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00085,o4984-w0320
rope,Buoyant on bladders fill'd with hope.,o5152-l13850,"But swam, till Fortune threw a rope,",o5152-l13845,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
droop,"For thee, each power, each gift must hope,",bed98-l19330,"Depress'd and fetter'd, these must droop,",bed98-l19340,/əʊp/ | /uːp/,half-pararhyme,<b>a</b>b<b>a</b>bccdeed,pers00340,bed98-w0590
droop,Nor lose our sight of heavenly hope.,bed98-l21655,"Let us not long in misery droop,",bed98-l21650,/əʊp/ | /uːp/,half-pararhyme,aa<b>b</b><b>b</b>,pers00340,bed98-w0760
rope," So on a dream our peasant placed his hope,",pcr18-l21145, And found that rush as valid as a rope. ,pcr18-l21150,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0050
pope,"I can discern with half an eye, I hope,",o5152-l33865,"Mist from Jo Addison; from Eusden, Pope:",o5152-l33870,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00143,o5152-w0330
scope," And his end sure, without one glimpse of hope. ",o3795-l28375," To live estranged from God his total scope,",o3795-l28370,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
elope,And hopest thou not ('tis ev'ry father's hope),o3795-l30615, That since thy strength must with thy years elope;,o3795-l30620,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
cup,"That full completion of each glowing hope,",pmt18-l18810, From the last dregs of Joy's exhausted cup,pmt18-l18820,/əʊp/ | /ʌp/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00320,pmt18-w0240
rope,Where then wou'd be thy hope?,o5157-l29105,Of ev'ry cur's a rope.,o5157-l29120,/əʊp/ | /əʊp/,full,aa<b>b</b>cc<b>b</b>,pers00072,o5157-w0510
scope, Bright hosts redeemed by him whose voice of hope,bjb18-l10815, Revealed th' immortal spirit's boundless scope —,bjb18-l10820,/əʊp/ | /əʊp/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0170
crop," 'Tis all that I wou'd Wish, or Hope,",pmp18-l13660," For Me, and John, and Nell, and Crop. ",pmp18-l13665,/əʊp/ | /ɒp/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0490
droop," My Father's Legacy, my Country's Hope,",pmp18-l46685,The Artists grieve; the lab'ring People droop:,pmp18-l46680,/əʊp/ | /uːp/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
