r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
coat,"They'd flatly tell me, 'tis not hot;",o5157-l35415,"And burn my finger, and my coat,",o5157-l35410,/ɒt/ | /əʊt/,half-pararhyme,<b>a</b><b>a</b>,pers00115,o5157-w0720
pot," Where bubbled scrips, and contracts flaming hot:",o4039-l04845," In Fero's person seiz'd a shining pot,",o4039-l04840,/ɒt/ | /ɒt/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
what,And now your wrath is smoaking hot,o4539-l00555, No man alive can tell for what,o4539-l00565,/ɒt/ | /ɒt/,full,<b>a</b>b<b>a</b>ab,pers00346,o4539-w0010
not,And now your wrath is smoaking hot,o4539-l00555," But telling Truths which pleas'd you not,",o4539-l00570,/ɒt/ | /ɒt/,full,<b>a</b>ba<b>a</b>b,pers00346,o4539-w0010
cot," She still would cry, ""My brain is hot."" ",bao18-l02300, Nor would she shelter in a cot;,bao18-l02290,/ɒt/ | /ɒt/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0030
forgot," Vain Fame with high Fermented Vapour hot,",o4299-l03500," To be remember'd, strives to be forgot.",o4299-l03505,/ɒt/ | /ɒt/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
spot," The little ones unbutton'd, glowing hot,",o3795-l27760," Playing our games, and on the very spot,",o3795-l27765,/ɒt/ | /ɒt/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
got," ""And Sir PHILIP O'KETTLE is apt to be hot. —""",o3364-l06515,""" Sir TOBY MAC'NEGUS much Spirit has got,",o3364-l06510,/ɒt/ | /ɒt/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
mustard-pot,"Pray, master Pepper, why so hot?",o5156-l07505,First cousin to the mustard-pot!,o5156-l07510,/ɒt/ | /ɒt/,full,<b>a</b><b>a</b>,pers00142,o5156-w0300
scot," But feels his heart's bluid rising hot,",cbu86-l02140,"Is there, that bears the name o' SCOT,",cbu86-l02135,/ɒt/ | /ɒt/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0030
pot," But feels his heart's bluid rising hot,",cbu86-l02140," To see his poor, auld Mither's pot,",cbu86-l02145,/ɒt/ | /ɒt/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0030
groat," But feels his heart's bluid rising hot,",cbu86-l02140," An' plunder'd o' her hindmost groat,",cbu86-l02155,/ɒt/ | /əʊt/,half-pararhyme,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0030
smote,"And now, disdaining parle, his courser hot",o5155-l03110,"Where-with the GIANT he so rudely smot,",o5155-l03120,/ɒt/ | /ɒt/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5155-w0030
