r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rills,To cure the direful train of human ills.,o5156-l09690,"At his command gush out thy crystal rills,",o5156-l09685,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
fills," Who feel'st no sense of future ills, —",bhw18-l17285,"And thou, sweet Bird, whom rapture fills,",bhw18-l17280,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0360
fills, The lab'ring Spirit with prolific Ills,ppo24-l07425," How some fierce Lust, or boist'rous Passion, fills",ppo24-l07420,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
fills, But we court Love with its attending Ills;,pdi12-l05420, A deadly Draught the bitter Potion fills. ,pdi12-l05425,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0150
feels,"'Tis true the man of verse, tho' born to ills,",o5153-l28515,Too oft deserves the very fate he feels.,o5153-l28520,/ɪlz/ | /iːlz/,half-pararhyme,<b>a</b><b>a</b>,pers00038,o5153-w0480
pills, Have patent powers to vanquish human ills:,pcr18-l07905," And chief th' illustrious race, whose drops and pills",pcr18-l07900,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
distils,"No! No! I will conceal my weighty Ills,",oat77-l05390,That shall to Heav'n as silent rise as Dew from thence Distills.,oat77-l05405,/ɪlz/ | /ɪlz/,full,aaabbccddeffe<b>g</b>hh<b>g</b>,pers00344,oat77-w0290
hills," Hunted by all kinds of Ills,",o4784-l03665, Like a Partridge on the Hills;,o4784-l03670,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
pills, And a loud laugh proclaim'd his ills. ,ojg27-l10340, His hand expos'd a box of pills;,ojg27-l10335,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0430
fills,Racking their brains with visionary ills.,o5154-l07375,"What numbers, sloth with gloomy humours fills!",o5154-l07370,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00124,o5154-w0110
bills," Think London journies are the worst of ills,",o4984-l25600, And set their hands to articles for bills:,o4984-l25605,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00053,o4984-w0450
kills," A potent quack, long versed in human ills,",pcr18-l04900, Who first insults the victim whom he kills;,pcr18-l04905,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0020
wills," And bids to shun, like Death, imagin'd Ills;",o4898-l00650, Who know no Medium to their wayward Wills. ,o4898-l00660,/ɪlz/ | /ɪlz/,full,a<b>b</b>a<b>b</b>,pers00330,o4898-w0010
kills, But ah! not rashly trust the tempting Ills;,pdi13-l01040," Too well you know, that Beauty often kills:",pdi13-l01045,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi13-w0010
hills," Poetic minds to Life, with all her ills. ",bse96-l03435," 'Mid verdant vales, and gently-swelling hills,",bse96-l03415,/ɪlz/ | /ɪlz/,full,abbaabbac<b>d</b>dcc<b>d</b>,pers00282,bse96-w0080
rills," Poetic minds to Life, with all her ills. ",bse96-l03435," And glassy lakes, and mazy, murmuring rills,",bse96-l03420,/ɪlz/ | /ɪlz/,full,abbaabbacd<b>d</b>cc<b>d</b>,pers00282,bse96-w0080
feels," Public Calamities, or Household Ills:",pmp18-l48975,In ev'ry Act and Turn of Life he feels,pmp18-l48970,/ɪlz/ | /iːlz/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
fills,(If there can be addition to those ills),o5155-l08280,Yet added grief my apprehension fills,o5155-l08275,/ɪlz/ | /ɪlz/,full,<b>a</b><b>a</b>,pers00001,o5155-w0090
